rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
169,163,163,103,169,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
37,121,133,31,37,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
37,97,121,31,37,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
85,91,109,49,85,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
103,109,97,103,103,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
1,73,61,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
85,55,13,49,85,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
193,193,199,181,193,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
1,139,145,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
1,145,151,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
31,25,31,31,31,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
19,49,127,19,19,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
49,1,7,49,49,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
103,31,1,103,103,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
85,205,205,49,85,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
181,175,175,181,181,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
49,7,25,49,49,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
103,61,55,103,103,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
103,37,43,103,103,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
49,19,19,49,49,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
103,13,37,103,103,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
103,181,181,103,103,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
103,169,169,103,103,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
19,151,139,19,19,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
103,67,73,103,103,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
181,115,67,181,181,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
49,43,49,49,49,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
103,79,79,103,103,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
169,199,193,103,169,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
