rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
79,181,181,55,79,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 50}"
175,49,49,157,175,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
199,25,43,193,199,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
37,19,31,31,37,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
37,37,19,31,37,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
79,31,37,55,79,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
79,55,25,55,79,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
205,187,187,205,205,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
175,73,67,157,175,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
175,67,61,157,175,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
139,43,73,127,139,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
55,1,1,55,55,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
79,61,55,55,79,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
7,7,7,7,7,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
193,199,199,193,193,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
157,109,109,157,157,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
79,91,91,55,79,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
7,103,103,7,7,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
127,97,97,127,127,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
139,85,79,127,139,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
79,79,85,55,79,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
157,193,193,157,157,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
55,133,127,55,55,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
55,139,139,55,55,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
31,127,133,31,31,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
127,121,121,127,127,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
1,13,13,1,1,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
79,115,115,55,79,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
157,205,205,157,157,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
55,175,175,55,55,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
139,163,163,127,139,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
37,145,151,31,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
79,151,157,55,79,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
19,157,145,7,19,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
19,169,169,7,19,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
79,181,181,55,79,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 50}"
175,49,49,157,175,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 100}"
199,25,43,193,199,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 150}"
37,19,31,31,37,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 200}"
37,37,19,31,37,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 250}"
79,31,37,55,79,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 300}"
79,55,25,55,79,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 400}"
205,187,187,205,205,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50}"
175,73,67,157,175,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100}"
175,67,61,157,175,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150}"
139,43,73,127,139,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200}"
55,1,1,55,55,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 250}"
79,61,55,55,79,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 300}"
7,7,7,7,7,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 400}"
193,199,199,193,193,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50}"
157,109,109,157,157,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100}"
79,91,91,55,79,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150}"
7,103,103,7,7,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200}"
127,97,97,127,127,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 250}"
139,85,79,127,139,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 300}"
79,79,85,55,79,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 400}"
157,193,193,157,157,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 50}"
55,133,127,55,55,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 100}"
55,139,139,55,55,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 150}"
31,127,133,31,31,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 200}"
127,121,121,127,127,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 250}"
1,13,13,1,1,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 300}"
79,115,115,55,79,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 400}"
157,205,205,157,157,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 50}"
55,175,175,55,55,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 100}"
139,163,163,127,139,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 150}"
37,145,151,31,37,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 200}"
79,151,157,55,79,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 250}"
19,157,145,7,19,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 300}"
19,169,169,7,19,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 400}"
79,181,181,55,79,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50}"
175,49,49,157,175,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
199,25,43,193,199,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
37,19,31,31,37,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
37,37,19,31,37,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
79,31,37,55,79,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
79,55,25,55,79,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
205,187,187,205,205,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
175,73,67,157,175,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
175,67,61,157,175,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
139,43,73,127,139,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
55,1,1,55,55,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
79,61,55,55,79,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
7,7,7,7,7,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
193,199,199,193,193,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
157,109,109,157,157,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
79,91,91,55,79,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
7,103,103,7,7,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
127,97,97,127,127,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
139,85,79,127,139,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
79,79,85,55,79,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
157,193,193,157,157,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
55,133,127,55,55,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
55,139,139,55,55,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
31,127,133,31,31,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
127,121,121,127,127,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
1,13,13,1,1,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
79,115,115,55,79,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
157,205,205,157,157,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
55,175,175,55,55,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
139,163,163,127,139,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
37,145,151,31,37,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
79,151,157,55,79,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
