rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
163,113,199,190,43,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
146,195,169,190,16,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
168,164,160,174,90,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
195,165,195,205,92,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
211,169,219,218,97,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
193,168,202,205,75,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
224,180,211,225,39,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
223,62,214,223,140,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
49,45,161,58,56,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
101,176,191,144,38,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
132,197,201,151,68,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
201,204,197,194,175,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
204,161,171,205,129,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
202,143,142,199,152,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
109,156,176,100,114,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
80,175,200,100,33,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
165,132,134,162,125,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
225,124,207,219,225,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
199,198,181,182,209,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
109,154,125,100,114,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
180,200,225,182,127,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
187,140,215,174,173,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
115,172,213,114,87,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
115,177,163,114,87,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
175,217,136,182,91,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
183,212,222,151,206,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
109,166,81,100,114,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
135,160,135,144,122,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
220,145,113,212,212,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
103,206,157,100,85,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
202,196,111,199,152,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
218,202,182,205,222,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
2,181,84,3,17,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
142,55,153,114,166,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
137,178,198,162,69,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
133,128,166,174,42,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
137,146,177,162,69,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
215,138,220,214,179,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
47,36,190,83,7,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
92,59,204,114,35,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
108,86,151,151,39,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
55,44,109,114,1,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
98,150,144,100,67,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
56,95,147,58,79,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
102,90,138,92,113,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
165,159,210,162,125,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
142,41,189,114,166,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
191,162,172,194,128,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
197,116,174,174,218,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
173,171,196,144,196,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 80}"
27,25,35,17,76,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 0}"
177,157,105,162,171,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 10}"
109,117,37,100,114,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 20}"
124,208,173,100,148,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 30}"
190,220,148,182,174,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 40}"
213,210,179,199,221,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 50}"
177,214,205,162,171,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 60}"
162,201,217,144,170,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 70}"
56,218,167,58,79,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 80}"
142,55,153,114,166,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 0}"
186,174,188,162,199,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 10}"
56,110,21,58,79,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 20}"
82,87,119,70,106,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 30}"
96,127,145,92,84,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 40}"
56,134,133,58,79,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 50}"
149,115,178,92,214,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 60}"
208,135,159,190,220,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 70}"
118,119,130,83,180,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 80}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 0}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 10}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 20}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 30}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 40}"
142,55,153,114,166,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 50}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 60}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 70}"
69,77,47,46,154,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 80}"
150,97,64,114,184,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 0}"
185,205,216,199,61,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 10}"
217,209,194,224,58,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 20}"
129,207,150,182,10,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 30}"
125,173,118,162,41,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 40}"
128,125,98,174,15,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 50}"
