rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
55,383,159,25,221,"{'max_bin': 5, 'min_child_samples': 10}"
339,504,440,246,395,"{'max_bin': 5, 'min_child_samples': 20}"
139,520,102,41,305,"{'max_bin': 5, 'min_child_samples': 30}"
30,490,221,77,30,"{'max_bin': 5, 'min_child_samples': 40}"
461,245,337,302,504,"{'max_bin': 5, 'min_child_samples': 50}"
74,487,217,77,110,"{'max_bin': 5, 'min_child_samples': 60}"
454,408,262,348,494,"{'max_bin': 5, 'min_child_samples': 70}"
269,462,376,148,376,"{'max_bin': 5, 'min_child_samples': 80}"
176,460,97,41,363,"{'max_bin': 5, 'min_child_samples': 90}"
332,486,309,302,335,"{'max_bin': 5, 'min_child_samples': 100}"
84,379,65,77,164,"{'max_bin': 5, 'min_child_samples': 110}"
84,67,167,112,114,"{'max_bin': 5, 'min_child_samples': 120}"
390,440,414,348,412,"{'max_bin': 5, 'min_child_samples': 130}"
464,450,313,476,295,"{'max_bin': 5, 'min_child_samples': 140}"
154,501,511,193,124,"{'max_bin': 5, 'min_child_samples': 150}"
154,511,444,193,124,"{'max_bin': 5, 'min_child_samples': 160}"
180,498,502,387,23,"{'max_bin': 5, 'min_child_samples': 170}"
32,517,430,112,18,"{'max_bin': 5, 'min_child_samples': 180}"
430,464,507,500,99,"{'max_bin': 5, 'min_child_samples': 190}"
24,513,426,193,2,"{'max_bin': 5, 'min_child_samples': 200}"
1,358,62,4,3,"{'max_bin': 15, 'min_child_samples': 10}"
84,200,241,77,164,"{'max_bin': 15, 'min_child_samples': 20}"
332,231,260,302,335,"{'max_bin': 15, 'min_child_samples': 30}"
421,275,299,348,455,"{'max_bin': 15, 'min_child_samples': 40}"
371,430,315,302,408,"{'max_bin': 15, 'min_child_samples': 50}"
20,185,52,6,146,"{'max_bin': 15, 'min_child_samples': 60}"
9,9,57,25,17,"{'max_bin': 15, 'min_child_samples': 70}"
473,361,285,420,467,"{'max_bin': 15, 'min_child_samples': 80}"
127,420,71,112,169,"{'max_bin': 15, 'min_child_samples': 90}"
127,71,331,112,169,"{'max_bin': 15, 'min_child_samples': 100}"
14,81,2,12,51,"{'max_bin': 15, 'min_child_samples': 110}"
187,18,281,193,181,"{'max_bin': 15, 'min_child_samples': 120}"
149,306,292,246,75,"{'max_bin': 15, 'min_child_samples': 130}"
22,390,357,112,10,"{'max_bin': 15, 'min_child_samples': 140}"
257,196,385,246,268,"{'max_bin': 15, 'min_child_samples': 150}"
438,43,436,476,210,"{'max_bin': 15, 'min_child_samples': 160}"
185,331,470,246,128,"{'max_bin': 15, 'min_child_samples': 170}"
438,57,500,476,210,"{'max_bin': 15, 'min_child_samples': 180}"
33,441,415,193,5,"{'max_bin': 15, 'min_child_samples': 190}"
471,113,517,514,51,"{'max_bin': 15, 'min_child_samples': 200}"
112,44,40,193,66,"{'max_bin': 25, 'min_child_samples': 10}"
5,39,60,6,27,"{'max_bin': 25, 'min_child_samples': 20}"
195,283,113,148,252,"{'max_bin': 25, 'min_child_samples': 30}"
332,364,61,302,335,"{'max_bin': 25, 'min_child_samples': 40}"
263,311,98,193,323,"{'max_bin': 25, 'min_child_samples': 50}"
339,348,229,246,395,"{'max_bin': 25, 'min_child_samples': 60}"
277,87,16,112,433,"{'max_bin': 25, 'min_child_samples': 70}"
375,167,129,246,441,"{'max_bin': 25, 'min_child_samples': 80}"
74,64,8,77,110,"{'max_bin': 25, 'min_child_samples': 90}"
14,237,104,12,51,"{'max_bin': 25, 'min_child_samples': 100}"
257,259,143,246,268,"{'max_bin': 25, 'min_child_samples': 110}"
145,33,153,302,41,"{'max_bin': 25, 'min_child_samples': 120}"
408,181,378,458,208,"{'max_bin': 25, 'min_child_samples': 130}"
145,221,360,302,41,"{'max_bin': 25, 'min_child_samples': 140}"
251,341,277,302,193,"{'max_bin': 25, 'min_child_samples': 150}"
283,396,462,420,88,"{'max_bin': 25, 'min_child_samples': 160}"
363,174,264,443,140,"{'max_bin': 25, 'min_child_samples': 170}"
322,199,432,387,201,"{'max_bin': 25, 'min_child_samples': 180}"
143,393,451,387,13,"{'max_bin': 25, 'min_child_samples': 190}"
383,34,421,476,96,"{'max_bin': 25, 'min_child_samples': 200}"
63,301,244,41,153,"{'max_bin': 35, 'min_child_samples': 10}"
228,85,49,148,317,"{'max_bin': 35, 'min_child_samples': 20}"
176,303,72,41,363,"{'max_bin': 35, 'min_child_samples': 30}"
41,519,435,41,106,"{'max_bin': 35, 'min_child_samples': 40}"
322,63,175,387,201,"{'max_bin': 35, 'min_child_samples': 50}"
269,322,392,148,376,"{'max_bin': 35, 'min_child_samples': 60}"
131,447,238,77,240,"{'max_bin': 35, 'min_child_samples': 70}"
316,479,335,112,482,"{'max_bin': 35, 'min_child_samples': 80}"
303,108,224,193,384,"{'max_bin': 35, 'min_child_samples': 90}"
404,117,209,246,486,"{'max_bin': 35, 'min_child_samples': 100}"
297,23,216,246,329,"{'max_bin': 35, 'min_child_samples': 110}"
195,317,213,148,252,"{'max_bin': 35, 'min_child_samples': 120}"
472,457,366,443,426,"{'max_bin': 35, 'min_child_samples': 130}"
121,103,257,148,118,"{'max_bin': 35, 'min_child_samples': 140}"
45,388,371,77,59,"{'max_bin': 35, 'min_child_samples': 150}"
365,365,233,387,284,"{'max_bin': 35, 'min_child_samples': 160}"
508,493,495,512,301,"{'max_bin': 35, 'min_child_samples': 170}"
183,258,290,302,80,"{'max_bin': 35, 'min_child_samples': 180}"
319,466,420,476,26,"{'max_bin': 35, 'min_child_samples': 190}"
54,488,273,387,1,"{'max_bin': 35, 'min_child_samples': 200}"
154,294,347,193,124,"{'max_bin': 45, 'min_child_samples': 10}"
248,403,340,348,133,"{'max_bin': 45, 'min_child_samples': 20}"
303,1,9,193,384,"{'max_bin': 45, 'min_child_samples': 30}"
257,124,41,246,268,"{'max_bin': 45, 'min_child_samples': 40}"
41,98,43,41,106,"{'max_bin': 45, 'min_child_samples': 50}"
158,99,59,148,173,"{'max_bin': 45, 'min_child_samples': 60}"
269,446,334,148,376,"{'max_bin': 45, 'min_child_samples': 70}"
195,179,276,148,252,"{'max_bin': 45, 'min_child_samples': 80}"
375,316,336,246,441,"{'max_bin': 45, 'min_child_samples': 90}"
498,32,397,420,511,"{'max_bin': 45, 'min_child_samples': 100}"
390,417,405,348,412,"{'max_bin': 45, 'min_child_samples': 110}"
10,220,19,41,8,"{'max_bin': 45, 'min_child_samples': 120}"
127,82,384,112,169,"{'max_bin': 45, 'min_child_samples': 130}"
78,207,95,112,62,"{'max_bin': 45, 'min_child_samples': 140}"
144,469,369,348,22,"{'max_bin': 45, 'min_child_samples': 150}"
185,239,454,246,128,"{'max_bin': 45, 'min_child_samples': 160}"
242,229,427,387,82,"{'max_bin': 45, 'min_child_samples': 170}"
496,264,508,506,299,"{'max_bin': 45, 'min_child_samples': 180}"
443,265,481,458,292,"{'max_bin': 45, 'min_child_samples': 190}"
240,404,465,443,24,"{'max_bin': 45, 'min_child_samples': 200}"
390,230,280,348,412,"{'max_bin': 55, 'min_child_samples': 10}"
332,53,93,302,335,"{'max_bin': 55, 'min_child_samples': 20}"
63,90,132,41,153,"{'max_bin': 55, 'min_child_samples': 30}"
35,19,47,12,216,"{'max_bin': 55, 'min_child_samples': 40}"
154,134,84,193,124,"{'max_bin': 55, 'min_child_samples': 50}"
228,46,20,148,317,"{'max_bin': 55, 'min_child_samples': 60}"
404,507,389,246,486,"{'max_bin': 55, 'min_child_samples': 70}"
84,13,30,41,229,"{'max_bin': 55, 'min_child_samples': 80}"
390,6,7,348,412,"{'max_bin': 55, 'min_child_samples': 90}"
121,426,339,148,118,"{'max_bin': 55, 'min_child_samples': 100}"
158,104,158,148,173,"{'max_bin': 55, 'min_child_samples': 110}"
158,280,419,148,173,"{'max_bin': 55, 'min_child_samples': 120}"
78,318,179,112,62,"{'max_bin': 55, 'min_child_samples': 130}"
48,459,212,112,32,"{'max_bin': 55, 'min_child_samples': 140}"
484,344,196,458,427,"{'max_bin': 55, 'min_child_samples': 150}"
242,170,169,387,82,"{'max_bin': 55, 'min_child_samples': 160}"
412,218,218,420,345,"{'max_bin': 55, 'min_child_samples': 170}"
107,345,422,246,20,"{'max_bin': 55, 'min_child_samples': 180}"
364,378,232,420,206,"{'max_bin': 55, 'min_child_samples': 190}"
408,116,483,458,208,"{'max_bin': 55, 'min_child_samples': 200}"
223,299,114,193,263,"{'max_bin': 65, 'min_child_samples': 10}"
187,227,197,193,181,"{'max_bin': 65, 'min_child_samples': 20}"
416,50,246,387,420,"{'max_bin': 65, 'min_child_samples': 30}"
355,397,198,148,484,"{'max_bin': 65, 'min_child_samples': 40}"
55,367,380,25,221,"{'max_bin': 65, 'min_child_samples': 50}"
503,159,399,476,474,"{'max_bin': 65, 'min_child_samples': 60}"
223,52,21,193,263,"{'max_bin': 65, 'min_child_samples': 70}"
63,95,17,41,153,"{'max_bin': 65, 'min_child_samples': 80}"
303,355,228,193,384,"{'max_bin': 65, 'min_child_samples': 90}"
55,319,354,25,221,"{'max_bin': 65, 'min_child_samples': 100}"
421,211,321,348,455,"{'max_bin': 65, 'min_child_samples': 110}"
368,360,476,348,342,"{'max_bin': 65, 'min_child_samples': 120}"
387,471,485,420,287,"{'max_bin': 65, 'min_child_samples': 130}"
491,204,490,493,358,"{'max_bin': 65, 'min_child_samples': 140}"
486,119,121,443,472,"{'max_bin': 65, 'min_child_samples': 150}"
412,455,345,420,345,"{'max_bin': 65, 'min_child_samples': 160}"
112,376,411,193,66,"{'max_bin': 65, 'min_child_samples': 170}"
318,38,202,493,16,"{'max_bin': 65, 'min_child_samples': 180}"
385,246,442,458,141,"{'max_bin': 65, 'min_child_samples': 190}"
460,168,497,493,214,"{'max_bin': 65, 'min_child_samples': 200}"
390,222,194,348,412,"{'max_bin': 75, 'min_child_samples': 10}"
228,451,149,148,317,"{'max_bin': 75, 'min_child_samples': 20}"
339,346,387,246,395,"{'max_bin': 75, 'min_child_samples': 30}"
139,92,267,41,305,"{'max_bin': 75, 'min_child_samples': 40}"
170,105,120,77,308,"{'max_bin': 75, 'min_child_samples': 50}"
84,155,27,41,229,"{'max_bin': 75, 'min_child_samples': 60}"
170,130,34,77,308,"{'max_bin': 75, 'min_child_samples': 70}"
195,100,235,148,252,"{'max_bin': 75, 'min_child_samples': 80}"
352,337,287,193,438,"{'max_bin': 75, 'min_child_samples': 90}"
407,41,101,193,501,"{'max_bin': 75, 'min_child_samples': 100}"
327,314,190,348,279,"{'max_bin': 75, 'min_child_samples': 110}"
219,330,215,246,189,"{'max_bin': 75, 'min_child_samples': 120}"
257,162,154,246,268,"{'max_bin': 75, 'min_child_samples': 130}"
257,300,311,246,268,"{'max_bin': 75, 'min_child_samples': 140}"
3,171,164,12,7,"{'max_bin': 75, 'min_child_samples': 150}"
112,434,401,193,66,"{'max_bin': 75, 'min_child_samples': 160}"
84,21,323,77,164,"{'max_bin': 75, 'min_child_samples': 170}"
145,419,417,302,41,"{'max_bin': 75, 'min_child_samples': 180}"
494,292,477,514,147,"{'max_bin': 75, 'min_child_samples': 190}"
505,392,516,514,219,"{'max_bin': 75, 'min_child_samples': 200}"
45,373,87,77,59,"{'max_bin': 85, 'min_child_samples': 10}"
512,277,349,387,520,"{'max_bin': 85, 'min_child_samples': 20}"
84,96,39,41,229,"{'max_bin': 85, 'min_child_samples': 30}"
303,428,165,193,384,"{'max_bin': 85, 'min_child_samples': 40}"
170,516,130,77,308,"{'max_bin': 85, 'min_child_samples': 50}"
8,236,11,12,28,"{'max_bin': 85, 'min_child_samples': 60}"
195,219,205,148,252,"{'max_bin': 85, 'min_child_samples': 70}"
303,240,176,193,384,"{'max_bin': 85, 'min_child_samples': 80}"
63,176,107,41,153,"{'max_bin': 85, 'min_child_samples': 90}"
355,508,185,148,484,"{'max_bin': 85, 'min_child_samples': 100}"
484,374,494,458,427,"{'max_bin': 85, 'min_child_samples': 110}"
495,307,388,443,497,"{'max_bin': 85, 'min_child_samples': 120}"
48,445,318,112,32,"{'max_bin': 85, 'min_child_samples': 130}"
63,394,370,41,153,"{'max_bin': 85, 'min_child_samples': 140}"
519,17,394,493,519,"{'max_bin': 85, 'min_child_samples': 150}"
248,191,322,348,133,"{'max_bin': 85, 'min_child_samples': 160}"
109,510,472,246,38,"{'max_bin': 85, 'min_child_samples': 170}"
493,339,460,476,429,"{'max_bin': 85, 'min_child_samples': 180}"
242,273,443,387,82,"{'max_bin': 85, 'min_child_samples': 190}"
53,208,160,193,11,"{'max_bin': 85, 'min_child_samples': 200}"
