rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
169,209,190,153,170,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
1,175,80,26,1,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
154,145,206,186,117,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
124,120,111,186,22,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
56,87,108,110,9,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
122,19,175,178,21,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
166,14,121,206,32,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
223,42,208,223,214,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
148,67,211,137,152,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
169,207,188,153,170,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
158,48,98,153,156,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
120,117,119,58,163,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
55,85,72,76,12,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
40,110,153,39,53,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
17,129,57,12,24,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
86,179,196,110,70,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
80,130,126,64,93,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
112,125,86,128,74,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
169,203,184,153,170,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
206,106,157,203,200,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
193,15,90,153,203,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
202,128,163,178,209,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
39,88,65,36,83,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
155,47,125,178,130,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
142,131,161,128,150,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
216,21,91,218,204,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
108,89,54,58,139,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
169,211,192,153,170,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
2,25,19,10,10,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
163,157,144,128,193,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
105,132,97,64,125,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
82,165,55,58,124,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
188,172,128,186,184,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
140,216,180,178,78,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
46,162,100,39,84,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
131,177,110,110,144,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
169,205,186,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
169,201,182,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 10}"
169,203,184,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 20}"
169,202,183,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 30}"
169,207,188,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 40}"
169,209,190,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 50}"
169,211,192,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 60}"
169,205,186,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 70}"
169,211,192,153,170,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 80}"
3,133,59,1,33,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 0}"
9,43,3,12,11,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 10}"
43,167,219,110,3,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 20}"
57,166,113,64,27,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 30}"
112,108,52,128,74,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 40}"
42,185,73,58,18,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 50}"
131,116,162,110,144,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 60}"
90,187,137,76,95,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 70}"
38,217,99,39,26,"{'colsample_bytree': 0.7, 'subsample': 0.6, 'subsample_freq': 80}"
10,173,122,26,4,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 0}"
62,28,53,128,13,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 10}"
13,33,18,39,2,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 20}"
205,195,178,213,137,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 30}"
90,143,151,76,95,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 40}"
158,49,200,153,156,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 50}"
33,84,94,54,7,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 60}"
130,96,176,128,128,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 70}"
66,90,174,110,29,"{'colsample_bytree': 0.7, 'subsample': 0.7, 'subsample_freq': 80}"
46,156,25,39,84,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 0}"
114,86,107,110,110,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 10}"
204,24,20,137,221,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 20}"
111,112,169,137,31,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 30}"
137,20,79,76,165,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 40}"
10,53,138,26,4,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 50}"
37,17,95,39,17,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 60}"
203,29,68,153,215,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 70}"
148,16,117,137,152,"{'colsample_bytree': 0.7, 'subsample': 0.8, 'subsample_freq': 80}"
46,152,21,39,84,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 0}"
125,114,148,153,76,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 10}"
60,186,88,36,138,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 20}"
123,183,69,76,143,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 30}"
188,189,127,186,184,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 40}"
161,221,173,137,168,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 50}"
168,151,114,186,133,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 60}"
114,163,75,110,110,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 70}"
188,184,132,186,184,"{'colsample_bytree': 0.7, 'subsample': 0.9, 'subsample_freq': 80}"
46,153,22,39,84,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 0}"
3,138,63,1,33,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 10}"
3,135,60,1,33,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 20}"
3,135,62,1,33,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 30}"
46,154,23,39,84,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 40}"
3,135,60,1,33,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 50}"
3,134,58,1,33,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 60}"
10,173,123,26,4,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 70}"
46,155,24,39,84,"{'colsample_bytree': 0.7, 'subsample': 1.0, 'subsample_freq': 80}"
20,55,39,12,39,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 0}"
40,26,67,39,53,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 10}"
131,222,135,110,144,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 20}"
18,219,112,26,15,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 30}"
105,225,164,64,125,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 40}"
147,218,197,153,129,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 50}"
63,190,131,64,55,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 60}"
125,214,109,153,76,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 70}"
35,215,74,26,51,"{'colsample_bytree': 0.8, 'subsample': 0.6, 'subsample_freq': 80}"
20,55,39,12,39,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 0}"
83,182,179,137,19,"{'colsample_bytree': 0.8, 'subsample': 0.7, 'subsample_freq': 10}"
