rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
35,140,58,17,101,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
151,80,200,163,25,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
192,127,225,190,131,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
186,135,197,190,96,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
140,223,217,141,117,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
221,130,206,222,141,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
211,202,215,213,62,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
206,144,174,190,216,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
220,129,172,217,208,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
8,163,80,7,54,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
90,55,193,89,81,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
140,209,171,141,117,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
153,178,175,150,120,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
147,68,163,141,169,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
212,118,211,210,205,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
174,88,166,172,127,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
56,106,189,59,34,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
175,188,216,163,201,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
63,104,106,59,72,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
147,35,160,141,169,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
82,169,112,76,112,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
200,9,191,178,222,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
102,132,178,89,154,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
185,40,133,172,202,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
73,212,114,76,37,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
147,91,85,141,169,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
70,25,73,59,109,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
63,105,107,59,72,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
69,143,113,48,185,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
59,49,83,48,142,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 20}"
59,54,91,48,142,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 30}"
70,186,201,59,109,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 40}"
81,7,137,59,186,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 50}"
102,83,116,89,154,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 60}"
90,86,130,89,81,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 70}"
39,52,123,35,103,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 80}"
152,179,105,129,220,"{'colsample_bytree': 0.6, 'subsample': 1.0, 'subsample_freq': 0}"
