rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
25,20,44,30,56,"{'max_depth': -1, 'num_leaves': 221}"
68,57,55,66,139,"{'max_depth': -1, 'num_leaves': 231}"
9,62,11,7,85,"{'max_depth': -1, 'num_leaves': 241}"
67,33,21,66,135,"{'max_depth': -1, 'num_leaves': 251}"
56,6,17,52,118,"{'max_depth': -1, 'num_leaves': 261}"
53,46,41,43,126,"{'max_depth': -1, 'num_leaves': 271}"
7,42,34,7,72,"{'max_depth': -1, 'num_leaves': 281}"
27,37,26,19,107,"{'max_depth': -1, 'num_leaves': 291}"
1,10,5,1,82,"{'max_depth': -1, 'num_leaves': 301}"
33,87,24,30,94,"{'max_depth': -1, 'num_leaves': 311}"
27,40,16,19,107,"{'max_depth': -1, 'num_leaves': 321}"
64,11,35,52,154,"{'max_depth': -1, 'num_leaves': 331}"
66,7,13,60,138,"{'max_depth': -1, 'num_leaves': 341}"
25,21,43,30,56,"{'max_depth': 0, 'num_leaves': 221}"
68,58,56,66,139,"{'max_depth': 0, 'num_leaves': 231}"
9,61,10,7,85,"{'max_depth': 0, 'num_leaves': 241}"
44,85,28,43,98,"{'max_depth': 0, 'num_leaves': 251}"
56,5,18,52,118,"{'max_depth': 0, 'num_leaves': 261}"
22,32,2,19,92,"{'max_depth': 0, 'num_leaves': 271}"
7,41,31,7,72,"{'max_depth': 0, 'num_leaves': 281}"
15,55,25,13,88,"{'max_depth': 0, 'num_leaves': 291}"
1,9,4,1,82,"{'max_depth': 0, 'num_leaves': 301}"
33,86,23,30,94,"{'max_depth': 0, 'num_leaves': 311}"
27,39,15,19,107,"{'max_depth': 0, 'num_leaves': 321}"
64,12,36,52,154,"{'max_depth': 0, 'num_leaves': 331}"
48,13,7,37,133,"{'max_depth': 0, 'num_leaves': 341}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 261}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 271}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 281}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 291}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 301}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 311}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 321}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 331}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 341}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 221}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 231}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 241}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 251}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 261}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 271}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 281}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 291}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 301}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 311}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 321}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 331}"
144,144,144,144,141,"{'max_depth': 4, 'num_leaves': 341}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 221}"
131,141,141,131,17,"{'max_depth': 5, 'num_leaves': 231}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 241}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 251}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 261}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 271}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 281}"
131,141,141,131,17,"{'max_depth': 5, 'num_leaves': 291}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 301}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 311}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 321}"
131,141,141,131,17,"{'max_depth': 5, 'num_leaves': 331}"
131,131,131,131,17,"{'max_depth': 5, 'num_leaves': 341}"
115,123,120,117,1,"{'max_depth': 6, 'num_leaves': 221}"
115,130,122,117,1,"{'max_depth': 6, 'num_leaves': 231}"
115,120,123,117,1,"{'max_depth': 6, 'num_leaves': 241}"
115,123,120,117,1,"{'max_depth': 6, 'num_leaves': 251}"
115,125,126,117,1,"{'max_depth': 6, 'num_leaves': 261}"
115,120,123,117,1,"{'max_depth': 6, 'num_leaves': 271}"
115,125,126,117,1,"{'max_depth': 6, 'num_leaves': 281}"
115,125,126,117,1,"{'max_depth': 6, 'num_leaves': 291}"
115,118,118,117,1,"{'max_depth': 6, 'num_leaves': 301}"
115,125,126,117,1,"{'max_depth': 6, 'num_leaves': 311}"
115,125,126,117,1,"{'max_depth': 6, 'num_leaves': 321}"
115,120,123,117,1,"{'max_depth': 6, 'num_leaves': 331}"
115,118,118,117,1,"{'max_depth': 6, 'num_leaves': 341}"
109,110,113,109,16,"{'max_depth': 7, 'num_leaves': 221}"
107,111,111,106,36,"{'max_depth': 7, 'num_leaves': 231}"
110,103,106,111,30,"{'max_depth': 7, 'num_leaves': 241}"
110,106,110,111,30,"{'max_depth': 7, 'num_leaves': 251}"
114,117,115,109,41,"{'max_depth': 7, 'num_leaves': 261}"
128,115,112,116,34,"{'max_depth': 7, 'num_leaves': 271}"
110,107,109,111,30,"{'max_depth': 7, 'num_leaves': 281}"
129,114,116,115,38,"{'max_depth': 7, 'num_leaves': 291}"
110,103,105,111,30,"{'max_depth': 7, 'num_leaves': 301}"
108,116,114,105,39,"{'max_depth': 7, 'num_leaves': 311}"
106,105,104,108,14,"{'max_depth': 7, 'num_leaves': 321}"
105,109,107,106,15,"{'max_depth': 7, 'num_leaves': 331}"
130,113,117,130,51,"{'max_depth': 7, 'num_leaves': 341}"
86,83,93,90,37,"{'max_depth': 8, 'num_leaves': 221}"
100,66,97,98,64,"{'max_depth': 8, 'num_leaves': 231}"
91,97,96,94,47,"{'max_depth': 8, 'num_leaves': 241}"
103,81,102,102,65,"{'max_depth': 8, 'num_leaves': 251}"
89,69,90,92,35,"{'max_depth': 8, 'num_leaves': 261}"
104,56,98,104,68,"{'max_depth': 8, 'num_leaves': 271}"
96,91,103,94,61,"{'max_depth': 8, 'num_leaves': 281}"
99,65,99,100,49,"{'max_depth': 8, 'num_leaves': 291}"
102,98,101,100,53,"{'max_depth': 8, 'num_leaves': 301}"
101,90,100,102,43,"{'max_depth': 8, 'num_leaves': 311}"
92,93,92,96,40,"{'max_depth': 8, 'num_leaves': 321}"
97,89,108,98,42,"{'max_depth': 8, 'num_leaves': 331}"
95,95,95,96,48,"{'max_depth': 8, 'num_leaves': 341}"
94,71,82,90,115,"{'max_depth': 9, 'num_leaves': 221}"
90,64,89,88,124,"{'max_depth': 9, 'num_leaves': 231}"
87,96,94,87,91,"{'max_depth': 9, 'num_leaves': 241}"
93,27,81,89,125,"{'max_depth': 9, 'num_leaves': 251}"
88,77,87,84,123,"{'max_depth': 9, 'num_leaves': 261}"
77,50,85,80,44,"{'max_depth': 9, 'num_leaves': 271}"
78,70,57,79,66,"{'max_depth': 9, 'num_leaves': 281}"
84,84,77,84,87,"{'max_depth': 9, 'num_leaves': 291}"
85,112,84,84,106,"{'max_depth': 9, 'num_leaves': 301}"
83,99,79,83,104,"{'max_depth': 9, 'num_leaves': 311}"
81,101,88,81,67,"{'max_depth': 9, 'num_leaves': 321}"
81,102,86,82,50,"{'max_depth': 9, 'num_leaves': 331}"
98,80,91,92,137,"{'max_depth': 9, 'num_leaves': 341}"
58,94,64,60,79,"{'max_depth': 10, 'num_leaves': 221}"
43,63,69,52,52,"{'max_depth': 10, 'num_leaves': 231}"
62,31,29,66,63,"{'max_depth': 10, 'num_leaves': 241}"
58,100,71,60,79,"{'max_depth': 10, 'num_leaves': 251}"
38,51,70,43,46,"{'max_depth': 10, 'num_leaves': 261}"
71,68,80,71,102,"{'max_depth': 10, 'num_leaves': 271}"
55,75,72,60,62,"{'max_depth': 10, 'num_leaves': 281}"
71,19,75,71,102,"{'max_depth': 10, 'num_leaves': 291}"
32,72,74,37,45,"{'max_depth': 10, 'num_leaves': 301}"
79,36,83,78,131,"{'max_depth': 10, 'num_leaves': 311}"
47,78,73,52,60,"{'max_depth': 10, 'num_leaves': 321}"
70,60,78,70,130,"{'max_depth': 10, 'num_leaves': 331}"
20,28,54,19,76,"{'max_depth': 10, 'num_leaves': 341}"
80,30,59,76,156,"{'max_depth': 11, 'num_leaves': 221}"
73,38,62,71,120,"{'max_depth': 11, 'num_leaves': 231}"
52,25,66,52,78,"{'max_depth': 11, 'num_leaves': 241}"
41,59,33,37,113,"{'max_depth': 11, 'num_leaves': 251}"
3,73,61,3,69,"{'max_depth': 11, 'num_leaves': 261}"
41,34,48,37,113,"{'max_depth': 11, 'num_leaves': 271}"
18,8,47,19,54,"{'max_depth': 11, 'num_leaves': 281}"
