rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
40,7,30,17,84,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
4,11,5,2,43,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
33,4,12,17,72,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
9,41,7,4,61,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
45,1,2,26,75,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
23,34,6,17,52,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
20,89,13,13,64,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
41,9,4,22,74,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
50,26,32,26,85,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
15,29,18,9,62,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
33,59,29,17,72,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
13,51,10,9,51,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
35,60,23,22,65,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
1,17,1,1,15,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
3,38,14,4,23,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
45,62,44,26,75,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
45,65,24,26,75,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
60,74,25,42,88,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
25,56,8,15,82,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
2,85,20,2,31,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
15,67,35,9,62,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
25,55,34,15,82,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
35,84,37,22,65,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
10,40,9,7,50,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
5,53,36,4,32,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
54,18,3,36,86,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
28,6,15,36,37,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
54,61,33,36,86,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
6,39,16,9,24,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
72,37,39,47,90,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
8,64,17,7,44,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
37,52,31,26,56,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
59,2,11,36,89,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
61,43,26,47,79,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
48,79,38,36,68,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
27,31,22,26,48,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
56,32,43,50,49,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
28,10,28,36,37,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
18,87,40,26,13,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
7,36,45,13,18,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
78,46,67,63,80,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
73,23,51,63,60,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
17,25,21,17,25,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
42,3,27,45,40,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
71,68,41,62,59,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
22,24,56,26,26,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
64,80,57,63,41,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
43,19,55,47,27,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
11,44,19,26,4,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
11,27,48,26,4,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
14,78,54,22,12,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
51,35,70,53,29,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
49,12,47,50,28,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
62,57,59,53,58,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
38,15,53,42,39,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
79,70,58,69,69,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
51,14,63,53,29,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
39,13,52,50,14,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
57,54,65,63,15,"{'min_samples_leaf': 7, 'min_samples_split': 6}"
19,82,64,42,6,"{'min_samples_leaf': 7, 'min_samples_split': 7}"
24,90,61,53,2,"{'min_samples_leaf': 7, 'min_samples_split': 8}"
83,21,79,69,81,"{'min_samples_leaf': 7, 'min_samples_split': 9}"
66,83,50,74,17,"{'min_samples_leaf': 7, 'min_samples_split': 10}"
89,86,87,88,67,"{'min_samples_leaf': 8, 'min_samples_split': 2}"
21,47,46,45,7,"{'min_samples_leaf': 8, 'min_samples_split': 3}"
85,20,71,86,54,"{'min_samples_leaf': 8, 'min_samples_split': 4}"
68,71,62,69,32,"{'min_samples_leaf': 8, 'min_samples_split': 5}"
90,66,80,88,75,"{'min_samples_leaf': 8, 'min_samples_split': 6}"
85,81,74,86,54,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
87,45,42,84,71,"{'min_samples_leaf': 8, 'min_samples_split': 8}"
64,77,69,69,22,"{'min_samples_leaf': 8, 'min_samples_split': 9}"
84,16,76,85,52,"{'min_samples_leaf': 8, 'min_samples_split': 10}"
74,88,81,81,19,"{'min_samples_leaf': 9, 'min_samples_split': 2}"
32,50,60,59,3,"{'min_samples_leaf': 9, 'min_samples_split': 3}"
67,5,75,79,11,"{'min_samples_leaf': 9, 'min_samples_split': 4}"
75,76,88,76,35,"{'min_samples_leaf': 9, 'min_samples_split': 5}"
30,30,73,53,8,"{'min_samples_leaf': 9, 'min_samples_split': 6}"
80,71,82,81,46,"{'min_samples_leaf': 9, 'min_samples_split': 7}"
82,28,78,74,70,"{'min_samples_leaf': 9, 'min_samples_split': 8}"
68,48,85,69,32,"{'min_samples_leaf': 9, 'min_samples_split': 9}"
53,73,83,59,20,"{'min_samples_leaf': 9, 'min_samples_split': 10}"
80,42,72,81,46,"{'min_samples_leaf': 10, 'min_samples_split': 2}"
76,75,89,79,36,"{'min_samples_leaf': 10, 'min_samples_split': 3}"
63,63,68,67,21,"{'min_samples_leaf': 10, 'min_samples_split': 4}"
70,33,90,67,42,"{'min_samples_leaf': 10, 'min_samples_split': 5}"
77,22,49,76,45,"{'min_samples_leaf': 10, 'min_samples_split': 6}"
44,49,66,59,10,"{'min_samples_leaf': 10, 'min_samples_split': 7}"
30,69,77,53,8,"{'min_samples_leaf': 10, 'min_samples_split': 8}"
88,8,86,88,57,"{'min_samples_leaf': 10, 'min_samples_split': 9}"
58,58,84,76,1,"{'min_samples_leaf': 10, 'min_samples_split': 10}"
