rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
59,6,11,19,74,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
42,4,8,7,60,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
20,5,7,11,40,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
64,16,4,11,83,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
12,8,2,3,38,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
71,3,1,19,84,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
79,20,25,54,86,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
68,2,10,28,75,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
45,33,13,3,72,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
83,1,3,54,88,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
6,37,6,1,37,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
78,30,18,46,85,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
53,28,9,11,73,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
56,9,5,28,65,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
29,29,12,19,42,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
90,34,29,82,90,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
24,43,16,7,54,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
72,39,27,36,77,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
42,12,35,7,60,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
50,21,17,19,62,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
44,7,19,19,57,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
20,27,14,11,40,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
60,11,28,36,67,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
32,15,24,11,55,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
75,42,42,54,69,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
