rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
49,40,62,11,118,{'max_depth': None}
150,150,150,150,150,{'max_depth': 1}
149,149,149,149,149,{'max_depth': 2}
148,148,148,148,148,{'max_depth': 3}
147,147,147,147,147,{'max_depth': 4}
146,146,146,146,146,{'max_depth': 5}
145,145,145,145,145,{'max_depth': 6}
144,144,144,144,144,{'max_depth': 7}
143,143,143,143,143,{'max_depth': 8}
142,142,142,142,93,{'max_depth': 9}
141,141,141,141,59,{'max_depth': 10}
140,140,140,140,2,{'max_depth': 11}
139,139,139,139,5,{'max_depth': 12}
137,138,138,138,2,{'max_depth': 13}
120,132,137,135,5,{'max_depth': 14}
88,56,136,135,1,{'max_depth': 15}
129,93,135,135,16,{'max_depth': 16}
89,99,134,132,9,{'max_depth': 17}
83,2,133,121,15,{'max_depth': 18}
38,51,132,103,8,{'max_depth': 19}
5,79,131,47,4,{'max_depth': 20}
59,65,130,103,14,{'max_depth': 21}
27,20,125,80,7,{'max_depth': 22}
107,130,128,115,56,{'max_depth': 23}
6,41,115,11,10,{'max_depth': 24}
117,8,54,115,82,{'max_depth': 25}
123,100,113,121,83,{'max_depth': 26}
37,42,90,47,32,{'max_depth': 27}
138,95,123,132,142,{'max_depth': 28}
118,5,66,121,58,{'max_depth': 29}
50,49,101,62,33,{'max_depth': 30}
50,73,83,62,33,{'max_depth': 31}
23,92,34,11,38,{'max_depth': 32}
54,37,86,30,88,{'max_depth': 33}
104,114,118,103,79,{'max_depth': 34}
104,109,17,103,79,{'max_depth': 35}
50,107,57,62,33,{'max_depth': 36}
70,45,20,62,73,{'max_depth': 37}
67,33,9,47,93,{'max_depth': 38}
25,72,3,30,30,{'max_depth': 39}
6,62,10,11,10,{'max_depth': 40}
87,27,38,103,55,{'max_depth': 41}
84,60,36,80,76,{'max_depth': 42}
93,97,87,80,102,{'max_depth': 43}
14,19,4,11,26,{'max_depth': 44}
18,44,49,30,22,{'max_depth': 45}
93,82,56,80,102,{'max_depth': 46}
43,106,74,47,43,{'max_depth': 47}
43,113,60,47,43,{'max_depth': 48}
20,71,89,4,60,{'max_depth': 49}
62,13,7,62,49,{'max_depth': 50}
54,126,24,30,88,{'max_depth': 51}
113,46,103,103,113,{'max_depth': 52}
109,68,61,62,134,{'max_depth': 53}
119,131,27,80,135,{'max_depth': 54}
2,17,6,1,25,{'max_depth': 55}
76,47,52,47,121,{'max_depth': 56}
6,53,81,11,10,{'max_depth': 57}
93,18,32,80,102,{'max_depth': 58}
70,38,72,62,73,{'max_depth': 59}
73,122,22,80,52,{'max_depth': 60}
