rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
34,34,34,34,34,{'n_estimators': 10}
11,33,32,7,17,{'n_estimators': 20}
27,32,33,26,24,{'n_estimators': 30}
33,12,31,33,33,{'n_estimators': 40}
27,27,30,26,24,{'n_estimators': 50}
18,29,23,13,19,{'n_estimators': 60}
26,28,29,30,11,{'n_estimators': 70}
18,26,28,13,19,{'n_estimators': 80}
7,19,26,5,8,{'n_estimators': 90}
31,14,22,30,31,{'n_estimators': 100}
12,16,21,13,10,{'n_estimators': 110}
29,23,25,26,29,{'n_estimators': 120}
2,15,24,2,1,{'n_estimators': 130}
25,31,27,25,23,{'n_estimators': 140}
22,8,12,13,27,{'n_estimators': 150}
15,30,18,11,18,{'n_estimators': 160}
29,22,19,26,29,{'n_estimators': 170}
7,7,3,5,8,{'n_estimators': 180}
16,18,20,22,15,{'n_estimators': 190}
18,13,17,13,19,{'n_estimators': 200}
21,24,15,11,26,{'n_estimators': 210}
22,17,13,13,27,{'n_estimators': 220}
13,25,8,13,13,{'n_estimators': 230}
6,2,4,7,5,{'n_estimators': 240}
24,5,14,24,22,{'n_estimators': 250}
5,20,5,9,3,{'n_estimators': 260}
13,6,16,13,13,{'n_estimators': 270}
4,11,6,2,7,{'n_estimators': 280}
16,10,10,22,15,{'n_estimators': 290}
10,4,7,9,12,{'n_estimators': 300}
2,9,2,2,1,{'n_estimators': 310}
1,1,1,1,6,{'n_estimators': 320}
9,3,11,13,4,{'n_estimators': 330}
32,21,9,32,32,{'n_estimators': 340}
