rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
33,34,34,33,31,{'n_estimators': 10}
30,31,33,18,34,{'n_estimators': 20}
1,2,29,1,1,{'n_estimators': 30}
4,1,22,3,14,{'n_estimators': 40}
8,16,27,8,9,{'n_estimators': 50}
25,32,31,26,23,{'n_estimators': 60}
6,18,24,6,8,{'n_estimators': 70}
28,24,26,18,32,{'n_estimators': 80}
13,8,3,8,17,{'n_estimators': 90}
2,19,5,2,2,{'n_estimators': 100}
24,33,32,18,28,{'n_estimators': 110}
25,25,18,26,23,{'n_estimators': 120}
15,9,25,8,27,{'n_estimators': 130}
13,13,28,8,17,{'n_estimators': 140}
34,27,30,34,26,{'n_estimators': 150}
3,3,14,3,4,{'n_estimators': 160}
25,14,16,26,23,{'n_estimators': 170}
23,12,15,26,7,{'n_estimators': 180}
18,4,1,18,5,{'n_estimators': 190}
18,30,17,18,5,{'n_estimators': 200}
8,22,2,8,9,{'n_estimators': 210}
7,21,12,6,16,{'n_estimators': 220}
20,15,23,18,20,{'n_estimators': 230}
12,26,10,15,3,{'n_estimators': 240}
17,7,6,15,19,{'n_estimators': 250}
16,11,4,15,13,{'n_estimators': 260}
32,23,21,32,30,{'n_estimators': 270}
20,5,9,18,20,{'n_estimators': 280}
8,10,8,8,9,{'n_estimators': 290}
4,17,11,3,14,{'n_estimators': 300}
31,6,13,26,33,{'n_estimators': 310}
20,28,20,18,20,{'n_estimators': 320}
29,29,19,26,29,{'n_estimators': 330}
8,20,7,8,9,{'n_estimators': 340}
