rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
496,0.6525404061117573,0.0041851275011814786,717,0.5803205704104047,0.007963733188108273,715,0.5763847134062999,0.005255416278286084,699,0.5343499648629656,0.004592161719331352,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
504,0.6525237415923769,0.003952484161112193,701,0.5803272946001042,0.007973818414765814,711,0.5764808743905719,0.00524363249394567,647,0.5352354181307097,0.0036560350261741746,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
514,0.6525075262080521,0.00393789257050512,686,0.5803349728978018,0.00796825203163758,706,0.5765396203218713,0.005256164096952545,676,0.5349402670414617,0.004023557140042664,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
590,0.6520314667196119,0.0044477901654115,688,0.5803336335909227,0.007976172955413193,700,0.5765601195470164,0.005258248275193563,690,0.5347294448348558,0.003247969850319128,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
536,0.652229443666161,0.004572716470930039,677,0.5803374184168524,0.00796944680530839,677,0.576579422975788,0.005255581865369432,685,0.5348418833450457,0.00495128568320423,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
629,0.6515198361873361,0.004521267089205849,698,0.5803304295263831,0.007974022819756777,696,0.5765654881700921,0.00524724145786823,639,0.5352635277582571,0.004284159922310624,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
643,0.6511919519828755,0.005346244035521669,687,0.5803342301553437,0.007983254594721644,670,0.5765855202230095,0.00526483039509828,598,0.5354462403373155,0.005322786403681433,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
495,0.6525414119088073,0.004636099508765523,673,0.5803527394554275,0.007962053632788334,666,0.5766113874448021,0.005257235071946427,710,0.5337596626844694,0.004929734696599077,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
492,0.6528611912567132,0.0034491661639356164,662,0.580473502267735,0.007960021502396204,655,0.5767667393332963,0.005257090456875661,682,0.5348559381588195,0.004445411177044999,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
527,0.6523398392799264,0.004401996898273548,577,0.580594383602775,0.00796303206465961,570,0.5769336550681156,0.005260930938212171,707,0.5342515811665496,0.0024982802123856467,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
525,0.6523986979664274,0.004012254905574062,570,0.5806859858720903,0.007959681514733759,563,0.5770574615404414,0.0052539550260310265,596,0.5354743499648629,0.0038242009310043316,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
