rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
707,703,700,587,707,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
676,694,690,558,673,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
634,666,658,576,622,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
695,710,696,566,691,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
704,700,674,576,704,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
591,678,687,551,588,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
582,693,707,550,582,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
556,651,585,543,556,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
623,583,629,624,622,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
675,576,577,597,681,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
634,568,568,576,622,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
640,564,567,585,640,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
693,562,549,605,696,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
543,545,545,585,543,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
533,543,543,558,533,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
527,527,509,547,527,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
524,524,489,536,518,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
507,506,448,510,504,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
502,487,446,524,483,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
457,462,468,209,524,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
714,281,253,714,714,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
174,154,152,149,322,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
195,124,83,171,375,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
211,176,115,181,397,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
230,226,185,191,436,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
707,703,700,587,707,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
676,694,690,558,673,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
