rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
691,695,641,571,680,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
678,643,652,561,668,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
669,669,648,556,644,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
691,690,666,571,680,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
686,681,657,568,674,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
686,673,647,568,674,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
678,662,634,561,668,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
700,565,633,581,679,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
653,673,606,672,619,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
640,634,560,662,602,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
573,569,553,591,533,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
588,609,569,609,548,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
655,659,690,587,624,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
701,657,687,583,677,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
713,714,714,580,700,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
571,709,710,543,613,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
561,540,676,538,624,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
524,524,506,524,522,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
526,553,464,529,512,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
546,521,427,541,597,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
850,414,263,202,714,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
170,195,190,136,376,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
186,156,50,148,421,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
199,171,60,159,481,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
250,243,186,186,705,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
691,695,641,571,680,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
678,643,652,561,668,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
669,669,648,556,644,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
691,690,666,571,680,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
686,681,657,568,674,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
