rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
590,617,617,528,580,"{'C': 0.0009765625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
572,603,602,489,564,"{'C': 0.0009765625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
499,590,590,497,497,"{'C': 0.0009765625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
584,611,611,509,573,"{'C': 0.0009765625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
507,576,580,474,520,"{'C': 0.0009765625, 'gamma': 0.015625, 'kernel': 'rbf'}"
563,599,597,485,560,"{'C': 0.0009765625, 'gamma': 0.03125, 'kernel': 'rbf'}"
532,587,586,480,537,"{'C': 0.0009765625, 'gamma': 0.0625, 'kernel': 'rbf'}"
484,583,577,472,514,"{'C': 0.0009765625, 'gamma': 0.125, 'kernel': 'rbf'}"
557,586,576,484,556,"{'C': 0.0009765625, 'gamma': 0.25, 'kernel': 'rbf'}"
512,564,566,567,486,"{'C': 0.0009765625, 'gamma': 0.5, 'kernel': 'rbf'}"
499,559,494,497,497,"{'C': 0.0009765625, 'gamma': 1.0, 'kernel': 'rbf'}"
549,493,493,595,537,"{'C': 0.0009765625, 'gamma': 2.0, 'kernel': 'rbf'}"
549,486,486,595,537,"{'C': 0.0009765625, 'gamma': 4.0, 'kernel': 'rbf'}"
512,482,482,567,486,"{'C': 0.0009765625, 'gamma': 8.0, 'kernel': 'rbf'}"
440,476,476,505,422,"{'C': 0.0009765625, 'gamma': 16.0, 'kernel': 'rbf'}"
544,475,475,483,550,"{'C': 0.0009765625, 'gamma': 32.0, 'kernel': 'rbf'}"
494,472,457,470,528,"{'C': 0.0009765625, 'gamma': 64.0, 'kernel': 'rbf'}"
567,455,437,469,589,"{'C': 0.0009765625, 'gamma': 128.0, 'kernel': 'rbf'}"
437,436,418,468,437,"{'C': 0.0009765625, 'gamma': 256.0, 'kernel': 'rbf'}"
624,412,376,624,624,"{'C': 0.0009765625, 'gamma': 512.0, 'kernel': 'rbf'}"
624,415,249,624,624,"{'C': 0.0009765625, 'gamma': 1024.0, 'kernel': 'rbf'}"
171,162,167,144,259,"{'C': 0.0009765625, 'gamma': 2048.0, 'kernel': 'rbf'}"
195,141,93,168,330,"{'C': 0.0009765625, 'gamma': 4096.0, 'kernel': 'rbf'}"
202,188,109,177,355,"{'C': 0.0009765625, 'gamma': 8192.0, 'kernel': 'rbf'}"
222,227,183,188,399,"{'C': 0.0009765625, 'gamma': 16384.0, 'kernel': 'rbf'}"
590,617,617,528,580,"{'C': 0.001953125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
572,603,602,489,564,"{'C': 0.001953125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
499,590,590,497,497,"{'C': 0.001953125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
584,611,611,509,573,"{'C': 0.001953125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
507,576,580,474,520,"{'C': 0.001953125, 'gamma': 0.015625, 'kernel': 'rbf'}"
563,599,597,485,560,"{'C': 0.001953125, 'gamma': 0.03125, 'kernel': 'rbf'}"
532,587,586,480,537,"{'C': 0.001953125, 'gamma': 0.0625, 'kernel': 'rbf'}"
484,583,577,472,514,"{'C': 0.001953125, 'gamma': 0.125, 'kernel': 'rbf'}"
512,569,568,567,486,"{'C': 0.001953125, 'gamma': 0.25, 'kernel': 'rbf'}"
535,561,560,613,486,"{'C': 0.001953125, 'gamma': 0.5, 'kernel': 'rbf'}"
581,541,502,508,564,"{'C': 0.001953125, 'gamma': 1.0, 'kernel': 'rbf'}"
545,492,492,591,528,"{'C': 0.001953125, 'gamma': 2.0, 'kernel': 'rbf'}"
549,487,487,595,537,"{'C': 0.001953125, 'gamma': 4.0, 'kernel': 'rbf'}"
487,481,481,557,475,"{'C': 0.001953125, 'gamma': 8.0, 'kernel': 'rbf'}"
440,477,477,505,422,"{'C': 0.001953125, 'gamma': 16.0, 'kernel': 'rbf'}"
521,474,474,479,528,"{'C': 0.001953125, 'gamma': 32.0, 'kernel': 'rbf'}"
494,471,456,470,528,"{'C': 0.001953125, 'gamma': 64.0, 'kernel': 'rbf'}"
435,454,438,442,593,"{'C': 0.001953125, 'gamma': 128.0, 'kernel': 'rbf'}"
428,435,417,462,417,"{'C': 0.001953125, 'gamma': 256.0, 'kernel': 'rbf'}"
406,413,377,264,410,"{'C': 0.001953125, 'gamma': 512.0, 'kernel': 'rbf'}"
244,267,239,219,369,"{'C': 0.001953125, 'gamma': 1024.0, 'kernel': 'rbf'}"
171,167,172,144,259,"{'C': 0.001953125, 'gamma': 2048.0, 'kernel': 'rbf'}"
195,143,94,168,330,"{'C': 0.001953125, 'gamma': 4096.0, 'kernel': 'rbf'}"
203,186,107,180,373,"{'C': 0.001953125, 'gamma': 8192.0, 'kernel': 'rbf'}"
222,224,187,188,399,"{'C': 0.001953125, 'gamma': 16384.0, 'kernel': 'rbf'}"
590,617,617,528,580,"{'C': 0.00390625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
572,603,602,489,564,"{'C': 0.00390625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
499,590,590,497,497,"{'C': 0.00390625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
584,611,611,509,573,"{'C': 0.00390625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
507,576,580,474,520,"{'C': 0.00390625, 'gamma': 0.015625, 'kernel': 'rbf'}"
563,599,597,485,560,"{'C': 0.00390625, 'gamma': 0.03125, 'kernel': 'rbf'}"
532,587,586,480,537,"{'C': 0.00390625, 'gamma': 0.0625, 'kernel': 'rbf'}"
512,572,571,567,486,"{'C': 0.00390625, 'gamma': 0.125, 'kernel': 'rbf'}"
535,557,555,613,486,"{'C': 0.00390625, 'gamma': 0.25, 'kernel': 'rbf'}"
558,545,522,602,550,"{'C': 0.00390625, 'gamma': 0.5, 'kernel': 'rbf'}"
558,499,499,602,550,"{'C': 0.00390625, 'gamma': 1.0, 'kernel': 'rbf'}"
512,490,490,567,486,"{'C': 0.00390625, 'gamma': 2.0, 'kernel': 'rbf'}"
523,485,483,576,497,"{'C': 0.00390625, 'gamma': 4.0, 'kernel': 'rbf'}"
487,480,480,557,475,"{'C': 0.00390625, 'gamma': 8.0, 'kernel': 'rbf'}"
443,478,478,507,430,"{'C': 0.00390625, 'gamma': 16.0, 'kernel': 'rbf'}"
442,473,458,464,592,"{'C': 0.00390625, 'gamma': 32.0, 'kernel': 'rbf'}"
444,453,439,461,596,"{'C': 0.00390625, 'gamma': 64.0, 'kernel': 'rbf'}"
439,434,435,456,595,"{'C': 0.00390625, 'gamma': 128.0, 'kernel': 'rbf'}"
434,431,416,440,593,"{'C': 0.00390625, 'gamma': 256.0, 'kernel': 'rbf'}"
409,411,378,297,411,"{'C': 0.00390625, 'gamma': 512.0, 'kernel': 'rbf'}"
244,265,237,219,369,"{'C': 0.00390625, 'gamma': 1024.0, 'kernel': 'rbf'}"
171,163,171,144,259,"{'C': 0.00390625, 'gamma': 2048.0, 'kernel': 'rbf'}"
195,143,95,168,330,"{'C': 0.00390625, 'gamma': 4096.0, 'kernel': 'rbf'}"
209,190,111,181,375,"{'C': 0.00390625, 'gamma': 8192.0, 'kernel': 'rbf'}"
222,221,179,188,399,"{'C': 0.00390625, 'gamma': 16384.0, 'kernel': 'rbf'}"
590,617,617,528,580,"{'C': 0.0078125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
572,603,602,489,564,"{'C': 0.0078125, 'gamma': 0.001953125, 'kernel': 'rbf'}"
499,590,590,497,497,"{'C': 0.0078125, 'gamma': 0.00390625, 'kernel': 'rbf'}"
584,611,611,509,573,"{'C': 0.0078125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
507,576,580,474,520,"{'C': 0.0078125, 'gamma': 0.015625, 'kernel': 'rbf'}"
563,599,597,485,560,"{'C': 0.0078125, 'gamma': 0.03125, 'kernel': 'rbf'}"
447,570,569,609,436,"{'C': 0.0078125, 'gamma': 0.0625, 'kernel': 'rbf'}"
561,560,562,616,546,"{'C': 0.0078125, 'gamma': 0.125, 'kernel': 'rbf'}"
523,524,542,576,497,"{'C': 0.0078125, 'gamma': 0.25, 'kernel': 'rbf'}"
556,531,523,601,546,"{'C': 0.0078125, 'gamma': 0.5, 'kernel': 'rbf'}"
496,497,498,564,482,"{'C': 0.0078125, 'gamma': 1.0, 'kernel': 'rbf'}"
512,491,491,567,486,"{'C': 0.0078125, 'gamma': 2.0, 'kernel': 'rbf'}"
540,483,484,588,520,"{'C': 0.0078125, 'gamma': 4.0, 'kernel': 'rbf'}"
487,479,479,557,475,"{'C': 0.0078125, 'gamma': 8.0, 'kernel': 'rbf'}"
603,470,460,418,604,"{'C': 0.0078125, 'gamma': 16.0, 'kernel': 'rbf'}"
601,452,455,459,600,"{'C': 0.0078125, 'gamma': 32.0, 'kernel': 'rbf'}"
432,433,436,441,573,"{'C': 0.0078125, 'gamma': 64.0, 'kernel': 'rbf'}"
413,414,415,420,413,"{'C': 0.0078125, 'gamma': 128.0, 'kernel': 'rbf'}"
412,393,397,398,412,"{'C': 0.0078125, 'gamma': 256.0, 'kernel': 'rbf'}"
411,392,296,397,409,"{'C': 0.0078125, 'gamma': 512.0, 'kernel': 'rbf'}"
244,266,238,219,369,"{'C': 0.0078125, 'gamma': 1024.0, 'kernel': 'rbf'}"
171,163,170,144,259,"{'C': 0.0078125, 'gamma': 2048.0, 'kernel': 'rbf'}"
195,141,91,168,330,"{'C': 0.0078125, 'gamma': 4096.0, 'kernel': 'rbf'}"
209,192,113,181,375,"{'C': 0.0078125, 'gamma': 8192.0, 'kernel': 'rbf'}"
222,220,173,188,399,"{'C': 0.0078125, 'gamma': 16384.0, 'kernel': 'rbf'}"
590,617,617,528,580,"{'C': 0.015625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
572,603,602,489,564,"{'C': 0.015625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
499,590,590,497,497,"{'C': 0.015625, 'gamma': 0.00390625, 'kernel': 'rbf'}"
584,611,611,509,573,"{'C': 0.015625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
507,576,580,474,520,"{'C': 0.015625, 'gamma': 0.015625, 'kernel': 'rbf'}"
