rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
20,0.7498317067281126,0.14696357567580323,20,0.8544884845777283,0.10257229501163852,20,0.8514078865876377,0.10302858743372527,20,0.7733759124087591,0.09525210791936702,{'n_estimators': 50}
19,0.7840957981265354,0.1817235659178229,19,0.888780405254207,0.1144140539927885,19,0.8846661043735049,0.11525414015399019,19,0.8165510948905108,0.11761574762642296,{'n_estimators': 100}
18,0.80115201643898,0.19669807297549674,18,0.9039191303087651,0.11557257019638165,18,0.8995132784270006,0.11786895662984223,18,0.8366423357664233,0.12752011789436457,{'n_estimators': 150}
17,0.8125649300906224,0.20306317689365122,17,0.9155374651818748,0.11002401043275647,17,0.9108037379102722,0.11445400438227932,17,0.8489963503649636,0.13207356785888438,{'n_estimators': 200}
16,0.8210624364647685,0.20680404361768645,16,0.9236416136003273,0.10605366911843375,16,0.9188392428263761,0.11139939973179698,16,0.8578467153284672,0.13529650446565292,{'n_estimators': 250}
15,0.8279468881358876,0.20878270572593863,15,0.9289030199329105,0.10315098675792009,15,0.9241242404515951,0.10936108709034685,15,0.8646350364963503,0.13743516676092485,{'n_estimators': 300}
14,0.8331698467342502,0.21061777125261835,14,0.9335900437477622,0.0998982877480753,14,0.9287976586729598,0.10639204792597093,14,0.8700364963503648,0.13916504660893256,{'n_estimators': 350}
13,0.8371016546170825,0.21191530479263485,13,0.9374019624688849,0.0963324925242173,13,0.9324431566479779,0.10348065643165329,13,0.8739051094890511,0.14047295438532198,{'n_estimators': 400}
12,0.8396838137844753,0.21347960796559387,12,0.9398737962838645,0.09401763677482677,12,0.9347660244049496,0.10165597057701721,12,0.8765875912408759,0.1420252742967969,{'n_estimators': 450}
11,0.8431245093826416,0.21314280103370128,11,0.9430076639835132,0.09014416635964537,11,0.9377077713657014,0.09832344224887654,11,0.8797445255474454,0.14218851170014535,{'n_estimators': 500}
10,0.8451967760696218,0.2132187957036832,10,0.9458479785241163,0.08676585201426877,10,0.940427835980279,0.09526395010185676,10,0.8816788321167884,0.14258731515224315,{'n_estimators': 550}
9,0.847453676480019,0.21418352979246114,9,0.947493481258418,0.08485792705854914,9,0.9417928589113304,0.09397198083941434,9,0.8838686131386861,0.14349385459736144,{'n_estimators': 600}
8,0.8484558130168764,0.21456029461367393,8,0.9488799692417693,0.08295199669175024,8,0.942949932069495,0.09258543116787485,8,0.8849817518248175,0.14363076668631708,{'n_estimators': 650}
7,0.8495052140110191,0.2148527440225879,7,0.950036113482047,0.08163835592592643,7,0.9440749110165552,0.09146336360822382,7,0.8859671532846715,0.1440174078808195,{'n_estimators': 700}
6,0.8507209854005577,0.21486917104076067,6,0.9506582676930421,0.08121659150102009,6,0.9447093095744512,0.09103441815028701,6,0.8871167883211679,0.1440427935115784,{'n_estimators': 750}
5,0.851724219826559,0.21441337485795162,5,0.9515333661268391,0.08009319914969684,5,0.9455279796734519,0.09000347872995482,5,0.8879379562043797,0.14391383067700989,{'n_estimators': 800}
4,0.8522062219317966,0.2147798730182445,4,0.9523422015657769,0.07912639810223657,4,0.9462414420666662,0.08919963351943316,4,0.8884671532846715,0.14425301481062464,{'n_estimators': 850}
3,0.852882713437092,0.214884678731927,3,0.9530633390182516,0.07821638370185088,3,0.9469206489739266,0.0884579365784979,3,0.8891970802919709,0.14414617640284283,{'n_estimators': 900}
2,0.8536573754185917,0.21580799780188095,2,0.9537847728377065,0.07722816354616291,2,0.9474851195684877,0.08777652657265349,2,0.890036496350365,0.14485109504499596,{'n_estimators': 950}
1,0.8541536979589729,0.2157631553946984,1,0.9542202225109969,0.0767490002119808,1,0.9478046173690636,0.08751143631568349,1,0.8904379562043795,0.1449569544650075,{'n_estimators': 1000}
