rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
43,0.9822364572641152,0.015280025166795606,50,0.9990352509954601,0.0009964658465805346,54,0.9988000515589217,0.0011624616498756304,43,0.9826098395159167,0.014805231116317121,"{'reg_alpha': 0, 'reg_lambda': 0}"
42,0.9822527662694167,0.01552008460187035,52,0.9990218439169656,0.0010456180729270204,56,0.9987789487106008,0.0012040016154274105,42,0.9826229939489608,0.015042909485413702,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
38,0.9823596805759098,0.015449128064933744,47,0.9990485507896402,0.0010509579525915273,41,0.9988786233399132,0.0012203907126518416,38,0.9827413838463561,0.014952986061647324,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
14,0.9828254658745597,0.01456693649686197,40,0.9990833801231374,0.0009861759001764951,44,0.9988520073628011,0.0012200069394379747,14,0.9831754801368062,0.014121478400085898,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
32,0.9825236151594741,0.01468444267984795,26,0.9991237311380333,0.0009718540682507578,29,0.9989286300026012,0.0012131770628823616,32,0.9828729281767956,0.014225447420155071,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
24,0.9826791497551179,0.014680806611610349,22,0.9991330562214105,0.0009575386310854823,28,0.9989290620369345,0.0011958020064829673,26,0.9830307813733228,0.014238602843496973,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
3,0.9835440517989704,0.014179139129723945,2,0.9991792698049613,0.0008939104544100518,4,0.9990050164691058,0.0010813822823426739,2,0.9838726650881346,0.013759587267624152,"{'reg_alpha': 0, 'reg_lambda': 1}"
17,0.9827741054174404,0.015269296314595879,24,0.9991326703439578,0.000957580964509423,18,0.998960048895723,0.001167762802157083,17,0.9831360168376744,0.01480751004254128,"{'reg_alpha': 0, 'reg_lambda': 2}"
35,0.9824429150672549,0.015507418204112215,33,0.999102964701661,0.0009812934584913489,34,0.998913357267762,0.0012253102297940404,34,0.9828203104446198,0.015021441006470442,"{'reg_alpha': 0, 'reg_lambda': 3}"
41,0.9822605035074382,0.015064284637390835,31,0.9991125960644514,0.0009744544977427201,24,0.9989343555666765,0.0011759085790546081,41,0.9826361483820047,0.014587726536279101,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
25,0.9826781538857501,0.01472319644183373,20,0.9991367592606435,0.0008966797578466594,19,0.9989568578975921,0.0010689093720286566,25,0.9830439358063667,0.014256784000128126,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
19,0.9827684404885046,0.014452745909788754,46,0.9990547282896692,0.0010050683729137559,46,0.9988460454183901,0.0011875466350451758,21,0.9831097079715864,0.014016627105000377,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
28,0.9825883843380614,0.015118743007790321,30,0.9991169393487855,0.0009764834087634305,32,0.9989222453469594,0.0011930123471532955,28,0.9829518547750592,0.014647530599102412,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
37,0.9823939558854182,0.01490446368884208,27,0.9991218813488087,0.0009460522529867479,26,0.9989323077367771,0.0011408523158592811,37,0.9827545382794002,0.014449077395947297,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
27,0.9826401452106444,0.0154210331914073,35,0.9990942192996591,0.000961672132175585,42,0.9988738916206575,0.001202395078440261,27,0.9830176269402789,0.014948287005658865,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
30,0.9825560621013428,0.014956309583910452,16,0.9991444525842091,0.0009560957974654918,17,0.998961943576063,0.0011889260362308582,29,0.9829255459089714,0.014483598286666696,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
11,0.982966139755756,0.015048508855347446,3,0.9991786382118211,0.0009161176628709639,1,0.99903250539339,0.0010988587495253488,11,0.9833333333333332,0.014578269484338062,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
23,0.9826838936424126,0.01557589511581391,15,0.9991484082606984,0.0009247516540105363,27,0.9989321877569918,0.001157224438074429,23,0.9830702446724546,0.01508123478763084,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
44,0.9820808941470837,0.015422456397255199,43,0.9990728974074019,0.0010287955144417302,35,0.998908956169822,0.0012339495623501333,44,0.9824651407524335,0.01493341621908357,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
34,0.9824526265299364,0.01451887754317726,45,0.9990604437749904,0.0009531108253375639,52,0.9988109620017674,0.0011269372960969806,35,0.982807156011576,0.014070976740000974,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
29,0.982563863332097,0.014751745458853686,41,0.9990805492015555,0.0009528194210992093,37,0.9989070960401394,0.0011114513222646783,29,0.9829255459089714,0.014296793144687925,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
16,0.9827778480088414,0.014704302120974285,29,0.9991201907556636,0.0009582442024622812,16,0.9989685895880672,0.0011228022691651908,18,0.9831228624046304,0.014261286233891038,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
12,0.9829427366872583,0.01474770991398424,32,0.9991101354467927,0.0009485256945695469,38,0.9988927476144728,0.0011332356652904386,12,0.9832938700342015,0.014302141825408296,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
2,0.9835500910893288,0.013743480531708228,1,0.999200008555059,0.0008228541113716973,3,0.9990103198677428,0.0010392686632945392,2,0.9838726650881346,0.013331185571972185,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
7,0.9832090982719641,0.015009715609025961,12,0.9991574755156432,0.0009161709022472124,2,0.9990172853016415,0.0010748143953121956,7,0.9835569586950802,0.014570457154493208,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
4,0.9834677847235568,0.01461278290187102,4,0.9991772469765203,0.0008951515265388229,5,0.9990005362315635,0.0011336067612368766,4,0.983806892922915,0.014182980139508387,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
5,0.9833034075214071,0.01512238695975671,14,0.9991570567607392,0.0009236285494015902,25,0.998932508425951,0.001207317960275949,5,0.9836621941594317,0.014666431872739949,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
15,0.9827950433909546,0.014950883676122358,5,0.9991710625549226,0.0008804656708334967,7,0.9989992038260986,0.0010684352823167418,15,0.9831623257037622,0.014478722989850644,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
10,0.9830081219745853,0.01472476274002011,18,0.9991402408096797,0.0008992776951314486,20,0.9989545451436186,0.0010944710389317084,10,0.9833596421994212,0.014279014370706047,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
8,0.9831277685294012,0.01423841083825519,23,0.9991328260792525,0.0008625583110462852,33,0.9989196427912637,0.0010723123641105433,8,0.9834648776637727,0.013811565866102186,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
13,0.9828904764103535,0.01474073538272455,34,0.9990965414859445,0.0009911951439425444,36,0.9989082144862627,0.0012282066419488304,13,0.9832412523020257,0.014292181023943161,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
9,0.9830286329528685,0.014728885185633452,13,0.999157444368584,0.0009096628221410875,12,0.9989811073579673,0.0010604335820923354,9,0.983372796632465,0.01428491482266212,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
33,0.9825012787470861,0.015132204885233076,11,0.9991604050695784,0.000891913906259439,8,0.998998099899068,0.0010502505267447329,32,0.9828729281767956,0.01466171178924057,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
6,0.9832880390747049,0.014843059561076337,7,0.999169524236288,0.000928212995100021,6,0.9990003808071041,0.001144912328904085,6,0.9836358852933438,0.01439634758640319,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
22,0.9827242607541397,0.01573485159486373,9,0.9991643624764597,0.0008979894832838244,13,0.9989788392246067,0.0010974751740312734,18,0.9831228624046304,0.015230970374242113,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
26,0.982674560639208,0.015523158523207847,10,0.9991616942117414,0.000883172968035553,9,0.9989952075217683,0.0010861184447747848,24,0.9830570902394106,0.01502824747391936,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
39,0.9823334375117418,0.015196907559735177,38,0.9990859687898161,0.0010132176150578018,45,0.9988507697177971,0.0012689251973011782,40,0.9827019205472245,0.014728794933577156,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
36,0.9824043057558006,0.015453130174236274,19,0.999139406760656,0.000917152688392351,15,0.9989774407473521,0.0011082852811061723,36,0.9827808471454882,0.01497084289302069,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
48,0.9818707933274601,0.01609192822182512,21,0.9991361674665231,0.0009764433541780728,22,0.998937386376652,0.0012185710653289776,48,0.9822941331228623,0.01554770516338016,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
31,0.9825430327785896,0.015022770718221215,39,0.9990853527702056,0.0009750417716500597,39,0.998891247413874,0.0011687228594309982,31,0.9829123914759273,0.014554855581264204,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
21,0.9827378317781074,0.014828078231835145,6,0.9991697734127596,0.0009255025230858532,10,0.9989899430963242,0.001167864025026766,22,0.9830965535385424,0.014374551474692403,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
20,0.9827555298015012,0.014965545559208475,25,0.9991240858684272,0.0009294165821664261,23,0.9989355740311998,0.0011229483829314334,18,0.9831228624046304,0.014500195448742797,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
1,0.9836484978032759,0.013981497582973165,8,0.9991667313833336,0.0008907998416878983,11,0.9989883893888342,0.0010820883962922472,1,0.9839647461194423,0.013576776948742104,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
40,0.9823171570466623,0.01575959704139827,17,0.9991409537312516,0.0009699027295395747,14,0.9989784548951877,0.0011460635732183392,39,0.9827150749802683,0.015239818026223527,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
18,0.982772913347671,0.015478076624229658,28,0.9991208171576274,0.0009214602572137701,21,0.9989379246757357,0.001094109843692506,16,0.9831491712707183,0.014993480257553296,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
54,0.9812349557648139,0.017092337923047242,49,0.9990396115837157,0.0010087966029317876,43,0.998865695189045,0.0011617791881259234,54,0.9817021836358852,0.01649082244795214,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
45,0.982010373854911,0.016094923871999824,37,0.9990918192457261,0.0009487647877858133,31,0.9989242389843355,0.0011152847622877648,45,0.9824256774533018,0.015570226210227744,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
47,0.9819133627532611,0.01621996003295105,36,0.9990922310790614,0.0009262628574111598,30,0.9989260017580998,0.0010408088689159247,47,0.9823335964219944,0.015687156411911648,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
52,0.9814259917522283,0.015882284362815517,42,0.9990792600593925,0.0010043105633050396,40,0.9988889548147319,0.00123614822148262,52,0.9818600368324126,0.015334729189830178,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
58,0.9805697108394581,0.017201957015249396,51,0.9990311863042644,0.0010452108304179922,47,0.9988435143019181,0.0012302526265704032,58,0.9810576164167324,0.016584031167680965,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
