rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
9,0.974620024270882,0.019246662995691985,2,0.9985765066328053,0.0016399297274982305,2,0.9982363404705105,0.0020967557437314454,9,0.9753512132822477,0.01845368102942518,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
8,0.9747424750136353,0.018801434371435104,13,0.9984845364009141,0.0016351561249687452,11,0.9981189809944728,0.0020872954116358863,7,0.975462962962963,0.01805763742086863,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
4,0.9752240803886825,0.017424167953201286,4,0.9985542142943359,0.001616584935197496,5,0.9981642323646615,0.002167834998453904,4,0.9758780332056194,0.01677281805616062,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
13,0.9736584860227738,0.018432619674135738,15,0.9984602103038874,0.001677017577921464,10,0.9981208958467995,0.0021127374696042213,13,0.9744093231162196,0.01772121256873852,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
1,0.9760589333484215,0.01764321688451293,6,0.9985382882827778,0.0016105038802299821,9,0.9981292770295779,0.0021561544586088037,1,0.9766762452107279,0.01699126204925635,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
3,0.9752752185673842,0.01792700097787229,7,0.9985237410473846,0.001589642454572552,6,0.9981568316464191,0.0020654138884038686,3,0.9759578544061303,0.017253894870923537,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
15,0.9729169796958897,0.019001503965852942,14,0.9984828823792304,0.0017170890398358098,15,0.9980516087583189,0.0023224917622120585,15,0.9737388250319284,0.0182457366709171,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
12,0.9740547151195742,0.01799146068376226,9,0.9985116302445484,0.0016810425090730903,8,0.9981296214867761,0.0022039431976681083,11,0.9747765006385697,0.017300994329126494,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
5,0.9751309955175749,0.018584580414162808,5,0.9985484876583989,0.0015590314636263734,12,0.9981135306462117,0.0021153350949348077,5,0.975830140485313,0.017829161815430688,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
6,0.9750399332679418,0.017838186157886304,8,0.9985204967182579,0.0016233785259825364,4,0.9981942916741426,0.0020543209646443172,6,0.9757183908045978,0.01717817515032418,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
10,0.9746031418511013,0.01792607805289763,3,0.998565578366273,0.001555720710418137,3,0.99820966857694,0.0020267706021708945,10,0.9753033205619414,0.01724009325415008,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
14,0.9734873539568237,0.017932238926595154,11,0.9984890652091296,0.0016215803053166152,7,0.9981419917723674,0.0020760434010992385,14,0.9742177522349937,0.017246847673563336,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
2,0.9755400872813711,0.0183957134053634,1,0.9986059630004778,0.0016244699878562243,1,0.9982658793469181,0.002133100797251562,2,0.9762132822477649,0.017690870469099496,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
7,0.9747783794893541,0.017830965637155135,10,0.9985024401024974,0.0016614796586652428,13,0.9981070822273729,0.0021754280675655175,7,0.975462962962963,0.01714499928809628,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
11,0.974055339447589,0.01774589386552913,16,0.9984213395200371,0.0017534913350939142,16,0.9979879429629979,0.002314100776764997,12,0.9747605363984675,0.017073111057777757,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
16,0.9728434897129776,0.018609750195806133,12,0.9984845746294585,0.00164342719113084,14,0.9980528001306729,0.0022030230938415636,16,0.9736430395913154,0.017878837084570345,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
