rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
45,0.981947942078295,0.0141087299674385,54,0.9986674736738509,0.0013144249908890364,53,0.9983186268052846,0.0016728462910933354,45,0.982253771073647,0.013736680253358316,"{'reg_alpha': 0, 'reg_lambda': 0}"
53,0.9814748250865849,0.014360776822388911,51,0.9987009398681232,0.001281456030205751,51,0.9983256399824668,0.0017233652919030366,53,0.981810115350488,0.013973746777657226,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
32,0.9824394823174565,0.012569582422781833,47,0.9987201062887511,0.0012850465473700956,47,0.998353909516472,0.0017157848867822474,32,0.9827196095829637,0.012265175204315922,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
41,0.9820738830630896,0.012876424768899527,55,0.9986665485680544,0.0014217682945266998,54,0.9983165488580783,0.0019096276085991295,41,0.9823646850044365,0.012554359535786173,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
28,0.9825285769164969,0.012485077805297121,11,0.9988507725617557,0.0012982192045712176,5,0.9986394037216424,0.0016142162359305662,28,0.9827861579414374,0.012193149335031411,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
29,0.982479880696163,0.013580258576652708,35,0.9987769806121444,0.001231238461501203,36,0.9984385095600985,0.0015164362120552147,29,0.9827639751552797,0.01323080002536014,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
3,0.9836067984458019,0.01256310242515318,1,0.9989394400157465,0.0010427545563428367,6,0.9986357286887676,0.0014308472480375274,3,0.9838509316770185,0.01226862501932729,"{'reg_alpha': 0, 'reg_lambda': 1}"
43,0.9820106970193272,0.014128213746420655,18,0.9988325017222716,0.0012500755780279669,15,0.998522071421019,0.0016366292927483116,43,0.9823203194321206,0.013752361359436338,"{'reg_alpha': 0, 'reg_lambda': 2}"
5,0.9832807099990228,0.013811856963442878,28,0.9987933963192599,0.0012179940675652505,45,0.9983618347468886,0.001655477561923267,5,0.9835625554569652,0.013449136218342695,"{'reg_alpha': 0, 'reg_lambda': 3}"
49,0.9817529196400399,0.01343618538906122,27,0.9987969146737525,0.001221084842346742,24,0.9984714451454616,0.001608205611011432,50,0.9820541259982253,0.013083970671989973,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
