rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
51,0.9232795549762157,0.037552022819480314,52,0.97934449817475,0.011094463348611814,52,0.973480149173867,0.014188638529675996,51,0.9261560084328883,0.033605068550280975,"{'max_depth': 3, 'min_child_weight': 1}"
49,0.9237869466591722,0.03785511952472266,51,0.979378051960366,0.0116683523116933,50,0.9740528193205839,0.014824958680564465,49,0.9266900913562894,0.033900094281261894,"{'max_depth': 3, 'min_child_weight': 2}"
54,0.9217908844714084,0.039754049753519816,53,0.9790082511575721,0.01174539117804378,53,0.9732004487135368,0.015165885119422797,54,0.9249613492621223,0.03551363602831752,"{'max_depth': 3, 'min_child_weight': 3}"
53,0.9225733583606031,0.03953442176462856,50,0.9794216307937862,0.011428766312835454,49,0.9741465111925829,0.014148082553510239,53,0.9257062543921293,0.035256673339734174,"{'max_depth': 3, 'min_child_weight': 4}"
50,0.9237432385797991,0.038083253337950096,49,0.9795877799111871,0.010938775015469504,51,0.9735248978800124,0.014402713911045585,50,0.9266198172874208,0.03411675118513489,"{'max_depth': 3, 'min_child_weight': 5}"
52,0.9230201275686019,0.03919734099423753,54,0.9785986227658465,0.012041278749035001,54,0.9729225610001103,0.014718233552310977,52,0.9260576247364722,0.035058757503142565,"{'max_depth': 3, 'min_child_weight': 6}"
43,0.9591845087034118,0.029040177607304634,43,0.9936089717757867,0.004780365387666171,43,0.9918440715323819,0.006143749866150957,43,0.9605621925509489,0.02719591575060788,"{'max_depth': 4, 'min_child_weight': 1}"
45,0.9573498553619764,0.030744314309644836,45,0.9934223853885176,0.005087666818350962,45,0.9915222032348258,0.006605185867584793,45,0.9588896697118763,0.0287132312248265,"{'max_depth': 4, 'min_child_weight': 2}"
47,0.9562872736347661,0.03284374155804791,47,0.9931236448900899,0.005482762422427605,47,0.9910343616812091,0.00728422578451466,47,0.9579479971890373,0.03063474209961077,"{'max_depth': 4, 'min_child_weight': 3}"
44,0.95749869661232,0.03047287100128525,44,0.993523785537066,0.0047940058539683765,44,0.9917419856307271,0.005997286245434647,44,0.9590302178496135,0.028422225309923384,"{'max_depth': 4, 'min_child_weight': 4}"
48,0.9555422649450243,0.03250380770001287,48,0.9930516047978003,0.005310077763877395,48,0.9908031027613223,0.0069647247644789925,48,0.9572733661278988,0.030243431620122573,"{'max_depth': 4, 'min_child_weight': 5}"
46,0.9566831853878692,0.031643251047823236,46,0.9932814302533226,0.005113058740648497,46,0.9914863169902212,0.006412846141228358,46,0.9582712579058328,0.029504545845975866,"{'max_depth': 4, 'min_child_weight': 6}"
37,0.9708781575085826,0.020556275466475853,37,0.9974310039665607,0.0023080748702568937,37,0.9968968515914567,0.0028267830000157225,37,0.9716654954321855,0.019656218593829006,"{'max_depth': 5, 'min_child_weight': 1}"
40,0.9699820115378788,0.02163121897099215,38,0.9972498143143855,0.002542121018611189,38,0.9965864037262804,0.0032196567777374426,40,0.9708643710470835,0.02061988238339862,"{'max_depth': 5, 'min_child_weight': 2}"
38,0.9702430834450866,0.020947693654036606,39,0.9972274214194282,0.00248180885998099,39,0.9964610481673988,0.0032152693682442326,38,0.9710611384399156,0.01997932191912314,"{'max_depth': 5, 'min_child_weight': 3}"
39,0.970017016506081,0.021932096255769598,40,0.9971286603770603,0.0025205194822697677,40,0.9963664665889784,0.003224363664730603,39,0.9708784258608574,0.020874620874629938,"{'max_depth': 5, 'min_child_weight': 4}"
42,0.9689660927446224,0.022790977440637034,42,0.9969364836675674,0.0026618756211532137,42,0.9960397012866604,0.0035341348660455937,42,0.9698805340829233,0.021674901636146018,"{'max_depth': 5, 'min_child_weight': 5}"
41,0.9699201446355303,0.021930299053710713,41,0.9970363232668026,0.002651057948277492,41,0.996247903934588,0.0033808685917795407,41,0.9707940969782151,0.020851612959171695,"{'max_depth': 5, 'min_child_weight': 6}"
12,0.976529547915862,0.016379716677520993,28,0.9984776308095892,0.0015007305727222713,28,0.9981034291451962,0.0019258392492399275,12,0.9770765987350668,0.015794471794857934,"{'max_depth': 6, 'min_child_weight': 1}"
23,0.9756065440676454,0.01728406332650522,32,0.9983350301837893,0.0016568460627710653,33,0.9978950086525427,0.002154523814281085,24,0.9762052002810963,0.016641849130565444,"{'max_depth': 6, 'min_child_weight': 2}"
27,0.9752458870949079,0.018056627058116094,34,0.9982227792790658,0.001723248826428295,34,0.99767809026229,0.0023367763239111714,26,0.9758819395643007,0.01734323016493842,"{'max_depth': 6, 'min_child_weight': 3}"
26,0.9752530000053751,0.01880585275499159,33,0.9982848298803711,0.0016571062025334921,32,0.9979856818624331,0.001987720569121264,26,0.9758819395643007,0.018053155260151575,"{'max_depth': 6, 'min_child_weight': 4}"
33,0.9742274715647143,0.018394069722839374,36,0.9980351637194014,0.0018863409369301453,36,0.9974904066347351,0.0024075131590248684,34,0.974869992972593,0.017668784851396866,"{'max_depth': 6, 'min_child_weight': 5}"
31,0.9744488178885973,0.018921985080281978,35,0.9980443867633813,0.0018234126980470231,35,0.9976036295824118,0.002286233619323515,31,0.97512297962052,0.018141057259606526,"{'max_depth': 6, 'min_child_weight': 6}"
7,0.9773526171359548,0.015258482479586916,7,0.9987681774364322,0.0012188256614978227,7,0.9985100868691174,0.0015053129466612444,7,0.9778777231201687,0.014725890469314596,"{'max_depth': 7, 'min_child_weight': 1}"
1,0.9785293329888163,0.014743510369227424,9,0.9987258648208727,0.0012452524236599835,10,0.9984411588348939,0.0015594042798010314,1,0.9789880534082924,0.01425022274702638,"{'max_depth': 7, 'min_child_weight': 2}"
3,0.9779753842074476,0.015418801544580533,14,0.9986431715102956,0.0012984927976213273,16,0.9983170419804599,0.001650024658174168,3,0.9784680252986648,0.014874522236962584,"{'max_depth': 7, 'min_child_weight': 3}"
4,0.9775028713599513,0.01608800791366351,24,0.9985208402471594,0.0014397988017948872,27,0.9981354206009039,0.0018522300165820758,5,0.978004216444132,0.015515330395719572,"{'max_depth': 7, 'min_child_weight': 4}"
17,0.9761392971796825,0.017647014567750335,30,0.9984447150713507,0.0015081454580977201,29,0.9980982724330923,0.0018785045251776744,17,0.9767392832044977,0.01696317624293142,"{'max_depth': 7, 'min_child_weight': 5}"
21,0.9758926111254731,0.017406473536244086,31,0.9983757802746567,0.0015547033400714703,31,0.9980379938688377,0.0019055669626647266,21,0.9764862965565706,0.01673358832506695,"{'max_depth': 7, 'min_child_weight': 6}"
2,0.9782022381327774,0.0152071948620533,3,0.9988875456312523,0.0011021711149055487,3,0.9986452051073578,0.001377986109826211,2,0.978706957132818,0.014704116346207167,"{'max_depth': 8, 'min_child_weight': 1}"
6,0.9774123044010713,0.016446255824443097,4,0.9988023574171526,0.0012313425401544657,4,0.9985767330293562,0.0014905138040495298,6,0.977962052002811,0.0158534685943381,"{'max_depth': 8, 'min_child_weight': 2}"
11,0.9766031487761279,0.01645402985778735,16,0.9986312046650546,0.001375353667822747,17,0.9982958773184812,0.0017494260969599953,11,0.9771749824314828,0.015856570886897035,"{'max_depth': 8, 'min_child_weight': 3}"
9,0.9771871493280642,0.01721734929384477,18,0.9986046773021066,0.0014186388802178466,15,0.9983333696488502,0.0017269787455051644,9,0.9777371749824315,0.016587681517923867,"{'max_depth': 8, 'min_child_weight': 4}"
