rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
20,0.8613946111641788,0.050852074967687635,20,0.9437849239218778,0.024217309779505956,20,0.9324759368972095,0.030552791213055187,20,0.8687770095073466,0.04217888794377585,{'n_estimators': 50}
19,0.9064937273740368,0.046354871696459736,19,0.9712101475096816,0.01500023608533272,19,0.9616020802277372,0.02113284218579719,19,0.9111495246326708,0.04056016414254935,{'n_estimators': 100}
18,0.9247004479883522,0.04483622661865678,18,0.9813789570484319,0.011156479208913654,18,0.9741765532167262,0.01614235041471138,18,0.9282843560933449,0.040130239921466346,{'n_estimators': 150}
17,0.9383811216032003,0.04113666420518187,17,0.9870599772602313,0.008502062518125457,17,0.9818920762474337,0.012085690367216441,17,0.9410760587726881,0.037524679393585114,{'n_estimators': 200}
16,0.9457974204353539,0.03919435014331128,16,0.9904796828683782,0.0067920093577620135,16,0.9868189991983416,0.009637814697384353,16,0.9481201382886777,0.03606958626372794,{'n_estimators': 250}
15,0.9527964630792318,0.03475364245762871,15,0.9926561528853508,0.005497340459473506,15,0.9900081279950023,0.007463951681276025,15,0.9546024200518582,0.03234113672749611,{'n_estimators': 300}
14,0.9572053295388437,0.03236048704676983,14,0.9942680039353844,0.004513321850854749,14,0.992385202790358,0.00602531057798637,14,0.9587942955920484,0.030272063046092493,{'n_estimators': 350}
13,0.9605618041765153,0.029810442882940266,13,0.9953030499976094,0.0038397250592064522,13,0.9938601089678715,0.005021561656726768,13,0.9619273984442526,0.028044025455301855,{'n_estimators': 400}
12,0.9636553375814616,0.026864264826662664,12,0.996177693474792,0.0032355334698486358,12,0.9950916975181606,0.0042084104037516164,12,0.9648012100259292,0.025421548044135718,{'n_estimators': 450}
11,0.966526786602846,0.024673009141394683,11,0.9967987556625311,0.002855159844846432,11,0.9958759523796546,0.0036763634557488226,11,0.9675021607605878,0.02347509014633589,{'n_estimators': 500}
10,0.9682695623588818,0.022611973183041804,10,0.9972203359569228,0.002507735783655502,10,0.996428057050117,0.003214245246038426,10,0.9691227312013829,0.021575213403502314,{'n_estimators': 550}
9,0.9700964331826679,0.021305133294874854,9,0.9975340396182946,0.0022767999849601845,9,0.9968516898770068,0.0028733804737380688,9,0.9708729472774417,0.020370437935488605,{'n_estimators': 600}
8,0.9713060061098668,0.020256401013798365,8,0.9977517398462898,0.002107281715268696,8,0.9971387125915682,0.002664590963610002,8,0.9720181503889369,0.01942738871109414,{'n_estimators': 650}
7,0.9723611705860004,0.019279346371462485,7,0.997923165877797,0.0019596704660294647,7,0.9973576406235456,0.0024604830886464173,7,0.9730121002592913,0.018513998934640417,{'n_estimators': 700}
6,0.9732679153971027,0.018555632624534676,6,0.9980571327348082,0.0018419463575159662,6,0.9975365291242315,0.0023242077406459842,6,0.9738764044943821,0.017851125916724393,{'n_estimators': 750}
5,0.9743031935077276,0.01767841031605809,5,0.998158080611135,0.0017812493146266335,5,0.9976552676636811,0.0022484730361106895,5,0.9748487467588591,0.0170540553220905,{'n_estimators': 800}
4,0.9751154346954898,0.016741127104780016,4,0.9982501154170251,0.001686336172365223,4,0.9977813873401065,0.002124379865003779,4,0.9756050129645635,0.016191206421831694,{'n_estimators': 850}
3,0.9756934148405498,0.016393593913507906,3,0.9983328636345978,0.0016010432673277978,3,0.9978821703552839,0.002004841925294019,3,0.9761668107173727,0.015864544971776952,{'n_estimators': 900}
2,0.976129372992981,0.015960727318015188,2,0.9984130345787914,0.001525839166885479,2,0.9979594370817317,0.0019098130766766355,2,0.9765773552290407,0.015464374983226878,{'n_estimators': 950}
1,0.9765514261448119,0.015574721211880799,1,0.9984638049967728,0.0014797976378345848,1,0.9980331707660023,0.0018370024473033303,1,0.9769878997407087,0.015104164728005421,{'n_estimators': 1000}
