rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
30,0.8582786907524408,0.21932582487571028,46,0.9592529367636781,0.07098926870837971,37,0.9521687695470467,0.08276605101056515,33,0.8952737226277373,0.14715304480197114,"{'reg_alpha': 0, 'reg_lambda': 0}"
19,0.8585193755195046,0.2193338371387053,41,0.9594177334545974,0.0706975776523137,35,0.9522459278264301,0.08283783589185952,30,0.8953284671532847,0.1474960773690481,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
6,0.858983372931766,0.21957279856353362,18,0.9599251103950351,0.07008321305349345,9,0.9527781615184647,0.081846992762302,7,0.895948905109489,0.14734617388915836,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
9,0.8588620547418457,0.21854043971158676,12,0.960174328385803,0.06945422090647826,12,0.9527479849497231,0.08189460505935946,15,0.8955839416058395,0.14692629727863638,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
50,0.8578537582270954,0.2180987054589504,24,0.959791145859973,0.07001444922990527,22,0.9525453437919715,0.08196738527945317,61,0.8946350364963503,0.14651429512329342,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
44,0.857916432769442,0.21946626123260493,4,0.960324603094684,0.06899372996790139,11,0.9527627491976514,0.08168453138752603,43,0.8950364963503649,0.14715456321495898,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
21,0.8584231774841733,0.21901436221985948,1,0.9610125074857638,0.06748585836386434,1,0.9535158974662856,0.08015576320542343,28,0.8953467153284672,0.14704332684676166,"{'reg_alpha': 0, 'reg_lambda': 1}"
45,0.8578986695947274,0.21960507449771136,9,0.960237547791673,0.06941284453626119,21,0.9525606717150966,0.08255847058484254,40,0.8950912408759125,0.1472712350249657,"{'reg_alpha': 0, 'reg_lambda': 2}"
60,0.8575372846580344,0.2205081045319589,17,0.9599739310276115,0.06980982656372833,32,0.9522835128202909,0.08314756268498606,53,0.8948357664233576,0.14800926716568857,"{'reg_alpha': 0, 'reg_lambda': 3}"
4,0.8592168021082655,0.21957383581346207,62,0.9586230603613626,0.071870139005567,53,0.9517632957619652,0.08339967322556474,2,0.8962408759124088,0.14729202442879766,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
16,0.8585786625799348,0.2188734446537913,21,0.9598406824352548,0.069631335967159,10,0.9527689433851083,0.08138715196911563,14,0.8956204379562044,0.14670513727905105,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
8,0.8589281626706082,0.21946251770011188,39,0.9595046455690672,0.07077697641377197,36,0.9522045794681352,0.08324288156584958,9,0.8958759124087591,0.14728662104870058,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
28,0.8582960764935501,0.21956885167118792,8,0.9602412373940803,0.06889080278867483,3,0.9531841691816103,0.08049807541018181,17,0.895565693430657,0.14701923620887283,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
15,0.8586678155510891,0.22019751342606264,38,0.9595228438336487,0.07019237770867312,24,0.9524372580352785,0.08202976985848019,13,0.8956934306569343,0.14795877008495648,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
