rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
20,0.8102854429664464,0.03972506906282037,20,0.9050403352613031,0.02423176079023402,20,0.8978189568088377,0.028204945186972707,20,0.8210541110330288,0.031350319917415354,{'n_estimators': 50}
19,0.8618593845023618,0.03986311832170074,19,0.9464298167638553,0.018128342158058367,19,0.9377552254625273,0.022983862718875002,19,0.8691637385804638,0.03308496594656595,{'n_estimators': 100}
18,0.8926183865779851,0.04105720520451996,18,0.964933502820841,0.015252576933957701,18,0.9572400519582489,0.019805432460441752,18,0.8979339423752635,0.03527524749182382,{'n_estimators': 150}
17,0.9108042328118632,0.040460341685950696,17,0.9747465213577964,0.012894102443078119,17,0.9684817723397291,0.016770413812696252,17,0.9148559381588193,0.03555169519693009,{'n_estimators': 200}
16,0.9243407812467546,0.039935350101566305,16,0.981300251663269,0.01044735922782728,16,0.9761572852495632,0.013661831851306743,16,0.9277160927617711,0.03565594622964952,{'n_estimators': 250}
15,0.9336407882876474,0.039498018977152945,15,0.9853550289195467,0.009188581999276184,15,0.9812059226406553,0.012113097266414246,15,0.9365846802529866,0.03571075117913223,{'n_estimators': 300}
14,0.941930591496814,0.03753299355079843,14,0.9881641263294298,0.007939652103438855,14,0.9846398767824178,0.0105978006536818,14,0.944427266338721,0.03429940162797789,{'n_estimators': 350}
13,0.9480596714475598,0.035138886706022575,13,0.9903688229902496,0.006796807263112656,13,0.9873342969010277,0.009219112311434925,13,0.9501897399859451,0.03235860747696599,{'n_estimators': 400}
12,0.9518219626207365,0.03375304600417447,12,0.9918759264526935,0.0060604419955011275,12,0.9893901385794468,0.008182478836580733,12,0.9537174982431482,0.03127155321218705,{'n_estimators': 450}
11,0.9555382696705335,0.03248463058569935,11,0.9930985141200083,0.0053686774469905866,11,0.9910942798128042,0.007099430946070179,11,0.957259311314125,0.030251444823317382,{'n_estimators': 500}
10,0.9586431175103364,0.03031169049459733,10,0.9939453550941071,0.004862717472469459,10,0.9922087086426565,0.006376553326642475,10,0.9601405481377372,0.028387362992771368,{'n_estimators': 550}
9,0.9610425446113826,0.028779986931875376,9,0.9947902621722846,0.004319481769143683,9,0.9933951182296861,0.005604918527405901,9,0.9624174279690795,0.027030238896747397,{'n_estimators': 600}
8,0.9627560716334989,0.027513160222634392,8,0.9953708694827668,0.00393592822587119,8,0.9941773149623352,0.00505140191770547,8,0.9640337315530569,0.025912228606500623,{'n_estimators': 650}
7,0.9645747705844145,0.026500640025159807,7,0.9958415588109799,0.0035534329011836395,7,0.9947776408676043,0.0045461595569296475,7,0.9657624736472241,0.025027254988329015,{'n_estimators': 700}
6,0.9665123544288674,0.024496692759475733,6,0.9962374365903381,0.0032537350941327283,6,0.9953091883934013,0.004132761100485546,6,0.96756148981026,0.023219751916863745,{'n_estimators': 750}
5,0.9673998907065269,0.023488956194521467,5,0.9965695096319476,0.0029846641126060054,5,0.99576637550093,0.0037482172572233766,5,0.9683907238229092,0.02230700415689489,{'n_estimators': 800}
4,0.968575880907024,0.022794781494413115,4,0.9968292502251932,0.0027970812724792773,4,0.9961222508767376,0.0034843928754566206,4,0.9695010541110332,0.021700969269776643,{'n_estimators': 850}
3,0.9690642733994235,0.022509311050306586,3,0.9970698098895368,0.0026250236833362853,3,0.9964326937062454,0.0032575746198209438,3,0.9699789177793393,0.02143847046517053,{'n_estimators': 900}
2,0.9701094401268595,0.021510243897435027,2,0.9972695957584665,0.00244162648444625,2,0.9966978656130193,0.002997403253643197,2,0.9709486999297259,0.02054083985869053,{'n_estimators': 950}
1,0.9708781575085826,0.020556275466475853,1,0.9974310039665607,0.0023080748702568937,1,0.9968968515914567,0.0028267830000157225,1,0.9716654954321855,0.019656218593829006,{'n_estimators': 1000}
