rank_test_f1,mean_test_f1,std_test_f1,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,params
5,0.9774644209288654,0.016446707517524292,11,0.9986747025303595,0.0013377047301692936,13,0.998283251727908,0.0017455025393141683,5,0.9779170267934312,0.015943953545444322,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
8,0.9765732901080953,0.015624265123200802,9,0.9986899513978533,0.001323055550722453,9,0.9984046474463751,0.001635272703309781,7,0.9770527225583405,0.01516441423617568,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
14,0.9754245331621337,0.017009889777740348,13,0.9986568670515394,0.00139075073887062,10,0.9983686831004501,0.001714018483222349,14,0.9759723422644772,0.01646318076640913,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
16,0.9736100535346592,0.017824164893770075,16,0.9985024360836203,0.001517273115429259,16,0.9980946152948234,0.0019869894729825886,16,0.9742437337942956,0.017258188380661434,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
1,0.9782229414436193,0.01481802436490032,2,0.998763263619956,0.0012501359060044066,1,0.9985187695097627,0.0015055892308150503,1,0.9786084701815039,0.014382454877234174,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
6,0.9770714634775522,0.01497853465012894,6,0.9987339237903997,0.00125843070783809,4,0.9984685799230448,0.001533349053890313,6,0.9775064822817633,0.014529150857034621,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
11,0.9760174401057036,0.01589221036097461,7,0.9987232785307898,0.001293512213956742,3,0.9984777366397417,0.001546174292792919,11,0.9765125324114088,0.015437662858118251,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
9,0.9763506860578757,0.015654165535042956,12,0.9986574179904141,0.001386580359113164,12,0.9983084944137082,0.001771315326446028,9,0.9768366464995678,0.015195171482738282,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
2,0.9781260309243327,0.016256535197553726,5,0.9987405724086823,0.0013207777640443833,2,0.9984866415593829,0.0016195838815977416,2,0.9785652549697493,0.01576875644879752,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
7,0.9765806235679324,0.015992724511459368,8,0.9987053496724997,0.0013162147146588588,8,0.998439869632737,0.001594109034367298,7,0.9770527225583405,0.015513990170087314,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
3,0.9780270736822244,0.01438995088161019,3,0.9987492286855757,0.0012964954140093922,6,0.9984503223507486,0.0016257546480508882,3,0.9784140017286085,0.014000894956882753,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
15,0.9747836428348051,0.01744903067782899,14,0.99864155748739,0.001410612361608513,15,0.9982562505925454,0.0018554296480813972,15,0.9753889369057909,0.016861465860677015,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
4,0.97782250574183,0.015601681140509393,1,0.9987660369902228,0.0013093632256653213,7,0.9984499097893954,0.001697343070365185,4,0.9782411408815903,0.01513405723927938,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
10,0.9762507998709967,0.01627210087017894,10,0.9986862068810959,0.0013176693507165307,11,0.99834968967577,0.00165432391297631,10,0.9767718236819359,0.01574703849005745,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
12,0.9758779687624417,0.016563692955058044,15,0.9986266774688037,0.0014036410951472802,14,0.998270944884375,0.0017878866771109832,12,0.9764044943820226,0.01604873562107724,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
13,0.9755251497427425,0.016593942811778138,4,0.9987448118366322,0.0012108884403090356,5,0.9984589678406669,0.0014650010537945865,13,0.9760803802938636,0.01607620398443725,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
