rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
13,5,30,11,14,"{'reg_alpha': 0, 'reg_lambda': 0}"
24,79,31,22,28,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
20,17,47,17,17,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
78,25,56,72,77,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
37,10,5,37,34,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
49,15,51,44,51,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
75,1,43,74,71,"{'reg_alpha': 0, 'reg_lambda': 1}"
27,14,12,29,30,"{'reg_alpha': 0, 'reg_lambda': 2}"
40,52,23,37,48,"{'reg_alpha': 0, 'reg_lambda': 3}"
75,54,58,74,71,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
56,55,17,56,54,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
11,2,3,4,26,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
37,13,67,37,34,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
27,16,41,29,30,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
5,11,4,4,6,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
9,80,39,11,8,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
59,41,24,66,24,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
34,33,42,29,45,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
15,59,29,15,10,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
49,51,48,44,51,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
54,68,69,44,65,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
31,49,53,22,61,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
61,36,2,56,67,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
13,61,68,11,14,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
39,32,8,44,21,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
5,53,11,4,6,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
27,38,6,29,30,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
72,7,10,61,79,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
3,75,55,1,5,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
54,19,28,44,65,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
2,18,13,4,2,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
65,26,65,66,59,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
53,3,1,37,73,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
8,47,33,4,13,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
4,76,16,1,12,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
26,27,18,22,44,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
64,78,77,61,68,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
31,30,36,22,61,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
49,57,40,44,51,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
24,42,59,22,28,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
18,74,62,17,11,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
43,65,57,44,36,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
