rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
53,52,51,53,7,"{'max_depth': 3, 'min_child_weight': 1}"
51,50,53,50,4,"{'max_depth': 3, 'min_child_weight': 2}"
54,53,54,54,10,"{'max_depth': 3, 'min_child_weight': 3}"
49,51,49,49,2,"{'max_depth': 3, 'min_child_weight': 4}"
52,54,52,52,5,"{'max_depth': 3, 'min_child_weight': 5}"
50,49,50,50,1,"{'max_depth': 3, 'min_child_weight': 6}"
48,41,45,48,20,"{'max_depth': 4, 'min_child_weight': 1}"
47,43,44,46,19,"{'max_depth': 4, 'min_child_weight': 2}"
44,45,46,45,12,"{'max_depth': 4, 'min_child_weight': 3}"
37,44,48,43,8,"{'max_depth': 4, 'min_child_weight': 4}"
28,46,43,44,3,"{'max_depth': 4, 'min_child_weight': 5}"
46,48,47,47,13,"{'max_depth': 4, 'min_child_weight': 6}"
1,23,28,3,6,"{'max_depth': 5, 'min_child_weight': 1}"
21,8,34,37,17,"{'max_depth': 5, 'min_child_weight': 2}"
45,38,42,42,35,"{'max_depth': 5, 'min_child_weight': 3}"
8,33,40,35,11,"{'max_depth': 5, 'min_child_weight': 4}"
36,29,41,40,28,"{'max_depth': 5, 'min_child_weight': 5}"
31,25,38,41,23,"{'max_depth': 5, 'min_child_weight': 6}"
2,21,15,2,9,"{'max_depth': 6, 'min_child_weight': 1}"
7,1,1,10,16,"{'max_depth': 6, 'min_child_weight': 2}"
26,16,31,38,26,"{'max_depth': 6, 'min_child_weight': 3}"
11,18,23,21,24,"{'max_depth': 6, 'min_child_weight': 4}"
13,14,36,25,25,"{'max_depth': 6, 'min_child_weight': 5}"
18,28,14,33,21,"{'max_depth': 6, 'min_child_weight': 6}"
4,15,20,1,22,"{'max_depth': 7, 'min_child_weight': 1}"
25,24,17,19,38,"{'max_depth': 7, 'min_child_weight': 2}"
5,30,7,14,14,"{'max_depth': 7, 'min_child_weight': 3}"
3,12,16,3,15,"{'max_depth': 7, 'min_child_weight': 4}"
6,7,4,6,18,"{'max_depth': 7, 'min_child_weight': 5}"
33,11,21,35,34,"{'max_depth': 7, 'min_child_weight': 6}"
14,17,3,6,35,"{'max_depth': 8, 'min_child_weight': 1}"
38,19,26,25,51,"{'max_depth': 8, 'min_child_weight': 2}"
22,47,37,10,39,"{'max_depth': 8, 'min_child_weight': 3}"
15,27,9,14,33,"{'max_depth': 8, 'min_child_weight': 4}"
43,6,2,39,45,"{'max_depth': 8, 'min_child_weight': 5}"
19,36,27,21,32,"{'max_depth': 8, 'min_child_weight': 6}"
30,3,6,17,50,"{'max_depth': 9, 'min_child_weight': 1}"
41,20,11,30,52,"{'max_depth': 9, 'min_child_weight': 2}"
29,39,22,21,42,"{'max_depth': 9, 'min_child_weight': 3}"
24,13,10,10,47,"{'max_depth': 9, 'min_child_weight': 4}"
27,9,32,19,41,"{'max_depth': 9, 'min_child_weight': 5}"
9,35,13,8,29,"{'max_depth': 9, 'min_child_weight': 6}"
16,34,5,8,37,"{'max_depth': 10, 'min_child_weight': 1}"
23,4,25,14,40,"{'max_depth': 10, 'min_child_weight': 2}"
12,2,8,17,31,"{'max_depth': 10, 'min_child_weight': 3}"
35,40,39,30,44,"{'max_depth': 10, 'min_child_weight': 4}"
17,31,30,25,27,"{'max_depth': 10, 'min_child_weight': 5}"
42,42,29,33,54,"{'max_depth': 10, 'min_child_weight': 6}"
40,26,19,25,53,"{'max_depth': 12, 'min_child_weight': 1}"
20,32,18,5,46,"{'max_depth': 12, 'min_child_weight': 2}"
39,5,33,30,49,"{'max_depth': 12, 'min_child_weight': 3}"
10,22,24,10,30,"{'max_depth': 12, 'min_child_weight': 4}"
34,37,12,29,43,"{'max_depth': 12, 'min_child_weight': 5}"
32,10,35,21,48,"{'max_depth': 12, 'min_child_weight': 6}"
