rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,20,20,20,20,{'n_estimators': 50}
19,19,19,19,10,{'n_estimators': 100}
18,18,18,18,4,{'n_estimators': 150}
17,17,17,17,1,{'n_estimators': 200}
16,16,16,16,3,{'n_estimators': 250}
14,15,15,15,2,{'n_estimators': 300}
15,14,14,14,6,{'n_estimators': 350}
13,13,13,13,5,{'n_estimators': 400}
12,12,12,12,7,{'n_estimators': 450}
11,11,11,11,8,{'n_estimators': 500}
10,10,10,10,9,{'n_estimators': 550}
9,9,9,9,12,{'n_estimators': 600}
8,6,8,8,16,{'n_estimators': 650}
7,7,7,7,11,{'n_estimators': 700}
6,8,6,6,14,{'n_estimators': 750}
4,5,5,5,13,{'n_estimators': 800}
2,1,4,3,15,{'n_estimators': 850}
5,2,3,4,19,{'n_estimators': 900}
3,3,2,2,17,{'n_estimators': 950}
1,4,1,1,18,{'n_estimators': 1000}
