rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
41,29,50,21,62,"{'reg_alpha': 0, 'reg_lambda': 0}"
65,52,66,75,18,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
47,36,15,47,39,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
21,77,71,21,10,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
18,44,75,21,5,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
8,70,28,3,60,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
25,1,16,32,11,"{'reg_alpha': 0, 'reg_lambda': 1}"
34,35,14,47,15,"{'reg_alpha': 0, 'reg_lambda': 2}"
37,58,58,32,36,"{'reg_alpha': 0, 'reg_lambda': 3}"
34,59,29,47,15,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
22,5,51,32,7,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
18,23,53,21,5,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
60,40,73,59,42,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
74,80,81,71,72,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
43,21,52,32,48,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
49,67,31,32,64,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
10,62,49,10,9,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
29,34,45,21,34,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
55,11,64,64,17,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
3,13,21,4,19,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
4,45,48,10,2,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
74,71,74,71,72,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
41,37,68,21,62,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
7,54,36,6,20,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
78,41,65,79,78,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
76,48,54,75,58,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
1,30,1,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
