rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
20,20,20,20,13,{'n_estimators': 50}
19,19,19,19,9,{'n_estimators': 100}
18,18,18,18,1,{'n_estimators': 150}
17,17,17,17,2,{'n_estimators': 200}
16,16,16,16,3,{'n_estimators': 250}
15,15,15,15,4,{'n_estimators': 300}
13,13,14,13,5,{'n_estimators': 350}
14,14,13,14,8,{'n_estimators': 400}
9,12,12,12,7,{'n_estimators': 450}
7,11,11,11,6,{'n_estimators': 500}
8,10,10,8,10,{'n_estimators': 550}
11,9,9,10,17,{'n_estimators': 600}
12,8,8,8,19,{'n_estimators': 650}
10,6,7,7,20,{'n_estimators': 700}
5,7,6,4,16,{'n_estimators': 750}
4,5,4,4,12,{'n_estimators': 800}
6,4,5,6,18,{'n_estimators': 850}
3,3,3,3,15,{'n_estimators': 900}
2,1,2,2,14,{'n_estimators': 950}
1,2,1,1,11,{'n_estimators': 1000}
