rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
12,14,15,13,9,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
9,15,12,7,13,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
5,4,6,4,7,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
16,7,13,16,16,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
4,11,9,5,2,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
10,8,16,9,10,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
1,16,1,1,4,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
13,2,3,9,14,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
13,3,4,9,14,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
15,5,5,13,12,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
8,1,11,13,6,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
2,9,2,2,1,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
7,13,8,8,3,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
6,10,7,5,8,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
10,6,10,9,10,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
3,12,14,2,5,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
