rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
7,40,35,5,21,"{'reg_alpha': 0, 'reg_lambda': 0}"
13,11,48,10,24,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
4,59,39,3,4,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
15,38,16,10,32,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
35,49,67,43,17,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
64,46,80,49,77,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
52,1,14,53,40,"{'reg_alpha': 0, 'reg_lambda': 1}"
13,64,28,10,24,"{'reg_alpha': 0, 'reg_lambda': 2}"
20,23,12,28,14,"{'reg_alpha': 0, 'reg_lambda': 3}"
51,56,46,43,65,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
31,79,69,21,62,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
6,4,10,10,5,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
62,10,53,59,43,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
18,8,15,6,60,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
47,48,41,28,75,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
68,13,55,68,69,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
17,63,31,17,13,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
48,42,71,43,56,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
57,5,52,49,66,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
22,35,49,15,61,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
24,25,22,17,49,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
10,18,20,6,22,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
36,69,63,28,63,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
29,9,24,33,27,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
