rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
26,64,57,17,36,"{'reg_alpha': 0, 'reg_lambda': 0}"
52,46,70,29,64,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
37,19,28,29,39,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
42,22,52,38,42,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
81,18,46,76,81,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
56,2,17,51,54,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
16,1,1,10,23,"{'reg_alpha': 0, 'reg_lambda': 1}"
52,3,6,29,64,"{'reg_alpha': 0, 'reg_lambda': 2}"
78,13,3,76,74,"{'reg_alpha': 0, 'reg_lambda': 3}"
5,60,58,5,8,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
65,48,39,51,68,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
42,61,63,38,42,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
16,41,67,10,23,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
21,56,21,10,34,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
20,6,31,17,25,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
61,17,40,38,66,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
54,12,25,62,48,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
42,51,23,38,42,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
71,43,48,71,72,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
56,65,64,51,54,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
48,7,37,29,52,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
61,21,62,38,66,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
69,27,47,62,70,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
56,34,59,51,54,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
74,4,65,62,76,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
76,11,29,51,79,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
31,52,7,24,37,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
28,38,60,10,50,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
35,29,13,38,30,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
56,35,26,51,54,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
29,14,20,29,28,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
37,74,79,29,39,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
37,28,27,29,39,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
77,31,41,38,80,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
65,23,9,51,68,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
3,15,45,1,12,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
47,55,75,10,75,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
41,78,24,51,31,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
49,40,2,51,47,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
69,66,35,62,70,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
75,16,12,74,73,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
24,53,8,24,26,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
42,5,22,38,42,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
31,20,15,24,37,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
34,10,34,17,51,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
51,45,10,38,53,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
14,9,5,5,22,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
80,63,51,80,77,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
72,59,50,38,78,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
27,76,42,38,17,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
11,30,36,3,21,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
63,77,54,62,59,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
6,24,56,17,5,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
9,32,32,10,9,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
10,44,30,5,14,"{'reg_alpha': 1, 'reg_lambda': 0}"
42,33,11,38,42,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
2,81,69,5,4,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
18,62,4,5,33,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
3,36,14,1,12,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
24,47,18,24,26,"{'reg_alpha': 1, 'reg_lambda': 0.5}"
21,25,19,10,34,"{'reg_alpha': 1, 'reg_lambda': 1}"
23,39,16,29,16,"{'reg_alpha': 1, 'reg_lambda': 2}"
19,69,49,24,15,"{'reg_alpha': 1, 'reg_lambda': 3}"
29,68,38,29,28,"{'reg_alpha': 2, 'reg_lambda': 0}"
6,8,44,17,5,"{'reg_alpha': 2, 'reg_lambda': 0.01}"
56,50,74,51,54,"{'reg_alpha': 2, 'reg_lambda': 0.02}"
1,42,61,3,1,"{'reg_alpha': 2, 'reg_lambda': 0.05}"
13,72,33,38,3,"{'reg_alpha': 2, 'reg_lambda': 0.1}"
33,79,66,51,18,"{'reg_alpha': 2, 'reg_lambda': 0.5}"
63,70,55,62,59,"{'reg_alpha': 2, 'reg_lambda': 1}"
68,54,71,79,32,"{'reg_alpha': 2, 'reg_lambda': 2}"
79,37,53,80,63,"{'reg_alpha': 2, 'reg_lambda': 3}"
73,67,80,76,62,"{'reg_alpha': 3, 'reg_lambda': 0}"
6,80,81,17,5,"{'reg_alpha': 3, 'reg_lambda': 0.01}"
50,57,72,74,20,"{'reg_alpha': 3, 'reg_lambda': 0.02}"
12,49,68,17,10,"{'reg_alpha': 3, 'reg_lambda': 0.05}"
