rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,12,16,1,2,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
14,13,10,14,11,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
2,2,5,1,3,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
11,3,14,8,15,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
10,9,1,11,9,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
6,8,3,6,5,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
12,4,15,12,10,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
9,7,8,6,8,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
14,14,13,14,11,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
8,10,11,8,6,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
5,1,2,1,13,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
13,5,7,12,14,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
3,16,6,4,4,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
16,15,9,16,16,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
4,6,4,8,1,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
7,11,12,5,7,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
