rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
14,11,16,12,14,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
12,9,10,12,10,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
15,3,14,15,15,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
6,16,6,3,5,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
1,2,2,2,3,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
5,15,13,1,7,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
4,7,9,3,4,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
2,14,11,3,1,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
2,12,4,3,1,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
9,8,8,9,9,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
8,1,1,7,8,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
10,10,7,7,12,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
11,13,5,9,13,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
7,4,3,9,6,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
13,5,12,14,11,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
15,6,15,15,15,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
