rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,12,13,1,1,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
11,11,12,12,12,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
4,1,6,5,4,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
2,10,8,3,2,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
16,14,10,15,16,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
6,9,9,5,9,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
6,13,4,5,9,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
8,8,5,8,5,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
13,16,15,14,7,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
3,3,1,2,3,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
10,2,2,10,11,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
15,6,3,15,14,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
5,15,16,3,8,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
14,4,11,8,15,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
11,7,14,12,12,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
9,5,7,10,6,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
