rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
54,52,54,53,47,"{'max_depth': 3, 'min_child_weight': 1}"
52,54,52,50,42,"{'max_depth': 3, 'min_child_weight': 2}"
32,53,49,43,2,"{'max_depth': 3, 'min_child_weight': 3}"
51,49,50,52,17,"{'max_depth': 3, 'min_child_weight': 4}"
50,51,53,50,29,"{'max_depth': 3, 'min_child_weight': 5}"
53,50,51,53,43,"{'max_depth': 3, 'min_child_weight': 6}"
39,47,48,36,36,"{'max_depth': 4, 'min_child_weight': 1}"
46,46,18,46,39,"{'max_depth': 4, 'min_child_weight': 2}"
45,48,46,43,46,"{'max_depth': 4, 'min_child_weight': 3}"
46,41,42,46,39,"{'max_depth': 4, 'min_child_weight': 4}"
48,42,35,48,54,"{'max_depth': 4, 'min_child_weight': 5}"
49,45,47,49,41,"{'max_depth': 4, 'min_child_weight': 6}"
12,44,26,8,19,"{'max_depth': 5, 'min_child_weight': 1}"
25,15,6,23,24,"{'max_depth': 5, 'min_child_weight': 2}"
16,43,14,18,10,"{'max_depth': 5, 'min_child_weight': 3}"
39,38,28,36,36,"{'max_depth': 5, 'min_child_weight': 4}"
34,25,33,31,44,"{'max_depth': 5, 'min_child_weight': 5}"
23,29,20,23,15,"{'max_depth': 5, 'min_child_weight': 6}"
4,26,9,4,5,"{'max_depth': 6, 'min_child_weight': 1}"
6,27,11,6,7,"{'max_depth': 6, 'min_child_weight': 2}"
17,31,36,8,30,"{'max_depth': 6, 'min_child_weight': 3}"
27,20,24,23,33,"{'max_depth': 6, 'min_child_weight': 4}"
25,40,41,23,24,"{'max_depth': 6, 'min_child_weight': 5}"
35,34,31,36,27,"{'max_depth': 6, 'min_child_weight': 6}"
37,28,15,31,50,"{'max_depth': 7, 'min_child_weight': 1}"
17,22,1,8,30,"{'max_depth': 7, 'min_child_weight': 2}"
19,17,5,18,13,"{'max_depth': 7, 'min_child_weight': 3}"
21,24,43,18,23,"{'max_depth': 7, 'min_child_weight': 4}"
10,7,30,8,11,"{'max_depth': 7, 'min_child_weight': 5}"
33,1,22,31,35,"{'max_depth': 7, 'min_child_weight': 6}"
30,16,8,23,48,"{'max_depth': 8, 'min_child_weight': 1}"
4,4,12,4,5,"{'max_depth': 8, 'min_child_weight': 2}"
12,6,7,8,19,"{'max_depth': 8, 'min_child_weight': 3}"
35,36,40,36,27,"{'max_depth': 8, 'min_child_weight': 4}"
9,35,39,8,9,"{'max_depth': 8, 'min_child_weight': 5}"
12,32,27,8,19,"{'max_depth': 8, 'min_child_weight': 6}"
3,3,10,3,18,"{'max_depth': 9, 'min_child_weight': 1}"
27,9,3,23,33,"{'max_depth': 9, 'min_child_weight': 2}"
37,10,29,31,50,"{'max_depth': 9, 'min_child_weight': 3}"
29,33,32,31,26,"{'max_depth': 9, 'min_child_weight': 4}"
6,39,34,6,7,"{'max_depth': 9, 'min_child_weight': 5}"
8,21,16,8,4,"{'max_depth': 9, 'min_child_weight': 6}"
12,11,2,8,19,"{'max_depth': 10, 'min_child_weight': 1}"
10,23,17,8,11,"{'max_depth': 10, 'min_child_weight': 2}"
41,5,21,36,45,"{'max_depth': 10, 'min_child_weight': 3}"
42,30,25,36,52,"{'max_depth': 10, 'min_child_weight': 4}"
23,8,13,23,15,"{'max_depth': 10, 'min_child_weight': 5}"
2,2,38,2,1,"{'max_depth': 10, 'min_child_weight': 6}"
30,14,23,23,48,"{'max_depth': 12, 'min_child_weight': 1}"
1,18,4,1,3,"{'max_depth': 12, 'min_child_weight': 2}"
42,37,37,36,52,"{'max_depth': 12, 'min_child_weight': 3}"
19,19,45,18,13,"{'max_depth': 12, 'min_child_weight': 4}"
22,13,19,18,32,"{'max_depth': 12, 'min_child_weight': 5}"
44,12,44,43,38,"{'max_depth': 12, 'min_child_weight': 6}"
