params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}",0.8592233009708737,0.9328221407493518,0.938584912402521,0.8628841607565012,0.8629504605204328,137,13,97,137,137
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}",0.8682926829268292,0.9332692479656621,0.9376095830530347,0.8723404255319149,0.8724179558258071,1,1,105,1,1
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}",0.8613138686131387,0.9327327193060897,0.9370737882572876,0.8652482269503546,0.8653201287668784,89,29,117,89,89
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}",0.8613138686131387,0.9318608602342842,0.935602174240611,0.8652482269503546,0.8653201287668784,89,133,133,89,89
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}",0.8613138686131387,0.9318273271930608,0.9352192493228917,0.8652482269503546,0.8653201287668784,89,137,137,89,89
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}",0.8613138686131387,0.9321626576052938,0.9395267745630286,0.8652482269503546,0.8653201287668784,89,125,93,89,89
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}",0.8634146341463415,0.9322409013681481,0.9397700080780825,0.8676122931442081,0.8676897970133237,57,121,89,33,33
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}",0.8640776699029127,0.932810963068944,0.9378584484757242,0.8676122931442081,0.867678619332916,33,21,101,33,65
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}",0.8682926829268292,0.9328444961101671,0.9371081410512851,0.8723404255319149,0.8724179558258071,1,9,113,1,1
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}",0.8640776699029127,0.9327438969864974,0.9410874913283851,0.8676122931442081,0.867678619332916,33,25,1,33,65
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}",0.8640776699029127,0.9326321201824196,0.940900353945359,0.8676122931442081,0.867678619332916,33,45,5,33,65
