params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}",0.7898550724637681,0.8812134502923978,0.8811556577012774,0.8098360655737705,0.8101565187478501,9,117,121,9,33
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}",0.7942238267148014,0.8826539387684899,0.8874012341232256,0.8131147540983606,0.8134244926040592,1,1,1,1,5
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}",0.7927272727272726,0.8823314413484693,0.8865936151737208,0.8131147540983606,0.8134459924320605,5,5,9,1,1
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}",0.7883211678832117,0.8815789473684212,0.886595123558009,0.8098360655737705,0.8101780185758514,13,53,5,9,9
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}",0.7810218978102189,0.8814499484004129,0.8861854094318993,0.8032786885245902,0.8036205710354317,117,85,13,117,137
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}",0.7854545454545454,0.8819874441004473,0.8854112901399037,0.8065573770491803,0.806888544891641,37,13,17,37,109
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}",0.7854545454545454,0.8816649466804265,0.8848221136572536,0.8065573770491803,0.806888544891641,37,41,33,37,109
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}",0.7794117647058824,0.8796439628482973,0.8768734088247866,0.8032786885245902,0.8036420708634331,121,137,137,117,117
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}",0.7838827838827839,0.8819014447884418,0.8835969972310695,0.8065573770491803,0.8069100447196422,45,25,89,37,37
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}",0.7838827838827839,0.8822884416924665,0.8848476768799493,0.8065573770491803,0.8069100447196422,45,9,29,37,37
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}",0.7838827838827839,0.8815359477124183,0.8843690397076733,0.8065573770491803,0.8069100447196422,45,73,53,37,37
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}",0.7838827838827839,0.8815789473684211,0.8838274870343449,0.8065573770491803,0.8069100447196422,45,57,85,37,37
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}",0.7838827838827839,0.8816219470244238,0.8833182322837859,0.8065573770491803,0.8069100447196422,45,49,97,37,37
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}",0.7883211678832117,0.8815574475404199,0.8826658920451576,0.8098360655737705,0.8101780185758514,13,61,113,9,9
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}",0.7838827838827839,0.8802244582043344,0.8783663095325196,0.8065573770491803,0.8069100447196422,45,125,125,37,37
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}",0.7794117647058824,0.8815574475404196,0.8842746678356469,0.8032786885245902,0.8036420708634331,121,65,57,117,117
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}",0.7838827838827839,0.881686446508428,0.8839234853902497,0.8065573770491803,0.8069100447196422,45,33,65,37,37
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}",0.7794117647058824,0.8814284485724114,0.8838808072112061,0.8032786885245902,0.8036420708634331,121,93,69,117,117
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}",0.7838827838827839,0.8816434468524252,0.8835283298987096,0.8065573770491803,0.8069100447196422,45,45,93,37,37
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}",0.7838827838827839,0.8817079463364295,0.882965658595408,0.8065573770491803,0.8069100447196422,45,29,109,37,37
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}",0.7838827838827839,0.8813424492604061,0.8832872018717248,0.8065573770491803,0.8069100447196422,45,105,101,37,37
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}",0.7883211678832117,0.8798589611283111,0.8777710044833309,0.8098360655737705,0.8101780185758514,13,133,129,9,9
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}",0.7883211678832117,0.8814284485724114,0.8838404718801097,0.8098360655737705,0.8101780185758514,13,93,77,9,9
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}",0.7838827838827839,0.8819444444444445,0.8844791628843927,0.8065573770491803,0.8069100447196422,45,21,41,37,37
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}",0.7794117647058824,0.8814499484004128,0.8840105399749921,0.8032786885245902,0.8036420708634331,121,89,61,117,117
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}",0.7838827838827839,0.8815574475404196,0.8843866956776321,0.8065573770491803,0.8069100447196422,45,65,49,37,37
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}",0.7838827838827839,0.8819444444444446,0.8851402754724648,0.8065573770491803,0.8069100447196422,45,17,21,37,37
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}",0.7838827838827839,0.8816649466804267,0.884935337538606,0.8065573770491803,0.8069100447196422,45,37,25,37,37
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}",0.7883211678832117,0.8800954592363263,0.8773583553651525,0.8098360655737705,0.8101780185758514,13,129,133,9,9
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}",0.7883211678832117,0.8810414516683869,0.8824951921060586,0.8098360655737705,0.8101780185758514,13,121,117,9,9
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}",0.7838827838827839,0.8814929480564156,0.8829681061095256,0.8065573770491803,0.8069100447196422,45,77,105,37,37
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}",0.7794117647058824,0.8812564499484006,0.8838381233173006,0.8032786885245902,0.8036420708634331,121,109,81,117,117
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}",0.7838827838827839,0.8814714482284142,0.8844096895575989,0.8065573770491803,0.8069100447196422,45,81,45,37,37
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}",0.7838827838827839,0.8812349501203991,0.883847309563581,0.8065573770491803,0.8069100447196422,45,113,73,37,37
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}",0.7838827838827839,0.88140694874441,0.8848183082361822,0.8065573770491803,0.8069100447196422,45,101,37,37,37
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}",0.7898550724637681,0.8812134502923978,0.8811556577012774,0.8098360655737705,0.8101565187478501,9,117,121,9,33
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 100}",0.7942238267148014,0.8826539387684899,0.8874012341232256,0.8131147540983606,0.8134244926040592,1,1,1,1,5
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 150}",0.7927272727272726,0.8823314413484693,0.8865936151737208,0.8131147540983606,0.8134459924320605,5,5,9,1,1
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 200}",0.7883211678832117,0.8815789473684212,0.886595123558009,0.8098360655737705,0.8101780185758514,13,53,5,9,9
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 250}",0.7810218978102189,0.8814499484004129,0.8861854094318993,0.8032786885245902,0.8036205710354317,117,85,13,117,137
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 300}",0.7854545454545454,0.8819874441004473,0.8854112901399037,0.8065573770491803,0.806888544891641,37,13,17,37,109
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 400}",0.7854545454545454,0.8816649466804265,0.8848221136572536,0.8065573770491803,0.806888544891641,37,41,33,37,109
"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 50}",0.7794117647058824,0.8796439628482973,0.8768734088247866,0.8032786885245902,0.8036420708634331,121,137,137,117,117
"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 100}",0.7838827838827839,0.8819014447884418,0.8835969972310695,0.8065573770491803,0.8069100447196422,45,25,89,37,37
"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 150}",0.7838827838827839,0.8822884416924665,0.8848476768799493,0.8065573770491803,0.8069100447196422,45,9,29,37,37
"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 200}",0.7838827838827839,0.8815359477124183,0.8843690397076733,0.8065573770491803,0.8069100447196422,45,73,53,37,37
"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 250}",0.7838827838827839,0.8815789473684211,0.8838274870343449,0.8065573770491803,0.8069100447196422,45,57,85,37,37
"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 300}",0.7838827838827839,0.8816219470244238,0.8833182322837859,0.8065573770491803,0.8069100447196422,45,49,97,37,37
"{'max_layers': 15, 'n_estimators': 5, 'n_trees': 400}",0.7883211678832117,0.8815574475404199,0.8826658920451576,0.8098360655737705,0.8101780185758514,13,61,113,9,9
"{'max_layers': 15, 'n_estimators': 8, 'n_trees': 50}",0.7838827838827839,0.8802244582043344,0.8783663095325196,0.8065573770491803,0.8069100447196422,45,125,125,37,37
