params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 50}",0.9037900874635568,0.9541385916237283,0.955022126491223,0.9051724137931034,0.9051724137931034,125,117,137,125,125
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 100}",0.909090909090909,0.9539734443123266,0.9570494154087302,0.9109195402298851,0.9109195402298851,17,129,109,17,17
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 150}",0.911764705882353,0.953527546571542,0.9565627230185062,0.9137931034482759,0.9137931034482758,1,137,121,1,1
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 200}",0.909090909090909,0.9536101202272428,0.9572169253257166,0.9109195402298851,0.9109195402298851,17,133,97,17,17
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 250}",0.911764705882353,0.9542541947417097,0.9576471804642265,0.9137931034482759,0.9137931034482758,1,113,37,1,1
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 300}",0.9053254437869823,0.9540395032368874,0.9574105023878611,0.9080459770114943,0.9080459770114943,41,121,69,41,41
"{'max_layers': 10, 'n_estimators': 2, 'n_trees': 400}",0.9080118694362017,0.9540229885057472,0.9570409136715874,0.9109195402298851,0.9109195402298851,29,125,113,17,17
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 50}",0.9047619047619048,0.9548487250627558,0.9579493911256841,0.9080459770114943,0.9080459770114943,49,77,13,41,41
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 100}",0.9053254437869823,0.9551294754921391,0.958025556574309,0.9080459770114943,0.9080459770114943,41,13,9,41,41
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 150}",0.9074626865671642,0.954931298718457,0.9576026664083304,0.9109195402298851,0.9109195402298851,33,45,49,17,17
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 200}",0.911764705882353,0.9549643281807373,0.9576104329348635,0.9137931034482759,0.9137931034482758,1,37,45,1,1
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 250}",0.9085545722713864,0.9548817545250364,0.9574952314079148,0.9109195402298851,0.9109195402298851,25,57,61,17,17
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 300}",0.9020771513353116,0.9546010040956534,0.9568912714992697,0.9051724137931034,0.9051724137931034,129,97,117,125,125
"{'max_layers': 10, 'n_estimators': 5, 'n_trees': 400}",0.9020771513353116,0.9543367683974106,0.9564594653252008,0.9051724137931034,0.9051724137931034,129,109,133,125,125
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 50}",0.9101796407185629,0.9549973576430176,0.9577994991183181,0.9137931034482759,0.9137931034482758,13,29,21,1,1
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 100}",0.9047619047619048,0.9554432553838023,0.9579228835448699,0.9080459770114943,0.9080459770114943,49,1,17,41,41
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 150}",0.9047619047619048,0.9548982692561766,0.9570752087445509,0.9080459770114943,0.9080459770114943,49,53,105,41,41
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 200}",0.9047619047619048,0.9549147839873169,0.9572378169002267,0.9080459770114943,0.9080459770114943,49,49,93,41,41
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 250}",0.9047619047619048,0.9548487250627561,0.9576818076185202,0.9080459770114943,0.9080459770114943,49,73,33,41,41
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 300}",0.9047619047619048,0.9545844893645133,0.9572468201233707,0.9080459770114943,0.9080459770114943,49,101,89,41,41
"{'max_layers': 10, 'n_estimators': 8, 'n_trees': 400}",0.9047619047619048,0.9547166072136345,0.9565111495211402,0.9080459770114943,0.9080459770114943,49,85,125,41,41
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 50}",0.9074626865671642,0.9550964460298587,0.9577234826893881,0.9109195402298851,0.9109195402298851,33,17,29,17,17
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 100}",0.9047619047619048,0.9553771964592416,0.9577866061418472,0.9080459770114943,0.9080459770114943,49,5,25,41,41
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 150}",0.9047619047619048,0.9550138723741577,0.957272307245883,0.9080459770114943,0.9080459770114943,49,25,85,41,41
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 200}",0.9047619047619048,0.9547991808693355,0.957382791088107,0.9080459770114943,0.9080459770114943,49,81,77,41,41
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 250}",0.9047619047619048,0.9548652397938961,0.9574592752900464,0.9080459770114943,0.9080459770114943,49,69,65,41,41
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 300}",0.9047619047619048,0.9547000924824945,0.9571287680541458,0.9080459770114943,0.9080459770114943,49,89,101,41,41
"{'max_layers': 10, 'n_estimators': 10, 'n_trees': 400}",0.9047619047619048,0.9546670630202141,0.9564822514504493,0.9080459770114943,0.9080459770114943,49,93,129,41,41
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 50}",0.9047619047619048,0.954947813449597,0.9582005645102445,0.9080459770114943,0.9080459770114943,49,41,5,41,41
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 100}",0.9047619047619048,0.9553276522658212,0.9583522679727474,0.9080459770114943,0.9080459770114943,49,9,1,41,41
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 150}",0.9047619047619048,0.9550303871052979,0.9575894768747346,0.9080459770114943,0.9080459770114943,49,21,57,41,41
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 200}",0.9020771513353116,0.9549808429118775,0.9576451649952724,0.9051724137931034,0.9051724137931034,129,33,41,125,125
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 250}",0.9047619047619048,0.9548817545250364,0.957345899667281,0.9080459770114943,0.9080459770114943,49,57,81,41,41
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 300}",0.9047619047619048,0.9548652397938963,0.9576001719144498,0.9080459770114943,0.9080459770114943,49,65,53,41,41
"{'max_layers': 10, 'n_estimators': 13, 'n_trees': 400}",0.9047619047619048,0.9545679746333731,0.9573995139047553,0.9080459770114943,0.9080459770114943,49,105,73,41,41
"{'max_layers': 15, 'n_estimators': 2, 'n_trees': 50}",0.9037900874635568,0.9541385916237283,0.955022126491223,0.9051724137931034,0.9051724137931034,125,117,137,125,125
