params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'max_bin': 5, 'min_child_samples': 10}",0.810958904109589,0.9083206652955379,0.9175963269623508,0.8368794326241135,0.8372082625413574,365,445,447,340,340
"{'max_bin': 5, 'min_child_samples': 20}",0.8142076502732241,0.910377358490566,0.9174024188380783,0.8392434988179669,0.8395667531073951,355,423,448,333,333
"{'max_bin': 5, 'min_child_samples': 30}",0.8044077134986226,0.9118975230260216,0.9125285684243765,0.8321513002364066,0.832491281409282,394,399,461,364,364
"{'max_bin': 5, 'min_child_samples': 40}",0.8076923076923077,0.9112827506035946,0.9187333026422102,0.83451536643026,0.8348497719753196,384,407,444,345,345
"{'max_bin': 5, 'min_child_samples': 50}",0.8142076502732241,0.9093378342126444,0.9148385224173303,0.8392434988179669,0.8395667531073951,355,433,459,333,333
"{'max_bin': 5, 'min_child_samples': 60}",0.7910863509749303,0.9039054815344719,0.9121103889908441,0.8226950354609929,0.8230573191451309,431,460,462,397,397
"{'max_bin': 5, 'min_child_samples': 70}",0.7877094972067039,0.9034583743181615,0.9105088994428937,0.8203309692671394,0.8206988285790933,444,462,465,412,412
"{'max_bin': 5, 'min_child_samples': 80}",0.7843137254901961,0.912914691943128,0.928470925576174,0.817966903073286,0.8183403380130555,448,383,382,426,426
"{'max_bin': 5, 'min_child_samples': 90}",0.7877094972067039,0.9122775641598855,0.9267852569360235,0.8203309692671394,0.8206988285790933,444,391,409,412,412
"{'max_bin': 5, 'min_child_samples': 100}",0.810958904109589,0.909114280604489,0.9220923074692463,0.8368794326241135,0.8372082625413574,365,436,438,340,340
"{'max_bin': 5, 'min_child_samples': 110}",0.7944444444444444,0.9066216578735581,0.9210331962712449,0.8250591016548463,0.8254158097111688,418,455,440,390,390
"{'max_bin': 5, 'min_child_samples': 120}",0.7877094972067039,0.9093378342126442,0.9223759398258131,0.8203309692671394,0.8206988285790933,444,434,436,412,412
"{'max_bin': 5, 'min_child_samples': 130}",0.7843137254901961,0.9076723598318877,0.9209347632687966,0.817966903073286,0.8183403380130555,448,450,441,426,426
"{'max_bin': 5, 'min_child_samples': 140}",0.7843137254901961,0.9023964946794242,0.9159846143898758,0.817966903073286,0.8183403380130555,448,464,454,426,426
"{'max_bin': 5, 'min_child_samples': 150}",0.7910863509749303,0.9079518018420818,0.9220763765270078,0.8226950354609929,0.8230573191451309,431,448,439,397,397
"{'max_bin': 5, 'min_child_samples': 160}",0.7910863509749303,0.9087789501922561,0.9232879835242874,0.8226950354609929,0.8230573191451309,431,441,429,397,397
"{'max_bin': 5, 'min_child_samples': 170}",0.7877094972067039,0.9088236609138871,0.9230403412449096,0.8203309692671394,0.8206988285790933,444,440,430,412,412
"{'max_bin': 5, 'min_child_samples': 180}",0.7843137254901961,0.9106679781811678,0.9235385766799942,0.817966903073286,0.8183403380130555,448,416,428,426,426
"{'max_bin': 5, 'min_child_samples': 190}",0.7977839335180055,0.9099749619958866,0.92365538063855,0.8274231678486997,0.8277743002772064,411,427,426,383,383
"{'max_bin': 5, 'min_child_samples': 200}",0.7977839335180055,0.9104667799338282,0.9236002576715932,0.8274231678486997,0.8277743002772064,411,421,427,383,383
"{'max_bin': 15, 'min_child_samples': 10}",0.7692307692307692,0.9139318608602343,0.9193162982426526,0.8085106382978723,0.8089175534293124,456,374,442,436,436
