params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'learning_rate': 0.001, 'n_estimators': 50}",0.7801418439716312,0.8537581699346406,0.8534061801364818,0.7967213114754098,0.7969771241830066,12,79,81,15,34
"{'learning_rate': 0.001, 'n_estimators': 75}",0.7801418439716312,0.8556286549707602,0.8560061882008011,0.7967213114754098,0.7969771241830066,12,78,80,15,34
"{'learning_rate': 0.001, 'n_estimators': 100}",0.7801418439716312,0.8584236326109391,0.8623863875389375,0.7967213114754098,0.7969771241830066,12,77,79,15,34
"{'learning_rate': 0.001, 'n_estimators': 125}",0.5803571428571429,0.8600791193670452,0.863755264022791,0.6918032786885245,0.6926814585483316,74,76,78,74,74
"{'learning_rate': 0.001, 'n_estimators': 150}",0.5803571428571429,0.8609391124871002,0.8667745672572282,0.6918032786885245,0.6926814585483316,74,74,65,74,74
"{'learning_rate': 0.001, 'n_estimators': 175}",0.5803571428571429,0.8707430340557275,0.871343366919984,0.6918032786885245,0.6926814585483316,74,65,57,74,74
"{'learning_rate': 0.001, 'n_estimators': 200}",0.5803571428571429,0.8685930512555899,0.8705241742081827,0.6918032786885245,0.6926814585483316,74,67,60,74,74
"{'learning_rate': 0.001, 'n_estimators': 225}",0.6666666666666666,0.8650670794633643,0.866775103583945,0.7377049180327869,0.7384115927072583,71,70,64,71,71
"{'learning_rate': 0.001, 'n_estimators': 250}",0.6959999999999998,0.8623366013071895,0.8644877306604537,0.7508196721311475,0.7514189886480909,56,73,75,57,58
"{'learning_rate': 0.01, 'n_estimators': 50}",0.7801418439716312,0.8505761953904368,0.8639924864599334,0.7967213114754098,0.7969771241830066,12,81,77,15,34
"{'learning_rate': 0.01, 'n_estimators': 75}",0.7801418439716312,0.8521886824905401,0.8643990258390614,0.7967213114754098,0.7969771241830066,12,80,76,15,34
"{'learning_rate': 0.01, 'n_estimators': 100}",0.7737226277372263,0.8602511179910561,0.8681673780419625,0.7967213114754098,0.7970631234950121,29,75,63,15,24
"{'learning_rate': 0.01, 'n_estimators': 125}",0.5803571428571429,0.8625515995872033,0.8713033796845475,0.6918032786885245,0.6926814585483316,74,72,58,74,74
"{'learning_rate': 0.01, 'n_estimators': 150}",0.5803571428571429,0.8630030959752323,0.8708103110814003,0.6918032786885245,0.6926814585483316,74,71,59,74,74
"{'learning_rate': 0.01, 'n_estimators': 175}",0.5803571428571429,0.8721190230478156,0.874664997719269,0.6918032786885245,0.6926814585483316,74,64,37,74,74
"{'learning_rate': 0.01, 'n_estimators': 200}",0.5803571428571429,0.8706785345717234,0.872801440349769,0.6918032786885245,0.6926814585483316,74,66,47,74,74
"{'learning_rate': 0.01, 'n_estimators': 225}",0.6666666666666666,0.86796955624355,0.8699170451725443,0.7377049180327869,0.7384115927072583,71,68,61,71,71
"{'learning_rate': 0.01, 'n_estimators': 250}",0.7286821705426357,0.8667870657034744,0.8691707041280252,0.7704918032786885,0.7710053319573444,52,69,62,52,52
"{'learning_rate': 0.05, 'n_estimators': 50}",0.7810218978102189,0.8766769865841073,0.8833953885717393,0.8032786885245902,0.8036205710354317,1,43,4,1,2
"{'learning_rate': 0.05, 'n_estimators': 75}",0.7765567765567766,0.8804609563123496,0.8832829231595118,0.8,0.8003525971792226,18,14,6,13,13
"{'learning_rate': 0.05, 'n_estimators': 100}",0.7470817120622568,0.8809984520123839,0.8832381138851255,0.7868852459016393,0.7874097007223941,50,12,7,41,41
"{'learning_rate': 0.05, 'n_estimators': 125}",0.6938775510204082,0.8810414516683865,0.8833420694864791,0.7540983606557377,0.7547514619883041,57,11,5,56,56
"{'learning_rate': 0.05, 'n_estimators': 150}",0.6554621848739496,0.8797084623323013,0.8825649478797761,0.7311475409836066,0.73187564499484,73,17,17,73,73
"{'learning_rate': 0.05, 'n_estimators': 175}",0.6885245901639345,0.8779024767801857,0.8799054774721726,0.7508196721311475,0.751483488132095,58,28,20,57,57
"{'learning_rate': 0.05, 'n_estimators': 200}",0.7016129032258065,0.8754514963880288,0.8779269229935578,0.7573770491803279,0.7579979360165119,53,49,32,53,53
"{'learning_rate': 0.05, 'n_estimators': 225}",0.7016129032258065,0.8755589955280358,0.8780435816639588,0.7573770491803279,0.7579979360165119,53,48,31,53,53
"{'learning_rate': 0.05, 'n_estimators': 250}",0.7016129032258065,0.876547987616099,0.8788928048809103,0.7573770491803279,0.7579979360165119,53,44,30,53,53
"{'learning_rate': 0.07, 'n_estimators': 50}",0.7720588235294117,0.8816004471964224,0.8830870660763228,0.7967213114754098,0.7970846233230134,30,7,13,15,23
"{'learning_rate': 0.07, 'n_estimators': 75}",0.7765567765567766,0.8800524595803234,0.8819177810167902,0.8,0.8003525971792226,18,16,18,13,13
"{'learning_rate': 0.07, 'n_estimators': 100}",0.751937984496124,0.8807404540763675,0.8836673212631319,0.7901639344262295,0.7906776745786033,49,13,3,39,39
"{'learning_rate': 0.07, 'n_estimators': 125}",0.6776859504132232,0.8801384588923288,0.8827250129230779,0.7442622950819672,0.7449475404196766,59,15,16,59,59
"{'learning_rate': 0.07, 'n_estimators': 150}",0.6721991701244814,0.8770209838321293,0.8803886520505677,0.740983606557377,0.7416795665634675,68,42,19,68,68
"{'learning_rate': 0.07, 'n_estimators': 175}",0.6776859504132232,0.875,0.8776759284644509,0.7442622950819672,0.7449475404196766,59,54,34,59,59
"{'learning_rate': 0.07, 'n_estimators': 200}",0.6776859504132232,0.8751719986240111,0.8777152892856019,0.7442622950819672,0.7449475404196766,59,51,33,59,59
"{'learning_rate': 0.07, 'n_estimators': 225}",0.6721991701244814,0.8751289989680083,0.8776079871991374,0.740983606557377,0.7416795665634675,68,52,35,68,68
"{'learning_rate': 0.07, 'n_estimators': 250}",0.6721991701244814,0.8751289989680083,0.8776079871991374,0.740983606557377,0.7416795665634675,68,52,35,68,68
"{'learning_rate': 0.1, 'n_estimators': 50}",0.7810218978102189,0.8813639490884072,0.8837867166986827,0.8032786885245902,0.8036205710354317,1,9,2,1,2
"{'learning_rate': 0.1, 'n_estimators': 75}",0.7777777777777778,0.8811274509803922,0.8830125496068737,0.8032786885245902,0.8036635706914345,17,10,15,1,1
"{'learning_rate': 0.1, 'n_estimators': 100}",0.7301587301587302,0.8826324389404885,0.8846025917211133,0.7770491803278688,0.7776272789817682,51,1,1,51,51
"{'learning_rate': 0.1, 'n_estimators': 125}",0.6776859504132232,0.8815359477124183,0.8830242703140548,0.7442622950819672,0.7449475404196766,59,8,14,59,59
"{'learning_rate': 0.1, 'n_estimators': 150}",0.6776859504132232,0.8818369453044376,0.8831512489648718,0.7442622950819672,0.7449475404196766,59,2,8,59,59
"{'learning_rate': 0.1, 'n_estimators': 175}",0.6776859504132232,0.8818369453044376,0.8831512489648718,0.7442622950819672,0.7449475404196766,59,2,8,59,59
"{'learning_rate': 0.1, 'n_estimators': 200}",0.6776859504132232,0.8818369453044376,0.8831512489648718,0.7442622950819672,0.7449475404196766,59,2,8,59,59
"{'learning_rate': 0.1, 'n_estimators': 225}",0.6776859504132232,0.8818369453044376,0.8831512489648718,0.7442622950819672,0.7449475404196766,59,2,8,59,59
"{'learning_rate': 0.1, 'n_estimators': 250}",0.6776859504132232,0.8818369453044376,0.8831512489648718,0.7442622950819672,0.7449475404196766,59,2,8,59,59
"{'learning_rate': 0.2, 'n_estimators': 50}",0.7611940298507461,0.8754299965600276,0.8790068529405335,0.7901639344262295,0.7905701754385965,39,50,29,39,40
"{'learning_rate': 0.2, 'n_estimators': 75}",0.7669172932330827,0.87796697626419,0.8795368248054888,0.7967213114754098,0.7971491228070176,31,27,22,15,15
