params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'max_bin': 5, 'min_child_samples': 10}",0.8979591836734694,0.944692165411547,0.9469540381149049,0.8994252873563219,0.8994252873563219,268,243,216,261,261
"{'max_bin': 5, 'min_child_samples': 20}",0.8869565217391304,0.9458977407847801,0.9351856129556221,0.8879310344827587,0.8879310344827587,389,219,312,407,407
"{'max_bin': 5, 'min_child_samples': 30}",0.9011627906976744,0.9454848725062756,0.9436613396333411,0.9022988505747126,0.9022988505747127,231,225,240,223,223
"{'max_bin': 5, 'min_child_samples': 40}",0.9011627906976744,0.9427103976747258,0.9342671940884105,0.9022988505747126,0.9022988505747127,231,285,319,223,223
"{'max_bin': 5, 'min_child_samples': 50}",0.8953488372093024,0.941124983485269,0.9397237127067113,0.896551724137931,0.896551724137931,290,300,275,332,332
"{'max_bin': 5, 'min_child_samples': 60}",0.8947368421052632,0.9461454617518827,0.9495937812057861,0.896551724137931,0.896551724137931,295,207,176,332,332
"{'max_bin': 5, 'min_child_samples': 70}",0.8985507246376812,0.9466078742238078,0.9541254890754011,0.8994252873563219,0.8994252873563218,257,185,90,261,316
"{'max_bin': 5, 'min_child_samples': 80}",0.8888888888888888,0.9415213370326332,0.9420848393801153,0.8908045977011494,0.8908045977011494,382,297,254,389,389
"{'max_bin': 5, 'min_child_samples': 90}",0.896755162241888,0.9442297529396221,0.9515734033901441,0.8994252873563219,0.8994252873563219,279,252,135,261,261
"{'max_bin': 5, 'min_child_samples': 100}",0.8927536231884058,0.9464757563746863,0.9460290505314682,0.8936781609195402,0.8936781609195402,306,194,222,365,369
"{'max_bin': 5, 'min_child_samples': 110}",0.893371757925072,0.9423140441273615,0.9407671446086419,0.8936781609195402,0.8936781609195402,303,288,264,365,369
"{'max_bin': 5, 'min_child_samples': 120}",0.8953488372093024,0.9393744219844101,0.925431281127091,0.896551724137931,0.896551724137931,290,314,361,332,332
"{'max_bin': 5, 'min_child_samples': 130}",0.8973607038123166,0.9421158673536795,0.9248766905501503,0.8994252873563219,0.8994252873563218,270,290,364,261,316
"{'max_bin': 5, 'min_child_samples': 140}",0.8959537572254336,0.9420828378913991,0.9233952634882732,0.896551724137931,0.896551724137931,285,292,370,332,332
"{'max_bin': 5, 'min_child_samples': 150}",0.8985507246376812,0.9403983353151011,0.9264026118346838,0.8994252873563219,0.8994252873563218,257,308,357,261,316
"{'max_bin': 5, 'min_child_samples': 160}",0.8921282798833818,0.9403322763905403,0.9196790096323618,0.8936781609195402,0.8936781609195402,358,310,378,365,369
"{'max_bin': 5, 'min_child_samples': 170}",0.8947368421052632,0.941042409829568,0.9127772217114571,0.896551724137931,0.896551724137931,295,303,390,332,332
"{'max_bin': 5, 'min_child_samples': 180}",0.8985507246376812,0.9410589245607079,0.9211262122531507,0.8994252873563219,0.8994252873563218,257,302,376,261,316
"{'max_bin': 5, 'min_child_samples': 190}",0.9011627906976744,0.9435361342317347,0.9241148877433144,0.9022988505747126,0.9022988505747127,231,269,368,223,223
"{'max_bin': 5, 'min_child_samples': 200}",0.8979591836734694,0.9394404809089708,0.9288767053427583,0.8994252873563219,0.8994252873563219,268,313,345,261,261
"{'max_bin': 15, 'min_child_samples': 10}",0.7946127946127945,0.9276489628748844,0.9343576662116374,0.8247126436781609,0.8247126436781609,505,417,316,503,503
"{'max_bin': 15, 'min_child_samples': 20}",0.802675585284281,0.9314143215748447,0.9382116220508341,0.8304597701149425,0.8304597701149425,503,381,287,501,501
"{'max_bin': 15, 'min_child_samples': 30}",0.8066666666666668,0.9359063284449728,0.9424525293266477,0.8333333333333334,0.8333333333333333,498,333,250,497,497
"{'max_bin': 15, 'min_child_samples': 40}",0.8093645484949834,0.9390936715550271,0.9445588692567453,0.8362068965517241,0.8362068965517242,497,316,232,495,495
"{'max_bin': 15, 'min_child_samples': 50}",0.8040540540540541,0.9353283128550668,0.9423673502476271,0.8333333333333334,0.8333333333333333,502,343,251,497,497
"{'max_bin': 15, 'min_child_samples': 60}",0.7959183673469388,0.935724666402431,0.9373032101159855,0.8275862068965517,0.8275862068965517,504,336,295,502,502
"{'max_bin': 15, 'min_child_samples': 70}",0.7849829351535836,0.9358732989826927,0.9357603347392324,0.8189655172413793,0.8189655172413793,507,335,307,504,504
"{'max_bin': 15, 'min_child_samples': 80}",0.7508771929824561,0.9325208085612366,0.9339097576174122,0.7959770114942529,0.7959770114942528,517,373,326,516,516
