params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'min_samples_leaf': 1, 'min_samples_split': 2}",0.8728179551122194,0.9272780112671017,0.9241488765627122,0.8794326241134752,0.8795604936063668,1,82,73,1,1
"{'min_samples_leaf': 1, 'min_samples_split': 3}",0.8684863523573201,0.9289434856478583,0.9247797788364975,0.8747044917257684,0.8748211571134759,21,47,54,21,32
"{'min_samples_leaf': 1, 'min_samples_split': 4}",0.8706467661691543,0.9297259232764017,0.9255748827354653,0.8770685579196218,0.8771908253599213,8,26,25,8,12
"{'min_samples_leaf': 1, 'min_samples_split': 5}",0.8663366336633662,0.9277251184834123,0.9234814073766953,0.8723404255319149,0.8724514888670303,51,78,88,51,58
"{'min_samples_leaf': 1, 'min_samples_split': 6}",0.8656716417910448,0.9299606545649646,0.9251712485771555,0.8723404255319149,0.8724626665474381,64,20,40,51,51
"{'min_samples_leaf': 1, 'min_samples_split': 7}",0.8678304239401495,0.9299830099257802,0.9256019356533687,0.8747044917257684,0.8748323347938836,40,18,24,21,22
"{'min_samples_leaf': 1, 'min_samples_split': 8}",0.8671679197994988,0.9295470803898774,0.9250929666962346,0.8747044917257684,0.8748435124742913,50,33,44,21,21
"{'min_samples_leaf': 1, 'min_samples_split': 9}",0.8684863523573201,0.9287758204417419,0.9250816467873344,0.8747044917257684,0.8748211571134759,21,53,46,21,32
"{'min_samples_leaf': 1, 'min_samples_split': 10}",0.8728179551122194,0.928071626576053,0.924372452254379,0.8794326241134752,0.8795604936063668,1,73,70,1,1
"{'min_samples_leaf': 2, 'min_samples_split': 2}",0.8641975308641975,0.9302848072967898,0.9263233528763297,0.8699763593380615,0.8700818206205848,71,12,12,71,82
"{'min_samples_leaf': 2, 'min_samples_split': 3}",0.8663366336633662,0.9287869981221497,0.9250736717408501,0.8723404255319149,0.8724514888670303,51,50,47,51,58
"{'min_samples_leaf': 2, 'min_samples_split': 4}",0.8728179551122194,0.9283287132254315,0.9250670003256507,0.8794326241134752,0.8795604936063668,1,67,49,1,1
"{'min_samples_leaf': 2, 'min_samples_split': 5}",0.8706467661691543,0.928775820441742,0.9249438833682614,0.8770685579196218,0.8771908253599213,8,52,51,8,12
"{'min_samples_leaf': 2, 'min_samples_split': 6}",0.8678304239401495,0.9298377000804794,0.925767674380034,0.8747044917257684,0.8748323347938836,40,25,22,21,22
"{'min_samples_leaf': 2, 'min_samples_split': 7}",0.8684863523573201,0.9299718322453724,0.9251651356395069,0.8747044917257684,0.8748211571134759,21,19,41,21,32
"{'min_samples_leaf': 2, 'min_samples_split': 8}",0.8663366336633662,0.9300724313690423,0.9258545638476716,0.8723404255319149,0.8724514888670303,51,17,21,51,58
"{'min_samples_leaf': 2, 'min_samples_split': 9}",0.8678304239401495,0.9296253241527317,0.9252450071028879,0.8747044917257684,0.8748323347938836,40,30,36,21,22
"{'min_samples_leaf': 2, 'min_samples_split': 10}",0.8678304239401495,0.9268085486899759,0.9239065332623637,0.8747044917257684,0.8748323347938836,40,87,82,21,22
"{'min_samples_leaf': 3, 'min_samples_split': 2}",0.8656716417910448,0.9281051596172762,0.9252401397291189,0.8723404255319149,0.8724626665474381,64,72,37,51,51
"{'min_samples_leaf': 3, 'min_samples_split': 3}",0.8641975308641975,0.929379415183761,0.9253480927046893,0.8699763593380615,0.8700818206205848,71,36,31,71,82
"{'min_samples_leaf': 3, 'min_samples_split': 4}",0.8656716417910448,0.9316149512653134,0.9292349110176976,0.8723404255319149,0.8724626665474381,64,1,2,51,51
"{'min_samples_leaf': 3, 'min_samples_split': 5}",0.8700000000000001,0.9270879907001699,0.9231368421830544,0.8770685579196218,0.8772020030403291,17,86,90,8,8
"{'min_samples_leaf': 3, 'min_samples_split': 6}",0.8684863523573201,0.9278033622462667,0.9237245305104677,0.8747044917257684,0.8748211571134759,21,75,85,21,32
"{'min_samples_leaf': 3, 'min_samples_split': 7}",0.8728179551122194,0.9292117499776448,0.925260962764906,0.8794326241134752,0.8795604936063668,1,40,35,1,1
"{'min_samples_leaf': 3, 'min_samples_split': 8}",0.8635235732009927,0.928954663328266,0.9240023024991884,0.8699763593380615,0.8700929983009926,77,46,80,71,71
"{'min_samples_leaf': 3, 'min_samples_split': 9}",0.8663366336633662,0.9287311097201109,0.9246736141850209,0.8723404255319149,0.8724514888670303,51,56,59,51,58
"{'min_samples_leaf': 3, 'min_samples_split': 10}",0.8728179551122194,0.9301394974514888,0.9266018221243358,0.8794326241134752,0.8795604936063668,1,15,8,1,1
"{'min_samples_leaf': 4, 'min_samples_split': 2}",0.8635235732009927,0.928496378431548,0.9250700747718045,0.8699763593380615,0.8700929983009926,77,60,48,71,71
"{'min_samples_leaf': 4, 'min_samples_split': 3}",0.8656716417910448,0.9302848072967898,0.9259030738229617,0.8723404255319149,0.8724626665474381,64,12,20,51,51
"{'min_samples_leaf': 4, 'min_samples_split': 4}",0.8635235732009927,0.9306424930698383,0.9262030194791457,0.8699763593380615,0.8700929983009926,77,9,15,71,71
"{'min_samples_leaf': 4, 'min_samples_split': 5}",0.8684863523573201,0.928731109720111,0.9251371392263401,0.8747044917257684,0.8748211571134759,21,55,42,21,32
"{'min_samples_leaf': 4, 'min_samples_split': 6}",0.8663366336633662,0.9306872037914692,0.9264190145326585,0.8723404255319149,0.8724514888670303,51,8,9,51,58
"{'min_samples_leaf': 4, 'min_samples_split': 7}",0.8613861386138613,0.9288987749262274,0.9253010684585645,0.8676122931442081,0.867723330054547,88,48,32,88,88
