params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'min_samples_leaf': 1, 'min_samples_split': 2}",0.8194444444444444,0.8738820089439284,0.8692161764898066,0.8295081967213115,0.8296998624011008,4,55,47,4,12
"{'min_samples_leaf': 1, 'min_samples_split': 3}",0.8098591549295775,0.8755374957000344,0.87031511702558,0.8229508196721311,0.8231854145166839,55,34,34,42,45
"{'min_samples_leaf': 1, 'min_samples_split': 4}",0.8181818181818182,0.8689585483316132,0.8603169218891474,0.8295081967213115,0.8297213622291022,6,90,90,4,6
"{'min_samples_leaf': 1, 'min_samples_split': 5}",0.8140350877192982,0.8706355349157207,0.8621286472804177,0.8262295081967214,0.8264533883728931,24,85,87,14,16
"{'min_samples_leaf': 1, 'min_samples_split': 6}",0.8056537102473499,0.8754944960440316,0.8694348595886388,0.819672131147541,0.8199174406604748,80,35,42,68,69
"{'min_samples_leaf': 1, 'min_samples_split': 7}",0.8111888111888111,0.8710870313037495,0.8672892880401478,0.8229508196721311,0.8231639146886824,49,83,67,42,55
"{'min_samples_leaf': 1, 'min_samples_split': 8}",0.8153310104529616,0.8729575163398693,0.863943655709992,0.8262295081967214,0.8264318885448916,14,67,77,14,32
"{'min_samples_leaf': 1, 'min_samples_split': 9}",0.8070175438596492,0.8756019951840386,0.8692338278152867,0.819672131147541,0.8198959408324733,75,33,46,68,75
"{'min_samples_leaf': 1, 'min_samples_split': 10}",0.8140350877192982,0.8732370141038872,0.8684183837123824,0.8262295081967214,0.8264533883728931,24,61,60,14,16
"{'min_samples_leaf': 2, 'min_samples_split': 2}",0.8251748251748252,0.8700120399036808,0.8621862184820979,0.8360655737704918,0.8362788097695218,2,88,86,2,2
"{'min_samples_leaf': 2, 'min_samples_split': 3}",0.8153310104529616,0.8733015135878912,0.8656434228770563,0.8262295081967214,0.8264318885448916,14,60,74,14,32
"{'min_samples_leaf': 2, 'min_samples_split': 4}",0.8153310104529616,0.8723770209838322,0.8702857082972064,0.8262295081967214,0.8264318885448916,14,71,35,14,32
"{'min_samples_leaf': 2, 'min_samples_split': 5}",0.8056537102473499,0.8764189886480909,0.8719285400718355,0.819672131147541,0.8199174406604748,80,21,19,68,69
"{'min_samples_leaf': 2, 'min_samples_split': 6}",0.8153310104529616,0.8705925352597179,0.8627788122237148,0.8262295081967214,0.8264318885448916,14,86,82,14,32
"{'min_samples_leaf': 2, 'min_samples_split': 7}",0.8194444444444444,0.8734950120399037,0.8686421042214727,0.8295081967213115,0.8296998624011008,4,57,57,4,12
"{'min_samples_leaf': 2, 'min_samples_split': 8}",0.8140350877192982,0.8722910216718266,0.8635018579854272,0.8262295081967214,0.8264533883728931,24,72,79,14,16
"{'min_samples_leaf': 2, 'min_samples_split': 9}",0.801418439716312,0.8738390092879257,0.8691054421411792,0.8163934426229508,0.8166494668042656,88,56,49,86,86
"{'min_samples_leaf': 2, 'min_samples_split': 10}",0.8098591549295775,0.8780959752321982,0.8720529618879602,0.8229508196721311,0.8231854145166839,55,11,17,42,45
"{'min_samples_leaf': 3, 'min_samples_split': 2}",0.8140350877192982,0.8791924664602684,0.8786732328744327,0.8262295081967214,0.8264533883728931,24,7,4,14,16
"{'min_samples_leaf': 3, 'min_samples_split': 3}",0.7971530249110319,0.8743550051599588,0.8694281025445744,0.8131147540983606,0.8133814929480564,90,47,43,90,90
"{'min_samples_leaf': 3, 'min_samples_split': 4}",0.8125,0.8753654970760234,0.870406676067909,0.8229508196721311,0.8231424148606811,42,38,33,42,61
"{'min_samples_leaf': 3, 'min_samples_split': 5}",0.8083623693379791,0.8748495012039903,0.873286397491227,0.819672131147541,0.8198744410044719,68,41,10,68,79
"{'min_samples_leaf': 3, 'min_samples_split': 6}",0.8153310104529616,0.8724630202958377,0.8679716566738521,0.8262295081967214,0.8264318885448916,14,70,64,14,32
"{'min_samples_leaf': 3, 'min_samples_split': 7}",0.8098591549295775,0.8728930168558651,0.8735779647222899,0.8229508196721311,0.8231854145166839,55,68,9,42,45
"{'min_samples_leaf': 3, 'min_samples_split': 8}",0.8125,0.8762684898520812,0.8660248175663625,0.8229508196721311,0.8231424148606811,42,23,72,42,61
"{'min_samples_leaf': 3, 'min_samples_split': 9}",0.8125,0.8768919848641211,0.8709018941174582,0.8229508196721311,0.8231424148606811,42,18,29,42,61
"{'min_samples_leaf': 3, 'min_samples_split': 10}",0.8085106382978724,0.8797729618163056,0.8751861133080134,0.8229508196721311,0.8232069143446852,65,6,6,42,42
"{'min_samples_leaf': 4, 'min_samples_split': 2}",0.8041958041958043,0.8763114895080839,0.8721774730978026,0.8163934426229508,0.8166064671482628,87,22,16,86,88
"{'min_samples_leaf': 4, 'min_samples_split': 3}",0.8181818181818182,0.8789774681802545,0.8716034424268102,0.8295081967213115,0.8297213622291022,6,9,24,4,6
"{'min_samples_leaf': 4, 'min_samples_split': 4}",0.8125,0.8760104919160647,0.8727763398803492,0.8229508196721311,0.8231424148606811,42,26,12,42,61
"{'min_samples_leaf': 4, 'min_samples_split': 5}",0.8268551236749118,0.8803964568283454,0.8691201822629079,0.839344262295082,0.8395897832817337,1,4,48,1,1
"{'min_samples_leaf': 4, 'min_samples_split': 6}",0.8153310104529616,0.8778164774681803,0.8687310075008109,0.8262295081967214,0.8264318885448916,14,12,55,14,32
"{'min_samples_leaf': 4, 'min_samples_split': 7}",0.8083623693379791,0.872248022015824,0.8680433885172767,0.819672131147541,0.8198744410044719,68,73,63,68,79
"{'min_samples_leaf': 4, 'min_samples_split': 8}",0.8140350877192982,0.8774294805641555,0.872227576229599,0.8262295081967214,0.8264533883728931,24,14,15,14,16
"{'min_samples_leaf': 4, 'min_samples_split': 9}",0.804270462633452,0.8743335053319573,0.8666911654382008,0.819672131147541,0.819938940488476,86,48,70,68,68
"{'min_samples_leaf': 4, 'min_samples_split': 10}",0.8140350877192982,0.8760534915720675,0.8702330613176913,0.8262295081967214,0.8264533883728931,24,25,36,14,16
"{'min_samples_leaf': 5, 'min_samples_split': 2}",0.8140350877192982,0.8734305125558995,0.8690961498924868,0.8262295081967214,0.8264533883728931,24,58,50,14,16
"{'min_samples_leaf': 5, 'min_samples_split': 3}",0.8056537102473499,0.8756664946680427,0.8692777608360702,0.819672131147541,0.8199174406604748,80,32,45,68,69
"{'min_samples_leaf': 5, 'min_samples_split': 4}",0.8068965517241379,0.8773219814241486,0.8715634781243624,0.8163934426229508,0.81656346749226,79,15,25,86,89
"{'min_samples_leaf': 5, 'min_samples_split': 5}",0.8098591549295775,0.8746345029239766,0.8695321319020031,0.8229508196721311,0.8231854145166839,55,44,41,42,45
"{'min_samples_leaf': 5, 'min_samples_split': 6}",0.8140350877192982,0.8709580323357412,0.8624823733762501,0.8262295081967214,0.8264533883728931,24,84,84,14,16
"{'min_samples_leaf': 5, 'min_samples_split': 7}",0.8181818181818182,0.87203302373581,0.8714358352708318,0.8295081967213115,0.8297213622291022,6,76,26,4,6
"{'min_samples_leaf': 5, 'min_samples_split': 8}",0.8098591549295775,0.8703130374957,0.8615157240028425,0.8229508196721311,0.8231854145166839,55,87,88,42,45
"{'min_samples_leaf': 5, 'min_samples_split': 9}",0.8125,0.8758169934640523,0.869819026098726,0.8229508196721311,0.8231424148606811,42,30,39,42,61
"{'min_samples_leaf': 5, 'min_samples_split': 10}",0.8127208480565371,0.8771929824561404,0.8718571625122589,0.8262295081967214,0.8264748882008943,40,16,21,14,14
"{'min_samples_leaf': 6, 'min_samples_split': 2}",0.8153310104529616,0.8761179910560716,0.8699972483498943,0.8262295081967214,0.8264318885448916,14,24,38,14,32
"{'min_samples_leaf': 6, 'min_samples_split': 3}",0.8111888111888111,0.8731940144478844,0.8686510837640788,0.8229508196721311,0.8231639146886824,49,63,56,42,55
"{'min_samples_leaf': 6, 'min_samples_split': 4}",0.8222996515679443,0.874140006879945,0.8657780038099357,0.8327868852459016,0.8329893360853113,3,51,73,3,3
"{'min_samples_leaf': 6, 'min_samples_split': 5}",0.8140350877192982,0.8720975232198143,0.8681012310073686,0.8262295081967214,0.8264533883728931,24,75,62,14,16
"{'min_samples_leaf': 6, 'min_samples_split': 6}",0.8070175438596492,0.8747205022359821,0.8642736648470738,0.819672131147541,0.8198959408324733,75,42,76,68,75
"{'min_samples_leaf': 6, 'min_samples_split': 7}",0.8085106382978724,0.8785044719642243,0.8746493806369003,0.8229508196721311,0.8232069143446852,65,10,7,42,42
"{'min_samples_leaf': 6, 'min_samples_split': 8}",0.8111888111888111,0.8730435156518748,0.8677952790251245,0.8229508196721311,0.8231639146886824,49,65,66,42,55
"{'min_samples_leaf': 6, 'min_samples_split': 9}",0.8169014084507041,0.8770209838321293,0.8700356138772602,0.8295081967213115,0.8297428620571035,12,17,37,4,4
