params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
{'max_depth': None},0.9020771513353116,0.9508356453956931,0.9502453513577894,0.9051724137931034,0.9051724137931034,140,86,69,135,135
{'max_depth': 1},0.9074626865671642,0.9505879244285902,0.9507778025695739,0.9109195402298851,0.9109195402298851,109,92,62,85,85
{'max_depth': 2},0.911242603550296,0.9501750561500859,0.9457432805252766,0.9137931034482759,0.9137931034482758,52,102,122,43,43
{'max_depth': 3},0.9171597633136094,0.9481767736821243,0.9424504495873551,0.9195402298850575,0.9195402298850575,8,131,145,7,7
{'max_depth': 4},0.9085545722713864,0.9500429383009645,0.9498203389253967,0.9109195402298851,0.9109195402298851,89,107,74,85,85
{'max_depth': 5},0.9101796407185629,0.9550964460298587,0.9526593698810486,0.9137931034482759,0.9137931034482758,74,12,22,43,43
{'max_depth': 6},0.909090909090909,0.951876073457524,0.9512473608070656,0.9109195402298851,0.9109195402298851,87,63,55,85,85
{'max_depth': 7},0.903225806451613,0.9520742502312063,0.9521025261266558,0.9051724137931034,0.9051724137931034,137,60,36,135,135
{'max_depth': 8},0.913946587537092,0.9515292641035804,0.9521978160968565,0.9166666666666666,0.9166666666666667,27,71,34,12,12
{'max_depth': 9},0.9085545722713864,0.947384066587396,0.9450493606599667,0.9109195402298851,0.9109195402298851,89,139,129,85,85
{'max_depth': 10},0.9053254437869823,0.9563680803276523,0.9549092955185369,0.9080459770114943,0.9080459770114943,129,2,1,121,121
{'max_depth': 11},0.9194029850746268,0.9555588585017836,0.9544783978392208,0.9224137931034483,0.9224137931034483,4,7,2,3,3
{'max_depth': 12},0.9171597633136094,0.9562855066719512,0.9539108835783929,0.9195402298850575,0.9195402298850575,8,3,6,7,7
{'max_depth': 13},0.906906906906907,0.9525531774342714,0.9515541955091172,0.9109195402298851,0.9109195402298851,115,52,49,85,85
