params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}",0.8691358024691358,0.9383103818295626,0.9471623984842681,0.8747044917257684,0.874809979433068,48,121,79,16,16
"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}",0.8734491315136477,0.9406576947151928,0.9485331927613458,0.8794326241134752,0.8795493159259591,1,111,62,1,1
"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}",0.8734491315136477,0.9408477152821246,0.9481191609302458,0.8794326241134752,0.8795493159259591,1,108,74,1,1
"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}",0.8734491315136477,0.9414289546633282,0.9491810577763237,0.8794326241134752,0.8795493159259591,1,49,59,1,1
"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}",0.8734491315136477,0.9414736653849594,0.9500747410898287,0.8794326241134752,0.8795493159259591,1,48,32,1,1
"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}",0.8653846153846154,0.9418313511580076,0.9508678141215605,0.8676122931442081,0.8676562639721006,75,32,3,77,78
"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}",0.8342245989304813,0.9414960207457748,0.9510460984735303,0.8534278959810875,0.8537065188232138,105,47,2,93,93
"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}",0.7727272727272727,0.940735938478047,0.9495339400423735,0.8108747044917257,0.8112760439953501,117,109,57,117,117
"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}",0.7509025270758123,0.9343870160064384,0.9313426078161263,0.6737588652482269,0.6730304927121524,121,135,135,147,147
"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}",0.6896551724137931,0.898037199320397,0.8805020465969223,0.5531914893617021,0.5521550567826164,126,149,149,176,176
