params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}",0.8287671232876712,0.8945218438252492,0.8997886419282805,0.8360655737704918,0.8362143102855177,15,27,15,1,1
"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}",0.8287671232876712,0.8937908496732027,0.8993807374626328,0.8360655737704918,0.8362143102855177,15,30,16,1,1
"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}",0.8206896551724138,0.8906948744410044,0.8912027023833644,0.8295081967213115,0.8296783625730995,62,98,57,40,40
"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}",0.8247422680412372,0.8893188854489164,0.8866548509518739,0.8327868852459016,0.8329463364293086,39,119,92,17,17
"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}",0.8282828282828283,0.8896198830409356,0.8867480435871007,0.8327868852459016,0.8328818369453044,17,116,91,17,37
"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}",0.810126582278481,0.890264877880977,0.8880962714896969,0.8032786885245902,0.8031690746474028,78,114,75,78,79
"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}",0.7727272727272727,0.89078087375301,0.8889710407835629,0.8032786885245902,0.8037280701754386,105,84,61,78,78
"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}",0.6610169491525423,0.8893188854489165,0.8891619956663918,0.7377049180327869,0.738454592363261,131,118,60,120,120
"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}",0.5791855203619909,0.8739895080839353,0.8591044226201786,0.6950819672131148,0.6959924320605435,143,135,135,132,132
"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}",0.7152941176470589,0.8392887856897145,0.8147200522856084,0.6032786885245902,0.6019951840385277,106,150,150,173,173
"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}",0.6972477064220184,0.6977769177846578,0.6786617382751683,0.5672131147540984,0.5658109735122119,108,178,178,175,175
"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}",0.6681222707423581,0.729639662882697,0.7015989166598453,0.5016393442622951,0.5,127,176,176,205,234
"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}",0.6681222707423581,0.6247205022359822,0.62178230932037,0.5016393442622951,0.5,127,193,192,205,234
"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}",0.0,0.5686274509803921,0.5700417872066859,0.49836065573770494,0.5,238,208,208,238,234
"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}",0.012987012987012988,0.5392156862745098,0.5407264545162327,0.5016393442622951,0.5032679738562091,209,222,222,205,205
"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}",0.012987012987012988,0.5098039215686274,0.5114111218257794,0.5016393442622951,0.5032679738562091,209,226,226,205,205
"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}",0.8299319727891157,0.894951840385277,0.9003182260130203,0.8360655737704918,0.8361928104575164,14,24,14,1,3
"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}",0.8259385665529011,0.8943928448572411,0.8984018324911653,0.8327868852459016,0.8329248366013071,36,28,17,17,18
"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}",0.8219178082191781,0.8908668730650154,0.8885106880933583,0.8295081967213115,0.829656862745098,50,83,62,40,53
"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}",0.8259385665529011,0.8899638802889577,0.8833361924597443,0.8327868852459016,0.8329248366013071,36,115,119,17,18
"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}",0.8282828282828283,0.889232886136911,0.8849432579975818,0.8327868852459016,0.8328818369453044,17,120,93,17,37
"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}",0.8113207547169811,0.8906303749570005,0.8873486708204157,0.8032786885245902,0.8031475748194015,77,100,77,78,92
"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}",0.7865168539325842,0.8913828689370484,0.8907426486344852,0.8131147540983606,0.813531991744066,104,69,58,76,76
"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}",0.6694560669456068,0.8912108703130374,0.8919302245945594,0.740983606557377,0.7417010663914689,125,71,55,118,118
"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}",0.5662100456621005,0.8759244926040591,0.8628464342886285,0.6885245901639344,0.6894564843481252,146,134,134,135,135
"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}",0.5283018867924528,0.841782765737874,0.8176521192893893,0.6721311475409836,0.6731381148950808,147,149,149,136,136
"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}",0.4729064039408867,0.8029970760233918,0.7726839240477615,0.6491803278688525,0.6502837977296181,161,163,163,150,150
"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}",0.6695842450765863,0.734670622635019,0.706863632408607,0.5049180327868853,0.5032894736842105,124,175,175,202,204
"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}",0.02580645161290323,0.6377278981768147,0.6317185118809562,0.5049180327868853,0.5065359477124183,207,191,191,202,202
"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}",0.0,0.5718954248366013,0.5732990463945139,0.49836065573770494,0.5,238,207,207,238,234
"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}",0.012987012987012988,0.5392156862745098,0.5407264545162326,0.5016393442622951,0.5032679738562091,209,222,224,205,205
"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}",0.012987012987012988,0.5065359477124183,0.5081538626379514,0.5016393442622951,0.5032679738562091,209,238,238,205,205
"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}",0.8271186440677967,0.89546783625731,0.9007139680717162,0.8327868852459016,0.8329033367733059,20,13,12,17,21
"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}",0.8271186440677967,0.8940488476092192,0.8966900326720799,0.8327868852459016,0.8329033367733059,20,29,18,17,21
"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}",0.8259385665529011,0.8913828689370487,0.8869261464644342,0.8327868852459016,0.8329248366013071,36,68,78,17,18
