params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'C': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}",0.9096209912536444,0.9557074910820451,0.9619241958823909,0.9109195402298851,0.9109195402298851,16,1,17,16,16
"{'C': 0.0625, 'gamma': 0.125, 'kernel': 'rbf'}",0.9096209912536444,0.9550799312987185,0.9616764767288638,0.9109195402298851,0.9109195402298851,16,16,29,16,16
"{'C': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}",0.9096209912536444,0.9543532831285507,0.9597031629050786,0.9109195402298851,0.9109195402298851,16,99,45,16,16
"{'C': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}",0.9096209912536444,0.9540229885057471,0.9580675742688779,0.9109195402298851,0.9109195402298851,16,118,93,16,16
"{'C': 0.0625, 'gamma': 1.0, 'kernel': 'rbf'}",0.9096209912536444,0.9540890474303079,0.9583461321409437,0.9109195402298851,0.9109195402298851,16,115,78,16,16
"{'C': 0.0625, 'gamma': 2.0, 'kernel': 'rbf'}",0.912280701754386,0.9542541947417097,0.9577237810792383,0.9137931034482759,0.9137931034482758,14,100,97,14,14
"{'C': 0.0625, 'gamma': 4.0, 'kernel': 'rbf'}",0.8812499999999999,0.9541551063548684,0.958884856366387,0.8908045977011494,0.8908045977011494,105,113,60,105,105
"{'C': 0.0625, 'gamma': 8.0, 'kernel': 'rbf'}",0.8327868852459016,0.9539899590434667,0.9584590583560948,0.853448275862069,0.853448275862069,120,119,77,120,120
"{'C': 0.0625, 'gamma': 16.0, 'kernel': 'rbf'}",0.8080808080808081,0.9518430439952438,0.9502427771833309,0.8362068965517241,0.8362068965517242,122,124,134,122,122
"{'C': 0.0625, 'gamma': 32.0, 'kernel': 'rbf'}",0.6977687626774848,0.9263938433082309,0.9079596110860967,0.5718390804597702,0.5718390804597702,150,150,150,174,174
"{'C': 0.0625, 'gamma': 64.0, 'kernel': 'rbf'}",0.6758349705304518,0.8690712115206765,0.8521449865487312,0.5258620689655172,0.5258620689655172,152,165,165,201,201
"{'C': 0.0625, 'gamma': 128.0, 'kernel': 'rbf'}",0.15873015873015872,0.8060840269520412,0.7917598147633508,0.5431034482758621,0.5431034482758621,206,178,178,187,187
"{'C': 0.0625, 'gamma': 256.0, 'kernel': 'rbf'}",0.6666666666666666,0.6980942000264235,0.6945577768587601,0.5,0.5,156,194,194,227,227
"{'C': 0.0625, 'gamma': 512.0, 'kernel': 'rbf'}",0.6666666666666666,0.6133901440084556,0.6111302161245941,0.5,0.5,156,207,207,227,227
"{'C': 0.0625, 'gamma': 1024.0, 'kernel': 'rbf'}",0.6666666666666666,0.5571574844761528,0.5558812812613867,0.5,0.5,156,222,222,227,227
"{'C': 0.0625, 'gamma': 2048.0, 'kernel': 'rbf'}",0.6666666666666666,0.5287356321839081,0.5287356321839082,0.5,0.5,156,237,237,227,227
"{'C': 0.125, 'gamma': 0.0625, 'kernel': 'rbf'}",0.9096209912536444,0.9556744616197649,0.9624043236226882,0.9109195402298851,0.9109195402298851,16,2,1,16,16
"{'C': 0.125, 'gamma': 0.125, 'kernel': 'rbf'}",0.9096209912536444,0.9550799312987186,0.9622935330197289,0.9109195402298851,0.9109195402298851,16,15,2,16,16
"{'C': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}",0.9096209912536444,0.9546175188267936,0.9605205551076419,0.9109195402298851,0.9109195402298851,16,70,31,16,16
"{'C': 0.125, 'gamma': 0.5, 'kernel': 'rbf'}",0.9096209912536444,0.9542541947417097,0.9588664167452944,0.9109195402298851,0.9109195402298851,16,100,61,16,16
"{'C': 0.125, 'gamma': 1.0, 'kernel': 'rbf'}",0.9096209912536444,0.9540890474303078,0.9586273852019567,0.9109195402298851,0.9109195402298851,16,116,62,16,16
"{'C': 0.125, 'gamma': 2.0, 'kernel': 'rbf'}",0.9144542772861357,0.9546175188267937,0.9583398100944688,0.9166666666666666,0.9166666666666666,2,69,79,2,13
"{'C': 0.125, 'gamma': 4.0, 'kernel': 'rbf'}",0.901840490797546,0.9544523715153918,0.9585577121120992,0.9080459770114943,0.9080459770114943,91,86,64,91,91
"{'C': 0.125, 'gamma': 8.0, 'kernel': 'rbf'}",0.8441558441558441,0.9540560179680274,0.9586079779752124,0.8620689655172413,0.8620689655172413,106,117,63,106,106
"{'C': 0.125, 'gamma': 16.0, 'kernel': 'rbf'}",0.7692307692307692,0.9517439556084025,0.9501759770340186,0.8103448275862069,0.8103448275862069,135,125,135,135,135
"{'C': 0.125, 'gamma': 32.0, 'kernel': 'rbf'}",0.7095435684647303,0.9297958779231075,0.9174066873465656,0.5977011494252874,0.5977011494252873,149,149,149,172,172
"{'C': 0.125, 'gamma': 64.0, 'kernel': 'rbf'}",0.6731898238747555,0.8725558197912539,0.8548777146802173,0.5201149425287356,0.5201149425287357,154,164,164,213,213
"{'C': 0.125, 'gamma': 128.0, 'kernel': 'rbf'}",0.29411764705882354,0.8049610252345092,0.78996178245224,0.5862068965517241,0.5862068965517242,193,179,179,173,173
"{'C': 0.125, 'gamma': 256.0, 'kernel': 'rbf'}",0.6666666666666666,0.6980942000264235,0.6945577768587601,0.5,0.5,156,194,194,227,227
"{'C': 0.125, 'gamma': 512.0, 'kernel': 'rbf'}",0.6666666666666666,0.6133901440084556,0.6111302161245941,0.5,0.5,156,207,207,227,227
"{'C': 0.125, 'gamma': 1024.0, 'kernel': 'rbf'}",0.6666666666666666,0.5571574844761528,0.5558812812613867,0.5,0.5,156,222,222,227,227
"{'C': 0.125, 'gamma': 2048.0, 'kernel': 'rbf'}",0.6666666666666666,0.5287356321839081,0.5287356321839082,0.5,0.5,156,237,237,227,227
"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}",0.9096209912536444,0.9552781080724005,0.9620033696612182,0.9109195402298851,0.9109195402298851,16,3,14,16,16
"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}",0.9096209912536444,0.9546835777513543,0.961940071727377,0.9109195402298851,0.9109195402298851,16,65,16,16,16
"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}",0.9096209912536444,0.9543863125908311,0.9598642484066144,0.9109195402298851,0.9109195402298851,16,98,44,16,16
"{'C': 0.25, 'gamma': 0.5, 'kernel': 'rbf'}",0.9096209912536444,0.9547166072136346,0.9594336101695569,0.9109195402298851,0.9109195402298851,16,64,46,16,16
"{'C': 0.25, 'gamma': 1.0, 'kernel': 'rbf'}",0.9096209912536444,0.9545844893645133,0.9582504686596318,0.9109195402298851,0.9109195402298851,16,71,80,16,16
"{'C': 0.25, 'gamma': 2.0, 'kernel': 'rbf'}",0.9166666666666666,0.9546505482890739,0.9579063463248915,0.9195402298850575,0.9195402298850575,1,68,96,1,1
"{'C': 0.25, 'gamma': 4.0, 'kernel': 'rbf'}",0.891640866873065,0.9545844893645131,0.9589032980735468,0.8994252873563219,0.8994252873563218,92,72,59,92,92
