params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'reg_alpha': 0, 'reg_lambda': 0}",0.8372093023255816,0.8955892873110971,0.9006872409179201,0.851063829787234,0.8512697844943218,10,81,81,10,17
"{'reg_alpha': 0, 'reg_lambda': 0.01}",0.839378238341969,0.9059398193686845,0.9083862734255309,0.8534278959810875,0.8536394527407672,1,71,72,1,1
"{'reg_alpha': 0, 'reg_lambda': 0.02}",0.8363636363636364,0.9063645712241795,0.9088357053933636,0.851063829787234,0.8512809621747295,66,19,42,10,10
"{'reg_alpha': 0, 'reg_lambda': 0.05}",0.8333333333333334,0.9059174640078691,0.9083887123770522,0.8486997635933806,0.8489224716086918,80,73,71,73,73
"{'reg_alpha': 0, 'reg_lambda': 0.1}",0.8333333333333334,0.9064204596262183,0.9087538231670289,0.8486997635933806,0.8489224716086918,80,17,60,73,73
"{'reg_alpha': 0, 'reg_lambda': 0.5}",0.8372093023255816,0.9063645712241795,0.9088497568861198,0.851063829787234,0.8512697844943218,10,19,13,10,17
"{'reg_alpha': 0, 'reg_lambda': 1}",0.8372093023255816,0.9063198605025484,0.9087905470636594,0.851063829787234,0.8512697844943218,10,55,51,10,17
"{'reg_alpha': 0, 'reg_lambda': 2}",0.8372093023255816,0.9063198605025484,0.9087905470636594,0.851063829787234,0.8512697844943218,10,55,51,10,17
"{'reg_alpha': 0, 'reg_lambda': 3}",0.8372093023255816,0.9063645712241795,0.9088402631760581,0.851063829787234,0.8512697844943218,10,19,38,10,17
"{'reg_alpha': 0.01, 'reg_lambda': 0}",0.8372093023255816,0.9063645712241795,0.9088497568861198,0.851063829787234,0.8512697844943218,10,19,13,10,17
"{'reg_alpha': 0.01, 'reg_lambda': 0.01}",0.8372093023255816,0.9063645712241795,0.9088497568861198,0.851063829787234,0.8512697844943218,10,19,13,10,17
"{'reg_alpha': 0.01, 'reg_lambda': 0.02}",0.8372093023255816,0.9063645712241795,0.9088497568861198,0.851063829787234,0.8512697844943218,10,19,13,10,17
"{'reg_alpha': 0.01, 'reg_lambda': 0.05}",0.8372093023255816,0.9063645712241795,0.9088497568861198,0.851063829787234,0.8512697844943218,10,19,13,10,17
"{'reg_alpha': 0.01, 'reg_lambda': 0.1}",0.839378238341969,0.9080747563265671,0.910312763808301,0.8534278959810875,0.8536394527407672,1,1,1,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 0.5}",0.8372093023255816,0.9063645712241795,0.9085330615674742,0.851063829787234,0.8512697844943218,10,19,68,10,17
"{'reg_alpha': 0.01, 'reg_lambda': 1}",0.8372093023255816,0.9064316373066261,0.9086121376995041,0.851063829787234,0.8512697844943218,10,16,64,10,17
"{'reg_alpha': 0.01, 'reg_lambda': 2}",0.8341968911917098,0.9050008942144325,0.9076746815628376,0.8486997635933806,0.848911293928284,73,78,78,73,75
"{'reg_alpha': 0.01, 'reg_lambda': 3}",0.8372093023255816,0.9063645712241795,0.9088402631760581,0.851063829787234,0.8512697844943218,10,19,38,10,17
"{'reg_alpha': 0.02, 'reg_lambda': 0}",0.8372093023255816,0.9063645712241795,0.9088497568861198,0.851063829787234,0.8512697844943218,10,19,13,10,17
"{'reg_alpha': 0.02, 'reg_lambda': 0.01}",0.8372093023255816,0.9063645712241795,0.9088497568861198,0.851063829787234,0.8512697844943218,10,19,13,10,17
