params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'colsample_bytree': 0.6, 'subsample': 0.6}",0.5739910313901345,0.8062435500515996,0.8159285473364084,0.6885245901639344,0.6894134846921225,13,15,14,13,13
"{'colsample_bytree': 0.6, 'subsample': 0.7}",0.5955555555555556,0.8133384932920535,0.8285963687372643,0.7016393442622951,0.7025068799449604,5,9,7,4,4
"{'colsample_bytree': 0.6, 'subsample': 0.8}",0.6017699115044248,0.8247549019607843,0.8370536529829673,0.7049180327868853,0.7057748538011696,1,2,2,1,2
"{'colsample_bytree': 0.6, 'subsample': 0.9}",0.5892857142857144,0.8099200206398349,0.8200515652707249,0.6983606557377049,0.6992389060887513,10,12,10,9,9
"{'colsample_bytree': 0.7, 'subsample': 0.6}",0.5675675675675675,0.8141124871001031,0.8301682846779119,0.6852459016393443,0.6861455108359134,14,8,6,14,14
"{'colsample_bytree': 0.7, 'subsample': 0.7}",0.5991189427312775,0.8047385620915033,0.8155706252846666,0.7016393442622951,0.702485380116959,3,16,16,4,8
"{'colsample_bytree': 0.7, 'subsample': 0.8}",0.5866666666666666,0.8200894392844857,0.833762309523577,0.6950819672131148,0.6959494324045408,11,5,4,11,11
"{'colsample_bytree': 0.7, 'subsample': 0.9}",0.6017699115044248,0.8103070175438596,0.8189014080710281,0.7049180327868853,0.7057748538011696,1,10,11,1,2
"{'colsample_bytree': 0.8, 'subsample': 0.6}",0.5504587155963303,0.8142629858961128,0.8247968528648408,0.6786885245901639,0.6796310629514963,15,6,8,15,15
"{'colsample_bytree': 0.8, 'subsample': 0.7}",0.5929203539823009,0.8073400412796699,0.8157085819850899,0.6983606557377049,0.6992174062607499,9,14,15,9,10
"{'colsample_bytree': 0.8, 'subsample': 0.8}",0.5866666666666666,0.824625902992776,0.8378327366485758,0.6950819672131148,0.6959494324045408,11,3,1,11,11
"{'colsample_bytree': 0.8, 'subsample': 0.9}",0.5955555555555556,0.8093180254557963,0.8178115505785908,0.7016393442622951,0.7025068799449604,5,13,13,4,4
"{'colsample_bytree': 0.9, 'subsample': 0.6}",0.5395348837209302,0.8264103887168903,0.8324644590150554,0.6754098360655738,0.6763845889232887,16,1,5,16,16
"{'colsample_bytree': 0.9, 'subsample': 0.7}",0.5955555555555556,0.8141769865841073,0.823718135323288,0.7016393442622951,0.7025068799449604,5,7,9,4,4
"{'colsample_bytree': 0.9, 'subsample': 0.8}",0.5955555555555556,0.8218524251805986,0.8370121883466576,0.7016393442622951,0.7025068799449604,5,4,3,4,4
"{'colsample_bytree': 0.9, 'subsample': 0.9}",0.5982142857142858,0.8099630202958377,0.8186245759715461,0.7049180327868853,0.7057963536291709,4,11,12,1,1
