params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'reg_alpha': 0, 'reg_lambda': 0}",0.8355263157894737,0.9272856387898005,0.9143655225343015,0.8563218390804598,0.8563218390804598,1,22,47,1,1
"{'reg_alpha': 0, 'reg_lambda': 0.01}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0, 'reg_lambda': 0.02}",0.8355263157894737,0.9239166336372043,0.9149738646451979,0.8563218390804598,0.8563218390804598,1,37,42,1,1
"{'reg_alpha': 0, 'reg_lambda': 0.05}",0.8355263157894737,0.9151803408640508,0.9088747492716689,0.8563218390804598,0.8563218390804598,1,52,51,1,1
"{'reg_alpha': 0, 'reg_lambda': 0.1}",0.8355263157894737,0.9265094464262122,0.917272170093111,0.8563218390804598,0.8563218390804598,1,25,27,1,1
"{'reg_alpha': 0, 'reg_lambda': 0.5}",0.8355263157894737,0.9246928260007926,0.9164362870169878,0.8563218390804598,0.8563218390804598,1,32,30,1,1
"{'reg_alpha': 0, 'reg_lambda': 1}",0.8355263157894737,0.9315629541551064,0.9228106913792979,0.8563218390804598,0.8563218390804598,1,4,10,1,1
"{'reg_alpha': 0, 'reg_lambda': 2}",0.8355263157894737,0.9275498744880434,0.9224102226350219,0.8563218390804598,0.8563218390804598,1,19,13,1,1
"{'reg_alpha': 0, 'reg_lambda': 3}",0.8355263157894737,0.922199101598626,0.9159281702075115,0.8563218390804598,0.8563218390804598,1,43,34,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 0}",0.8355263157894737,0.9245276786893909,0.9163105424053017,0.8563218390804598,0.8563218390804598,1,34,32,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 0.01}",0.8355263157894737,0.9116957325934734,0.9046590760444058,0.8563218390804598,0.8563218390804598,1,56,60,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 0.02}",0.8355263157894737,0.9265094464262122,0.9172730731158178,0.8563218390804598,0.8563218390804598,1,25,26,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 0.05}",0.8355263157894737,0.9275003302946229,0.9190231618833951,0.8563218390804598,0.8563218390804598,1,20,22,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 0.1}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 0.5}",0.8355263157894737,0.9233386180472981,0.9122307568221094,0.8563218390804598,0.8563218390804598,1,41,49,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 1}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 2}",0.8355263157894737,0.9329667063020214,0.927368977522812,0.8563218390804598,0.8563218390804598,1,2,2,1,1
"{'reg_alpha': 0.01, 'reg_lambda': 3}",0.8355263157894737,0.9239166336372043,0.9149738646451979,0.8563218390804598,0.8563218390804598,1,37,42,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 0}",0.8355263157894737,0.9084258158277183,0.9009568564199872,0.8563218390804598,0.8563218390804598,1,80,80,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 0.01}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 0.02}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 0.05}",0.8355263157894737,0.9108534813053244,0.9086401238860592,0.8563218390804598,0.8563218390804598,1,61,52,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 0.1}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 0.5}",0.8355263157894737,0.9239496630994847,0.9150244254116899,0.8563218390804598,0.8563218390804598,1,36,41,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 1}",0.8355263157894737,0.9116957325934734,0.9046590760444058,0.8563218390804598,0.8563218390804598,1,56,60,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 2}",0.8355263157894737,0.9256176509446425,0.9197591728799623,0.8563218390804598,0.8563218390804598,1,31,19,1,1
"{'reg_alpha': 0.02, 'reg_lambda': 3}",0.8355263157894737,0.9118939093671555,0.9048771579546269,0.8563218390804598,0.8563218390804598,1,55,59,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 0}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 0.01}",0.8355263157894737,0.9301096578147707,0.921856118936752,0.8563218390804598,0.8563218390804598,1,12,14,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 0.02}",0.8355263157894737,0.9108534813053244,0.9086401238860592,0.8563218390804598,0.8563218390804598,1,61,52,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 0.05}",0.8355263157894737,0.9264764169639319,0.9172225123493256,0.8563218390804598,0.8563218390804598,1,27,28,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 0.1}",0.8355263157894737,0.9108534813053243,0.900998230887876,0.8563218390804598,0.8563218390804598,1,64,79,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 0.5}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 1}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 2}",0.8355263157894737,0.9108534813053243,0.900998398915053,0.8563218390804598,0.8563218390804598,1,64,78,1,1
"{'reg_alpha': 0.05, 'reg_lambda': 3}",0.8355263157894737,0.9239166336372043,0.9149738646451979,0.8563218390804598,0.8563218390804598,1,37,42,1,1
"{'reg_alpha': 0.1, 'reg_lambda': 0}",0.8355263157894737,0.9088221693750825,0.9013670809600394,0.8563218390804598,0.8563218390804598,1,67,65,1,1
