rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
71,2,30,71,71,"{'max_depth': -1, 'num_leaves': 221}"
71,11,45,71,71,"{'max_depth': -1, 'num_leaves': 231}"
71,19,23,71,71,"{'max_depth': -1, 'num_leaves': 241}"
4,12,13,4,5,"{'max_depth': -1, 'num_leaves': 251}"
4,8,10,4,5,"{'max_depth': -1, 'num_leaves': 261}"
71,162,8,71,71,"{'max_depth': -1, 'num_leaves': 271}"
71,22,5,71,71,"{'max_depth': -1, 'num_leaves': 281}"
71,34,14,71,71,"{'max_depth': -1, 'num_leaves': 291}"
71,123,4,71,71,"{'max_depth': -1, 'num_leaves': 301}"
4,10,21,4,5,"{'max_depth': -1, 'num_leaves': 311}"
71,44,16,71,71,"{'max_depth': -1, 'num_leaves': 321}"
71,5,18,71,71,"{'max_depth': -1, 'num_leaves': 331}"
71,9,9,71,71,"{'max_depth': -1, 'num_leaves': 341}"
71,167,46,71,71,"{'max_depth': 0, 'num_leaves': 221}"
71,26,29,71,71,"{'max_depth': 0, 'num_leaves': 231}"
71,97,62,71,71,"{'max_depth': 0, 'num_leaves': 241}"
4,15,11,4,5,"{'max_depth': 0, 'num_leaves': 251}"
71,6,25,71,71,"{'max_depth': 0, 'num_leaves': 261}"
71,14,41,71,71,"{'max_depth': 0, 'num_leaves': 271}"
4,48,19,4,5,"{'max_depth': 0, 'num_leaves': 281}"
71,3,3,71,71,"{'max_depth': 0, 'num_leaves': 291}"
70,4,6,58,70,"{'max_depth': 0, 'num_leaves': 301}"
3,47,7,1,4,"{'max_depth': 0, 'num_leaves': 311}"
71,1,2,71,71,"{'max_depth': 0, 'num_leaves': 321}"
4,25,1,4,5,"{'max_depth': 0, 'num_leaves': 331}"
71,113,12,71,71,"{'max_depth': 0, 'num_leaves': 341}"
71,114,122,71,71,"{'max_depth': 3, 'num_leaves': 221}"
71,127,153,71,71,"{'max_depth': 3, 'num_leaves': 231}"
71,122,124,71,71,"{'max_depth': 3, 'num_leaves': 241}"
71,147,159,71,71,"{'max_depth': 3, 'num_leaves': 251}"
71,157,167,71,71,"{'max_depth': 3, 'num_leaves': 261}"
71,141,97,71,71,"{'max_depth': 3, 'num_leaves': 271}"
71,116,100,71,71,"{'max_depth': 3, 'num_leaves': 281}"
71,159,165,71,71,"{'max_depth': 3, 'num_leaves': 291}"
4,125,105,4,5,"{'max_depth': 3, 'num_leaves': 301}"
4,124,144,4,5,"{'max_depth': 3, 'num_leaves': 311}"
4,83,148,4,5,"{'max_depth': 3, 'num_leaves': 321}"
71,150,166,71,71,"{'max_depth': 3, 'num_leaves': 331}"
71,161,158,71,71,"{'max_depth': 3, 'num_leaves': 341}"
4,91,137,4,5,"{'max_depth': 4, 'num_leaves': 221}"
71,64,103,71,71,"{'max_depth': 4, 'num_leaves': 231}"
58,87,154,58,58,"{'max_depth': 4, 'num_leaves': 241}"
58,29,36,58,58,"{'max_depth': 4, 'num_leaves': 251}"
58,20,87,58,58,"{'max_depth': 4, 'num_leaves': 261}"
57,45,78,57,3,"{'max_depth': 4, 'num_leaves': 271}"
58,30,42,58,58,"{'max_depth': 4, 'num_leaves': 281}"
71,82,164,71,71,"{'max_depth': 4, 'num_leaves': 291}"
71,41,81,71,71,"{'max_depth': 4, 'num_leaves': 301}"
