rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,5,163,1,1,"{'max_depth': -1, 'num_leaves': 221}"
1,147,158,1,1,"{'max_depth': -1, 'num_leaves': 231}"
1,9,117,1,1,"{'max_depth': -1, 'num_leaves': 241}"
1,133,167,1,1,"{'max_depth': -1, 'num_leaves': 251}"
1,35,141,1,1,"{'max_depth': -1, 'num_leaves': 261}"
1,169,166,1,1,"{'max_depth': -1, 'num_leaves': 271}"
1,158,150,1,1,"{'max_depth': -1, 'num_leaves': 281}"
1,156,151,1,1,"{'max_depth': -1, 'num_leaves': 291}"
1,98,165,1,1,"{'max_depth': -1, 'num_leaves': 301}"
1,162,161,1,1,"{'max_depth': -1, 'num_leaves': 311}"
1,164,169,1,1,"{'max_depth': -1, 'num_leaves': 321}"
1,157,152,1,1,"{'max_depth': -1, 'num_leaves': 331}"
1,2,126,1,1,"{'max_depth': -1, 'num_leaves': 341}"
1,117,140,1,1,"{'max_depth': 0, 'num_leaves': 221}"
1,21,157,1,1,"{'max_depth': 0, 'num_leaves': 231}"
1,152,149,1,1,"{'max_depth': 0, 'num_leaves': 241}"
1,143,164,1,1,"{'max_depth': 0, 'num_leaves': 251}"
1,163,120,1,1,"{'max_depth': 0, 'num_leaves': 261}"
1,168,168,1,1,"{'max_depth': 0, 'num_leaves': 271}"
1,73,73,1,1,"{'max_depth': 0, 'num_leaves': 281}"
1,141,109,1,1,"{'max_depth': 0, 'num_leaves': 291}"
1,3,125,1,1,"{'max_depth': 0, 'num_leaves': 301}"
1,166,156,1,1,"{'max_depth': 0, 'num_leaves': 311}"
1,19,148,1,1,"{'max_depth': 0, 'num_leaves': 321}"
1,1,99,1,1,"{'max_depth': 0, 'num_leaves': 331}"
1,167,159,1,1,"{'max_depth': 0, 'num_leaves': 341}"
1,74,46,1,1,"{'max_depth': 3, 'num_leaves': 221}"
1,151,127,1,1,"{'max_depth': 3, 'num_leaves': 231}"
1,39,134,1,1,"{'max_depth': 3, 'num_leaves': 241}"
1,149,97,1,1,"{'max_depth': 3, 'num_leaves': 251}"
1,101,154,1,1,"{'max_depth': 3, 'num_leaves': 261}"
1,153,7,1,1,"{'max_depth': 3, 'num_leaves': 271}"
1,85,114,1,1,"{'max_depth': 3, 'num_leaves': 281}"
1,83,40,1,1,"{'max_depth': 3, 'num_leaves': 291}"
1,115,52,1,1,"{'max_depth': 3, 'num_leaves': 301}"
1,75,96,1,1,"{'max_depth': 3, 'num_leaves': 311}"
1,63,121,1,1,"{'max_depth': 3, 'num_leaves': 321}"
1,104,111,1,1,"{'max_depth': 3, 'num_leaves': 331}"
1,97,116,1,1,"{'max_depth': 3, 'num_leaves': 341}"
1,45,37,1,1,"{'max_depth': 4, 'num_leaves': 221}"
1,125,29,1,1,"{'max_depth': 4, 'num_leaves': 231}"
1,42,35,1,1,"{'max_depth': 4, 'num_leaves': 241}"
1,161,123,1,1,"{'max_depth': 4, 'num_leaves': 251}"
1,109,89,1,1,"{'max_depth': 4, 'num_leaves': 261}"
1,155,47,1,1,"{'max_depth': 4, 'num_leaves': 271}"
1,100,18,1,1,"{'max_depth': 4, 'num_leaves': 281}"
1,68,63,1,1,"{'max_depth': 4, 'num_leaves': 291}"
1,113,27,1,1,"{'max_depth': 4, 'num_leaves': 301}"
1,56,65,1,1,"{'max_depth': 4, 'num_leaves': 311}"
1,116,23,1,1,"{'max_depth': 4, 'num_leaves': 321}"
1,145,74,1,1,"{'max_depth': 4, 'num_leaves': 331}"
