rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
496,208,136,495,496,"{'max_bin': 5, 'min_child_samples': 10}"
402,446,139,429,402,"{'max_bin': 5, 'min_child_samples': 20}"
430,368,137,429,430,"{'max_bin': 5, 'min_child_samples': 30}"
403,191,135,402,403,"{'max_bin': 5, 'min_child_samples': 40}"
387,444,138,387,387,"{'max_bin': 5, 'min_child_samples': 50}"
389,106,106,389,389,"{'max_bin': 5, 'min_child_samples': 60}"
389,108,99,389,389,"{'max_bin': 5, 'min_child_samples': 70}"
403,111,110,402,403,"{'max_bin': 5, 'min_child_samples': 80}"
403,112,119,402,403,"{'max_bin': 5, 'min_child_samples': 90}"
403,110,115,402,403,"{'max_bin': 5, 'min_child_samples': 100}"
403,96,83,402,403,"{'max_bin': 5, 'min_child_samples': 110}"
403,107,104,402,403,"{'max_bin': 5, 'min_child_samples': 120}"
403,103,101,402,403,"{'max_bin': 5, 'min_child_samples': 130}"
403,105,102,402,403,"{'max_bin': 5, 'min_child_samples': 140}"
403,98,88,402,403,"{'max_bin': 5, 'min_child_samples': 150}"
403,97,50,402,403,"{'max_bin': 5, 'min_child_samples': 160}"
389,102,65,389,389,"{'max_bin': 5, 'min_child_samples': 170}"
403,100,66,402,403,"{'max_bin': 5, 'min_child_samples': 180}"
403,99,77,402,403,"{'max_bin': 5, 'min_child_samples': 190}"
403,101,63,402,403,"{'max_bin': 5, 'min_child_samples': 200}"
457,68,86,453,458,"{'max_bin': 15, 'min_child_samples': 10}"
403,83,98,402,403,"{'max_bin': 15, 'min_child_samples': 20}"
430,81,79,429,430,"{'max_bin': 15, 'min_child_samples': 30}"
430,72,75,429,430,"{'max_bin': 15, 'min_child_samples': 40}"
457,114,111,453,458,"{'max_bin': 15, 'min_child_samples': 50}"
457,76,68,453,458,"{'max_bin': 15, 'min_child_samples': 60}"
457,74,84,453,458,"{'max_bin': 15, 'min_child_samples': 70}"
457,77,96,453,458,"{'max_bin': 15, 'min_child_samples': 80}"
430,50,76,429,430,"{'max_bin': 15, 'min_child_samples': 90}"
430,41,59,429,430,"{'max_bin': 15, 'min_child_samples': 100}"
430,42,89,429,430,"{'max_bin': 15, 'min_child_samples': 110}"
430,36,62,429,430,"{'max_bin': 15, 'min_child_samples': 120}"
430,34,69,429,430,"{'max_bin': 15, 'min_child_samples': 130}"
430,27,56,429,430,"{'max_bin': 15, 'min_child_samples': 140}"
430,22,40,429,430,"{'max_bin': 15, 'min_child_samples': 150}"
430,26,39,429,430,"{'max_bin': 15, 'min_child_samples': 160}"
403,21,57,402,403,"{'max_bin': 15, 'min_child_samples': 170}"
430,14,41,429,430,"{'max_bin': 15, 'min_child_samples': 180}"
403,24,52,402,403,"{'max_bin': 15, 'min_child_samples': 190}"
403,16,31,402,403,"{'max_bin': 15, 'min_child_samples': 200}"
457,133,118,453,458,"{'max_bin': 25, 'min_child_samples': 10}"
389,129,125,389,389,"{'max_bin': 25, 'min_child_samples': 20}"
403,144,120,402,403,"{'max_bin': 25, 'min_child_samples': 30}"
457,121,124,453,458,"{'max_bin': 25, 'min_child_samples': 40}"
475,118,122,474,475,"{'max_bin': 25, 'min_child_samples': 50}"
496,119,126,495,496,"{'max_bin': 25, 'min_child_samples': 60}"
475,89,95,474,475,"{'max_bin': 25, 'min_child_samples': 70}"
496,90,109,495,496,"{'max_bin': 25, 'min_child_samples': 80}"
496,92,103,495,496,"{'max_bin': 25, 'min_child_samples': 90}"
496,113,107,495,496,"{'max_bin': 25, 'min_child_samples': 100}"
496,94,94,495,496,"{'max_bin': 25, 'min_child_samples': 110}"
496,88,87,495,496,"{'max_bin': 25, 'min_child_samples': 120}"
496,28,29,495,496,"{'max_bin': 25, 'min_child_samples': 130}"
496,43,67,495,496,"{'max_bin': 25, 'min_child_samples': 140}"
496,40,46,495,496,"{'max_bin': 25, 'min_child_samples': 150}"
496,31,17,495,496,"{'max_bin': 25, 'min_child_samples': 160}"
496,37,33,495,496,"{'max_bin': 25, 'min_child_samples': 170}"
496,51,28,495,496,"{'max_bin': 25, 'min_child_samples': 180}"
496,8,21,495,496,"{'max_bin': 25, 'min_child_samples': 190}"
496,20,37,495,496,"{'max_bin': 25, 'min_child_samples': 200}"
511,116,140,495,511,"{'max_bin': 35, 'min_child_samples': 10}"
513,149,117,513,513,"{'max_bin': 35, 'min_child_samples': 20}"
389,159,123,389,389,"{'max_bin': 35, 'min_child_samples': 30}"
457,82,81,453,458,"{'max_bin': 35, 'min_child_samples': 40}"
389,84,44,389,389,"{'max_bin': 35, 'min_child_samples': 50}"
389,73,45,389,389,"{'max_bin': 35, 'min_child_samples': 60}"
389,115,100,389,389,"{'max_bin': 35, 'min_child_samples': 70}"
403,58,55,402,403,"{'max_bin': 35, 'min_child_samples': 80}"
477,47,74,474,477,"{'max_bin': 35, 'min_child_samples': 90}"
477,55,92,474,477,"{'max_bin': 35, 'min_child_samples': 100}"
477,59,91,474,477,"{'max_bin': 35, 'min_child_samples': 110}"
403,78,97,402,403,"{'max_bin': 35, 'min_child_samples': 120}"
477,48,72,474,477,"{'max_bin': 35, 'min_child_samples': 130}"
513,39,43,513,513,"{'max_bin': 35, 'min_child_samples': 140}"
477,16,54,474,477,"{'max_bin': 35, 'min_child_samples': 150}"
477,25,61,474,477,"{'max_bin': 35, 'min_child_samples': 160}"
477,45,60,474,477,"{'max_bin': 35, 'min_child_samples': 170}"
477,38,80,474,477,"{'max_bin': 35, 'min_child_samples': 180}"
477,9,64,474,477,"{'max_bin': 35, 'min_child_samples': 190}"
477,30,82,474,477,"{'max_bin': 35, 'min_child_samples': 200}"
