rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
63,80,73,63,63,"{'learning_rate': 0.001, 'n_estimators': 50}"
63,78,75,63,63,"{'learning_rate': 0.001, 'n_estimators': 75}"
63,81,80,63,63,"{'learning_rate': 0.001, 'n_estimators': 100}"
63,76,74,63,63,"{'learning_rate': 0.001, 'n_estimators': 125}"
63,74,79,63,63,"{'learning_rate': 0.001, 'n_estimators': 150}"
63,77,78,63,63,"{'learning_rate': 0.001, 'n_estimators': 175}"
63,73,76,63,63,"{'learning_rate': 0.001, 'n_estimators': 200}"
63,72,77,63,63,"{'learning_rate': 0.001, 'n_estimators': 225}"
63,79,81,63,63,"{'learning_rate': 0.001, 'n_estimators': 250}"
63,70,72,63,63,"{'learning_rate': 0.01, 'n_estimators': 50}"
63,75,71,63,63,"{'learning_rate': 0.01, 'n_estimators': 75}"
63,71,70,63,63,"{'learning_rate': 0.01, 'n_estimators': 100}"
63,49,69,63,63,"{'learning_rate': 0.01, 'n_estimators': 125}"
63,51,67,63,63,"{'learning_rate': 0.01, 'n_estimators': 150}"
63,50,68,63,63,"{'learning_rate': 0.01, 'n_estimators': 175}"
63,45,54,63,63,"{'learning_rate': 0.01, 'n_estimators': 200}"
63,42,55,63,63,"{'learning_rate': 0.01, 'n_estimators': 225}"
63,24,48,63,63,"{'learning_rate': 0.01, 'n_estimators': 250}"
63,25,63,63,63,"{'learning_rate': 0.05, 'n_estimators': 50}"
61,36,46,61,61,"{'learning_rate': 0.05, 'n_estimators': 75}"
55,18,28,55,55,"{'learning_rate': 0.05, 'n_estimators': 100}"
43,31,52,43,43,"{'learning_rate': 0.05, 'n_estimators': 125}"
42,28,53,42,42,"{'learning_rate': 0.05, 'n_estimators': 150}"
43,40,51,43,43,"{'learning_rate': 0.05, 'n_estimators': 175}"
43,27,50,43,43,"{'learning_rate': 0.05, 'n_estimators': 200}"
43,21,49,43,43,"{'learning_rate': 0.05, 'n_estimators': 225}"
43,41,62,43,43,"{'learning_rate': 0.05, 'n_estimators': 250}"
61,47,60,61,61,"{'learning_rate': 0.07, 'n_estimators': 50}"
55,19,9,55,55,"{'learning_rate': 0.07, 'n_estimators': 75}"
16,39,57,16,16,"{'learning_rate': 0.07, 'n_estimators': 100}"
1,44,58,1,1,"{'learning_rate': 0.07, 'n_estimators': 125}"
1,46,59,1,1,"{'learning_rate': 0.07, 'n_estimators': 150}"
1,48,65,1,1,"{'learning_rate': 0.07, 'n_estimators': 175}"
1,43,61,1,1,"{'learning_rate': 0.07, 'n_estimators': 200}"
1,22,56,1,1,"{'learning_rate': 0.07, 'n_estimators': 225}"
13,23,47,13,13,"{'learning_rate': 0.07, 'n_estimators': 250}"
55,17,31,55,55,"{'learning_rate': 0.1, 'n_estimators': 50}"
25,1,10,25,25,"{'learning_rate': 0.1, 'n_estimators': 75}"
43,10,11,43,43,"{'learning_rate': 0.1, 'n_estimators': 100}"
23,12,36,23,23,"{'learning_rate': 0.1, 'n_estimators': 125}"
40,2,45,40,40,"{'learning_rate': 0.1, 'n_estimators': 150}"
35,13,33,35,35,"{'learning_rate': 0.1, 'n_estimators': 175}"
35,15,32,35,35,"{'learning_rate': 0.1, 'n_estimators': 200}"
40,11,30,40,40,"{'learning_rate': 0.1, 'n_estimators': 225}"
35,14,34,35,35,"{'learning_rate': 0.1, 'n_estimators': 250}"
1,20,12,1,1,"{'learning_rate': 0.2, 'n_estimators': 50}"
1,16,8,1,1,"{'learning_rate': 0.2, 'n_estimators': 75}"
1,4,5,1,1,"{'learning_rate': 0.2, 'n_estimators': 100}"
1,6,7,1,1,"{'learning_rate': 0.2, 'n_estimators': 125}"
1,5,3,1,1,"{'learning_rate': 0.2, 'n_estimators': 150}"
1,8,6,1,1,"{'learning_rate': 0.2, 'n_estimators': 175}"
1,3,4,1,1,"{'learning_rate': 0.2, 'n_estimators': 200}"
13,7,2,13,13,"{'learning_rate': 0.2, 'n_estimators': 225}"
13,9,1,13,13,"{'learning_rate': 0.2, 'n_estimators': 250}"
35,33,21,35,35,"{'learning_rate': 0.5, 'n_estimators': 50}"
25,30,23,25,25,"{'learning_rate': 0.5, 'n_estimators': 75}"
17,37,22,17,17,"{'learning_rate': 0.5, 'n_estimators': 100}"
25,29,24,25,25,"{'learning_rate': 0.5, 'n_estimators': 125}"
25,34,20,25,25,"{'learning_rate': 0.5, 'n_estimators': 150}"
25,35,25,25,25,"{'learning_rate': 0.5, 'n_estimators': 175}"
17,38,26,17,17,"{'learning_rate': 0.5, 'n_estimators': 200}"
23,32,19,23,23,"{'learning_rate': 0.5, 'n_estimators': 225}"
39,26,27,39,39,"{'learning_rate': 0.5, 'n_estimators': 250}"
19,67,40,19,19,"{'learning_rate': 0.75, 'n_estimators': 50}"
25,56,42,25,25,"{'learning_rate': 0.75, 'n_estimators': 75}"
19,66,38,19,19,"{'learning_rate': 0.75, 'n_estimators': 100}"
25,65,44,25,25,"{'learning_rate': 0.75, 'n_estimators': 125}"
19,63,39,19,19,"{'learning_rate': 0.75, 'n_estimators': 150}"
25,61,43,25,25,"{'learning_rate': 0.75, 'n_estimators': 175}"
25,60,41,25,25,"{'learning_rate': 0.75, 'n_estimators': 200}"
25,57,35,25,25,"{'learning_rate': 0.75, 'n_estimators': 225}"
19,62,37,19,19,"{'learning_rate': 0.75, 'n_estimators': 250}"
51,54,14,51,51,"{'learning_rate': 1.0, 'n_estimators': 50}"
49,64,29,49,49,"{'learning_rate': 1.0, 'n_estimators': 75}"
55,55,15,55,55,"{'learning_rate': 1.0, 'n_estimators': 100}"
51,58,18,51,51,"{'learning_rate': 1.0, 'n_estimators': 125}"
51,59,17,51,51,"{'learning_rate': 1.0, 'n_estimators': 150}"
60,68,64,60,60,"{'learning_rate': 1.0, 'n_estimators': 175}"
59,69,66,59,59,"{'learning_rate': 1.0, 'n_estimators': 200}"
51,52,13,51,51,"{'learning_rate': 1.0, 'n_estimators': 225}"
50,53,16,50,50,"{'learning_rate': 1.0, 'n_estimators': 250}"
