rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
16,200,66,16,3,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 0}"
129,165,4,16,149,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 10}"
3,140,2,2,21,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 20}"
58,135,19,16,114,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 30}"
58,130,1,16,114,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 40}"
224,112,11,224,225,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 50}"
184,110,13,178,184,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 60}"
158,111,12,156,162,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 70}"
170,112,16,166,170,"{'colsample_bytree': 0.6, 'subsample': 0.6, 'subsample_freq': 80}"
16,186,69,16,3,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 0}"
170,54,36,166,170,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 10}"
34,115,22,16,34,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 20}"
34,105,80,16,34,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 30}"
206,107,92,205,206,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 40}"
178,89,83,178,175,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 50}"
186,90,105,186,186,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 60}"
216,90,108,215,216,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 70}"
206,88,98,205,206,"{'colsample_bytree': 0.6, 'subsample': 0.7, 'subsample_freq': 80}"
34,189,74,16,34,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 0}"
58,211,40,16,114,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 10}"
34,103,48,16,34,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 20}"
130,85,49,74,129,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 30}"
130,82,3,74,129,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 40}"
186,73,25,186,186,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 50}"
166,75,32,166,158,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 60}"
157,80,27,156,157,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 70}"
34,77,20,16,34,"{'colsample_bytree': 0.6, 'subsample': 0.8, 'subsample_freq': 80}"
16,190,65,16,3,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 0}"
34,95,102,16,34,"{'colsample_bytree': 0.6, 'subsample': 0.9, 'subsample_freq': 10}"
