rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
2,34,34,2,33,{'n_estimators': 10}
34,33,33,34,1,{'n_estimators': 20}
5,30,30,4,6,{'n_estimators': 30}
17,32,31,19,4,{'n_estimators': 40}
5,27,28,4,6,{'n_estimators': 50}
3,31,32,7,2,{'n_estimators': 60}
7,28,23,4,34,{'n_estimators': 70}
26,20,22,31,3,{'n_estimators': 80}
17,25,26,19,4,{'n_estimators': 90}
1,21,21,1,32,{'n_estimators': 100}
33,10,27,33,14,{'n_estimators': 110}
8,26,20,7,16,{'n_estimators': 120}
24,29,29,24,10,{'n_estimators': 130}
13,19,25,13,8,{'n_estimators': 140}
22,14,16,19,26,{'n_estimators': 150}
22,15,13,19,26,{'n_estimators': 160}
32,22,24,31,31,{'n_estimators': 170}
14,23,15,13,21,{'n_estimators': 180}
4,9,18,3,15,{'n_estimators': 190}
19,8,4,17,24,{'n_estimators': 200}
14,13,11,13,21,{'n_estimators': 210}
14,24,19,13,21,{'n_estimators': 220}
24,2,1,24,10,{'n_estimators': 230}
19,18,14,17,24,{'n_estimators': 240}
8,12,10,7,16,{'n_estimators': 250}
30,17,9,29,12,{'n_estimators': 260}
27,11,3,24,28,{'n_estimators': 270}
30,6,8,29,12,{'n_estimators': 280}
8,1,2,7,16,{'n_estimators': 290}
8,16,17,7,16,{'n_estimators': 300}
27,5,6,24,28,{'n_estimators': 310}
27,7,7,24,28,{'n_estimators': 320}
8,3,12,7,16,{'n_estimators': 330}
21,4,5,19,9,{'n_estimators': 340}
