rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
59,39,21,61,70,{'max_depth': None}
66,145,114,40,145,{'max_depth': 1}
113,141,14,104,127,{'max_depth': 2}
19,3,94,25,11,{'max_depth': 3}
58,128,58,44,132,{'max_depth': 4}
24,58,45,27,28,{'max_depth': 5}
54,94,96,52,97,{'max_depth': 6}
140,139,149,139,135,{'max_depth': 7}
2,55,1,2,116,{'max_depth': 8}
15,1,5,21,3,{'max_depth': 9}
123,115,115,133,56,{'max_depth': 10}
106,70,65,108,63,{'max_depth': 11}
51,95,75,46,77,{'max_depth': 12}
90,16,34,93,44,{'max_depth': 13}
136,120,110,133,124,{'max_depth': 14}
102,149,133,81,147,{'max_depth': 15}
144,44,141,146,80,{'max_depth': 16}
31,15,73,36,23,{'max_depth': 17}
7,109,13,8,31,{'max_depth': 18}
40,36,124,46,38,{'max_depth': 19}
46,35,62,50,57,{'max_depth': 20}
4,32,3,6,24,{'max_depth': 21}
101,22,101,103,41,{'max_depth': 22}
60,65,89,67,26,{'max_depth': 23}
56,66,113,63,33,{'max_depth': 24}
38,80,66,37,48,{'max_depth': 25}
27,7,36,31,29,{'max_depth': 26}
71,83,77,76,55,{'max_depth': 27}
45,4,82,55,4,{'max_depth': 28}
147,136,100,147,146,{'max_depth': 29}
41,13,68,53,9,{'max_depth': 30}
114,122,142,114,118,{'max_depth': 31}
105,23,131,113,21,{'max_depth': 32}
79,57,41,69,89,{'max_depth': 33}
73,6,12,87,11,{'max_depth': 34}
67,40,138,78,30,{'max_depth': 35}
9,12,2,12,18,{'max_depth': 36}
83,48,48,91,17,{'max_depth': 37}
82,90,128,75,94,{'max_depth': 38}
68,60,74,80,19,{'max_depth': 39}
32,114,25,25,88,{'max_depth': 40}
29,75,98,27,53,{'max_depth': 41}
26,37,135,35,1,{'max_depth': 42}
148,144,95,148,149,{'max_depth': 43}
97,129,87,87,115,{'max_depth': 44}
23,49,16,20,71,{'max_depth': 45}
1,27,76,1,102,{'max_depth': 46}
75,51,107,86,25,{'max_depth': 47}
128,126,91,125,134,{'max_depth': 48}
