rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
69,61,54,67,73,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
55,59,77,55,29,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
69,66,76,67,73,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
69,76,68,67,73,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
64,37,24,64,38,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
65,54,45,65,39,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
37,43,19,40,12,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
51,70,27,51,24,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
58,65,34,58,32,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
18,71,72,22,3,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
6,57,29,4,87,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
33,75,58,26,71,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
21,68,69,13,90,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
36,57,6,24,87,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
41,83,30,42,14,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
30,67,71,36,9,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
9,73,36,8,77,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
76,44,49,76,61,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
3,82,64,3,86,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
28,2,26,28,42,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
1,51,17,1,83,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
12,60,50,12,60,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
31,85,52,33,45,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
4,78,85,5,42,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
44,47,3,46,16,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
7,55,38,6,49,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
13,88,82,10,78,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
2,38,43,2,84,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
16,11,63,18,22,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
34,90,78,38,10,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
