rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
10,72,46,9,55,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
40,31,41,38,56,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
1,17,4,2,4,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
20,68,11,17,72,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
9,62,84,10,10,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
2,67,13,1,17,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
8,78,27,8,41,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
4,13,33,5,3,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
6,69,30,4,40,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
5,60,9,5,26,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
3,22,44,3,13,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
30,46,17,29,74,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
26,59,62,25,34,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
45,85,53,43,59,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
7,38,85,7,42,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
35,83,70,31,80,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
42,24,39,42,47,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
13,55,29,13,21,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
33,56,74,31,65,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
66,47,82,72,36,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
22,25,55,21,37,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
12,50,48,12,29,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
38,52,42,40,28,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
11,65,63,11,49,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
24,80,22,24,43,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
31,39,32,33,58,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
44,16,45,44,51,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
47,79,37,51,5,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
19,5,23,19,19,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
39,74,81,36,83,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
29,81,40,30,57,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
23,45,56,21,52,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
17,2,18,23,1,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
18,8,15,18,18,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
49,6,2,47,66,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
37,75,77,37,61,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
70,61,76,64,86,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
52,27,67,49,73,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
14,57,26,14,38,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
77,87,86,69,89,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
34,82,36,34,67,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
25,26,28,26,8,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
64,15,1,75,6,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
36,12,50,38,27,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
27,53,25,27,33,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
71,51,90,77,12,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
61,34,7,62,46,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
32,30,19,35,48,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
53,32,66,55,35,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
74,54,10,73,71,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
56,35,14,52,64,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
58,3,6,59,14,"{'min_samples_leaf': 6, 'min_samples_split': 8}"
41,14,61,41,45,"{'min_samples_leaf': 6, 'min_samples_split': 9}"
60,71,31,58,68,"{'min_samples_leaf': 6, 'min_samples_split': 10}"
51,36,34,49,62,"{'min_samples_leaf': 7, 'min_samples_split': 2}"
68,11,3,74,24,"{'min_samples_leaf': 7, 'min_samples_split': 3}"
57,21,57,56,50,"{'min_samples_leaf': 7, 'min_samples_split': 4}"
48,1,5,54,2,"{'min_samples_leaf': 7, 'min_samples_split': 5}"
62,76,54,65,54,"{'min_samples_leaf': 7, 'min_samples_split': 6}"
21,43,51,20,23,"{'min_samples_leaf': 7, 'min_samples_split': 7}"
72,41,24,76,32,"{'min_samples_leaf': 7, 'min_samples_split': 8}"
79,90,47,67,90,"{'min_samples_leaf': 7, 'min_samples_split': 9}"
46,63,72,45,39,"{'min_samples_leaf': 7, 'min_samples_split': 10}"
78,42,64,78,60,"{'min_samples_leaf': 8, 'min_samples_split': 2}"
67,29,58,67,63,"{'min_samples_leaf': 8, 'min_samples_split': 3}"
84,86,88,83,78,"{'min_samples_leaf': 8, 'min_samples_split': 4}"
80,7,87,84,31,"{'min_samples_leaf': 8, 'min_samples_split': 5}"
87,48,78,88,53,"{'min_samples_leaf': 8, 'min_samples_split': 6}"
69,40,38,66,79,"{'min_samples_leaf': 8, 'min_samples_split': 7}"
43,19,65,46,9,"{'min_samples_leaf': 8, 'min_samples_split': 8}"
75,18,60,81,7,"{'min_samples_leaf': 8, 'min_samples_split': 9}"
15,4,21,16,11,"{'min_samples_leaf': 8, 'min_samples_split': 10}"
50,64,59,48,69,"{'min_samples_leaf': 9, 'min_samples_split': 2}"
73,33,8,70,81,"{'min_samples_leaf': 9, 'min_samples_split': 3}"
54,44,79,53,44,"{'min_samples_leaf': 9, 'min_samples_split': 4}"
16,49,16,15,20,"{'min_samples_leaf': 9, 'min_samples_split': 5}"
82,70,69,80,82,"{'min_samples_leaf': 9, 'min_samples_split': 6}"
76,27,49,70,88,"{'min_samples_leaf': 9, 'min_samples_split': 7}"
55,37,43,57,25,"{'min_samples_leaf': 9, 'min_samples_split': 8}"
88,77,89,89,22,"{'min_samples_leaf': 9, 'min_samples_split': 9}"
28,84,68,28,76,"{'min_samples_leaf': 9, 'min_samples_split': 10}"
85,23,75,87,15,"{'min_samples_leaf': 10, 'min_samples_split': 2}"
59,20,20,60,16,"{'min_samples_leaf': 10, 'min_samples_split': 3}"
65,88,52,61,85,"{'min_samples_leaf': 10, 'min_samples_split': 4}"
86,58,80,85,77,"{'min_samples_leaf': 10, 'min_samples_split': 5}"
89,66,12,86,84,"{'min_samples_leaf': 10, 'min_samples_split': 6}"
83,89,83,79,87,"{'min_samples_leaf': 10, 'min_samples_split': 7}"
81,10,35,82,70,"{'min_samples_leaf': 10, 'min_samples_split': 8}"
90,9,73,90,30,"{'min_samples_leaf': 10, 'min_samples_split': 9}"
63,73,71,62,75,"{'min_samples_leaf': 10, 'min_samples_split': 10}"
