rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
63,54,27,63,26,"{'min_samples_leaf': 1, 'min_samples_split': 2}"
17,29,79,17,5,"{'min_samples_leaf': 1, 'min_samples_split': 3}"
57,30,52,57,23,"{'min_samples_leaf': 1, 'min_samples_split': 4}"
89,6,34,89,46,"{'min_samples_leaf': 1, 'min_samples_split': 5}"
2,17,51,2,47,"{'min_samples_leaf': 1, 'min_samples_split': 6}"
73,60,72,71,83,"{'min_samples_leaf': 1, 'min_samples_split': 7}"
44,10,48,39,70,"{'min_samples_leaf': 1, 'min_samples_split': 8}"
88,81,63,87,87,"{'min_samples_leaf': 1, 'min_samples_split': 9}"
30,28,81,30,9,"{'min_samples_leaf': 1, 'min_samples_split': 10}"
80,5,65,80,39,"{'min_samples_leaf': 2, 'min_samples_split': 2}"
60,11,58,57,79,"{'min_samples_leaf': 2, 'min_samples_split': 3}"
44,78,62,39,70,"{'min_samples_leaf': 2, 'min_samples_split': 4}"
10,8,35,10,53,"{'min_samples_leaf': 2, 'min_samples_split': 5}"
60,39,30,57,79,"{'min_samples_leaf': 2, 'min_samples_split': 6}"
7,82,59,7,51,"{'min_samples_leaf': 2, 'min_samples_split': 7}"
75,21,53,75,35,"{'min_samples_leaf': 2, 'min_samples_split': 8}"
44,84,61,39,70,"{'min_samples_leaf': 2, 'min_samples_split': 9}"
90,67,88,90,89,"{'min_samples_leaf': 2, 'min_samples_split': 10}"
39,15,20,39,14,"{'min_samples_leaf': 3, 'min_samples_split': 2}"
39,2,16,39,14,"{'min_samples_leaf': 3, 'min_samples_split': 3}"
12,23,75,12,2,"{'min_samples_leaf': 3, 'min_samples_split': 4}"
63,7,50,63,26,"{'min_samples_leaf': 3, 'min_samples_split': 5}"
71,27,85,71,33,"{'min_samples_leaf': 3, 'min_samples_split': 6}"
75,32,37,75,35,"{'min_samples_leaf': 3, 'min_samples_split': 7}"
63,1,12,63,26,"{'min_samples_leaf': 3, 'min_samples_split': 8}"
5,13,66,5,1,"{'min_samples_leaf': 3, 'min_samples_split': 9}"
75,3,25,75,35,"{'min_samples_leaf': 3, 'min_samples_split': 10}"
79,51,8,75,85,"{'min_samples_leaf': 4, 'min_samples_split': 2}"
44,14,21,39,70,"{'min_samples_leaf': 4, 'min_samples_split': 3}"
12,61,56,12,2,"{'min_samples_leaf': 4, 'min_samples_split': 4}"
25,18,40,23,61,"{'min_samples_leaf': 4, 'min_samples_split': 5}"
44,59,47,39,70,"{'min_samples_leaf': 4, 'min_samples_split': 6}"
44,35,38,39,70,"{'min_samples_leaf': 4, 'min_samples_split': 7}"
86,55,36,86,44,"{'min_samples_leaf': 4, 'min_samples_split': 8}"
2,66,78,2,47,"{'min_samples_leaf': 4, 'min_samples_split': 9}"
1,25,32,1,88,"{'min_samples_leaf': 4, 'min_samples_split': 10}"
35,90,64,30,66,"{'min_samples_leaf': 5, 'min_samples_split': 2}"
57,20,54,57,23,"{'min_samples_leaf': 5, 'min_samples_split': 3}"
87,47,28,87,45,"{'min_samples_leaf': 5, 'min_samples_split': 4}"
9,56,45,7,90,"{'min_samples_leaf': 5, 'min_samples_split': 5}"
71,19,19,71,33,"{'min_samples_leaf': 5, 'min_samples_split': 6}"
80,22,57,80,39,"{'min_samples_leaf': 5, 'min_samples_split': 7}"
80,68,55,80,39,"{'min_samples_leaf': 5, 'min_samples_split': 8}"
73,76,44,71,83,"{'min_samples_leaf': 5, 'min_samples_split': 9}"
30,36,6,30,9,"{'min_samples_leaf': 5, 'min_samples_split': 10}"
63,24,29,63,26,"{'min_samples_leaf': 6, 'min_samples_split': 2}"
60,77,73,57,79,"{'min_samples_leaf': 6, 'min_samples_split': 3}"
19,48,24,17,57,"{'min_samples_leaf': 6, 'min_samples_split': 4}"
30,38,17,30,9,"{'min_samples_leaf': 6, 'min_samples_split': 5}"
17,73,70,17,5,"{'min_samples_leaf': 6, 'min_samples_split': 6}"
15,4,1,12,55,"{'min_samples_leaf': 6, 'min_samples_split': 7}"
