rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
14,7,10,14,14,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
1,1,11,1,1,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
6,3,8,6,6,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
1,8,7,1,1,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
15,5,9,15,15,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
10,12,12,6,10,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
5,2,6,5,5,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
11,4,3,11,11,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
15,13,13,15,15,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
4,14,14,1,4,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
12,9,5,11,12,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
6,11,2,6,6,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
13,16,16,13,13,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
1,15,15,1,1,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
6,6,4,6,6,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
6,10,1,6,6,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
