rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,81,1,1,1,"{'reg_alpha': 0, 'reg_lambda': 0}"
1,18,5,1,1,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
1,4,6,1,1,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
1,5,2,1,1,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
1,27,22,1,1,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
1,72,75,1,1,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
1,30,33,1,1,"{'reg_alpha': 0, 'reg_lambda': 1}"
1,30,33,1,1,"{'reg_alpha': 0, 'reg_lambda': 2}"
1,67,70,1,1,"{'reg_alpha': 0, 'reg_lambda': 3}"
1,11,7,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
1,3,4,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
1,7,10,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
1,1,9,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
1,52,56,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
1,36,41,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
1,43,46,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
1,60,64,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
1,60,63,1,1,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
1,5,2,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
1,10,11,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
1,12,8,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
1,24,26,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
1,43,48,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
1,72,75,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
1,67,70,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
1,47,50,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
1,77,80,1,1,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
1,28,27,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
1,2,15,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
1,26,28,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
1,16,32,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
1,52,56,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
1,62,69,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
1,37,37,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
1,62,67,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
1,40,43,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
1,47,53,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
1,34,39,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
1,52,56,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
1,47,54,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
1,72,75,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
1,52,56,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
1,67,70,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
1,62,67,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
1,47,50,1,1,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
1,43,47,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
1,52,56,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
1,34,39,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
1,52,56,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
1,43,48,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
1,62,65,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
1,77,80,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
1,30,33,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
1,67,70,1,1,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
1,37,37,1,1,"{'reg_alpha': 1, 'reg_lambda': 0}"
1,30,33,1,1,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
1,67,70,1,1,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
1,80,30,1,1,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
1,47,50,1,1,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
1,75,78,1,1,"{'reg_alpha': 1, 'reg_lambda': 0.5}"
1,62,65,1,1,"{'reg_alpha': 1, 'reg_lambda': 1}"
1,40,45,1,1,"{'reg_alpha': 1, 'reg_lambda': 2}"
1,58,62,1,1,"{'reg_alpha': 1, 'reg_lambda': 3}"
1,40,43,1,1,"{'reg_alpha': 2, 'reg_lambda': 0}"
1,59,55,1,1,"{'reg_alpha': 2, 'reg_lambda': 0.01}"
1,15,31,1,1,"{'reg_alpha': 2, 'reg_lambda': 0.02}"
1,39,42,1,1,"{'reg_alpha': 2, 'reg_lambda': 0.05}"
1,29,23,1,1,"{'reg_alpha': 2, 'reg_lambda': 0.1}"
1,75,78,1,1,"{'reg_alpha': 2, 'reg_lambda': 0.5}"
1,79,29,1,1,"{'reg_alpha': 2, 'reg_lambda': 1}"
1,20,17,1,1,"{'reg_alpha': 2, 'reg_lambda': 2}"
1,17,18,1,1,"{'reg_alpha': 2, 'reg_lambda': 3}"
1,22,20,1,1,"{'reg_alpha': 3, 'reg_lambda': 0}"
1,23,21,1,1,"{'reg_alpha': 3, 'reg_lambda': 0.01}"
1,21,19,1,1,"{'reg_alpha': 3, 'reg_lambda': 0.02}"
1,9,12,1,1,"{'reg_alpha': 3, 'reg_lambda': 0.05}"
1,12,13,1,1,"{'reg_alpha': 3, 'reg_lambda': 0.1}"
1,8,14,1,1,"{'reg_alpha': 3, 'reg_lambda': 0.5}"
1,19,16,1,1,"{'reg_alpha': 3, 'reg_lambda': 1}"
1,14,24,1,1,"{'reg_alpha': 3, 'reg_lambda': 2}"
1,25,25,1,1,"{'reg_alpha': 3, 'reg_lambda': 3}"
